basal cell of prostate epithelium	endothelial cell of arteriole/endothelial cell of venule	pancreatic ductal cell	duct epithelial cell/ionocyte	innate lymphoid cell	pancreatic stellate cell	capillary endothelial cell/endothelial cell of artery	erythrocyte/platelet	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	enteroglial cell	tracheal goblet cell	enterocyte of epithelium proper of duodenum	hepatocyte	intrahepatic cholangiocyte	myoepithelial cell	ciliated epithelial cell/epithelial cell of uterus	central nervous system macrophage	mural cell/pericyte	taste receptor cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	myo-medullary thymic epithelial cell	macrophage	gamma-delta t cell	myometrial cell	microglia	epithelial cell of uterus	mature nk t cell/natural killer cell	kidney epithelial cell	luminal epithelial cell of mammary gland	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	fast muscle cell/slow muscle cell	leukocyte	club cell/type i pneumocyte	pulmonary ionocyte	langerhans cell	stratified squamous epithelial cell	pancreatic stellate cell/smooth muscle cell	club cell	mesenchymal stem cell/tendon cell	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	b cell	melanocyte/progenitor cell of mammary luminal epithelium	regular atrial cardiac myocyte/ventricular cardiac muscle cell	neuron	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	common myeloid progenitor/hematopoietic stem cell	type ii pneumocyte	pancreatic acinar cell	plasma cell	cd4-positive, alpha-beta thymocyte	cd8-positive, alpha-beta thymocyte/thymocyte	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	intestinal tuft cell/tuft cell of colon	pancreatic a cell	neurons	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	bladder urothelial cell	neuro-medullary thymic epithelial cell	pancreatic d cell/type b pancreatic cell	mesothelial cell/schwann cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	mucus secreting cell/respiratory goblet cell	choroid plexus epithelial cell	acinar cell of salivary gland	pulmonary ionocyte/respiratory goblet cell	hematopoietic stem cell	serous cell of epithelium of bronchus	cardiac endothelial cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	large intestine goblet cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	type i pneumocyte	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	sebum secreting cell	melanocyte	duct epithelial cell/ionocyte/mucus secreting cell	schwann cell	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	common myeloid progenitor/erythroid progenitor cell	neutrophil	erythroid progenitor cell	mesothelial cell	Bergmann glial cell/astrocyte/ependymal cell	myeloid dendritic cell	oligodendrocyte precursor cell	serous cell of epithelium of trachea	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	basal cell/medullary thymic epithelial cell	OPC/astrocytes/oligodendrocytes	medullary thymic epithelial cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	basophil/mast cell	luminal cell of prostate epithelium	basal cell	colon endothelial cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	salivary gland cell	smooth muscle cell	progenitor cell of mammary luminal epithelium	oligodendrocyte	enteroendocrine cell of small intestine	tissue-resident macrophage	Method	Sample
1.82238	0.0	0.0	0.0	0.0	0.0	1.60509	0.00257		0.69935	0.83108	0.0	0.0	1.02786	0.0			0.0	0.11132		0.0	0.0	0.0	0.0	0.211	0.0	5.55102	0.0	0.0	0.52146	0.00305	0.1358		0.0	0.0	0.0		0.0	0.0	0.86118	7.63444		0.0		0.0	0.0	0.0	0.00371	0.0	4.24155	0.24883	0.0			0.03969		18.70055	0.0	0.03357			0.0	0.0		0.0			0.0	1.52588			0.0	0.08389	0.0	0.00852	0.0		0.0	0.0		9.37736	11.4387	0.0		7.59761		0.0	0.0			0.10796	0.0	19.69124		0.0	0.0	0.0	1.5367		1.76279	1.38709	1.19674		0.0	0.0	CIBERSORTx	SRR13990980
0.64774	0.0	0.05979	0.03998	0.0	0.0	0.04745	1.53902		0.0	0.00988	0.0	0.0	0.26922	0.0			0.5369	0.03667		0.02404	0.0402	0.0	0.0	1.13256	0.04958	3.03547	0.0	0.0	0.11326	0.0	0.0		0.02604	0.3034	0.0		0.0	0.01781	0.49674	11.35049		0.02913		0.04897	16.29022	0.00038	0.0	0.0	12.9309	0.26525	0.08736			0.11783		8.77806	0.00959	0.02097			0.0	0.0		0.04691			0.0	1.40281			0.00019	0.08309	0.87559	0.00166	0.0		0.29231	0.02495		8.69498	3.60901	0.63176		2.78434		0.0	0.0			0.0	0.0	21.85153		8e-05	0.0	0.0	0.0		0.02494	0.0	1.32095		0.0	0.0	CIBERSORTx	SRR13990981
0.57505	0.0	0.0	0.14217	0.0	0.45297	2.59922	10.61275		0.0	0.27312	0.46068	0.0	0.04505	0.24955			0.0	0.0715		0.0	6.39682	2.3488	0.0	0.37183	1.00902	6.61723	0.47423	0.0	0.0	0.00032	0.0		0.0	0.0	0.03451		0.0	0.0	1.32972	1.5308		0.0		0.0	2.67455	0.0	0.0001	0.0	4.2197	0.99529	0.0			0.19773		6.17204	0.0	0.03714			0.0	0.0		0.0			0.0	3.66894			0.11549	0.07574	4.81104	0.0	0.14344		0.0	0.33929		3.96358	15.99301	1.03545		0.0		0.07464	0.0			0.0	0.0	17.14818		0.54217	0.0	0.0	0.0		0.61549	0.01875	1.56289		0.0	0.0	CIBERSORTx	SRR13990884
1.66776	0.0	0.04634	0.12043	0.0	0.0	0.55896	2.74328		0.0	0.22612	0.31757	0.0	0.67268	0.95077			0.75267	0.9784		0.0	4.73632	0.0	0.0	0.29599	0.19164	12.81024	0.32831	0.05042	0.0	0.00863	0.0088		0.0	1.71664	0.0		0.0	0.16071	0.0	3.67486		0.0		0.0	1.98182	0.0	0.0	0.0	14.32347	0.0	0.07371			0.26082		15.89043	0.21361	2.03709			0.17443	0.0		0.0			0.0	2.8712			0.0	0.0223	1.72721	0.11859	0.0		0.30013	0.0		0.19121	4.33821	0.81295		0.0		0.0	0.0			0.0	0.0	16.48227		0.8327	0.0	0.0	2.0187		0.24992	0.0	2.06171		0.0	0.0	CIBERSORTx	SRR13990885
0.65759	0.0	0.0	0.14899	0.0	0.45493	0.31168	3.65943		0.0	0.37294	0.38632	0.0	0.43405	0.0			0.0	0.10609		0.04285	0.21704	2.42538	0.0	0.0	0.06028	11.81236	1.11931	0.0	0.0	0.0019	0.0		0.00429	0.98399	0.08498		0.0	0.00193	0.0	6.65011		0.0		0.00175	11.14404	0.00058	0.0	0.0	8.15756	2.89797	0.55309			0.98772		2.83832	0.0	0.0			0.0	0.0		0.0			0.0	4.33468			0.00736	0.18898	4.07878	0.0	0.03565		0.53615	0.16023		3.69993	3.7588	0.0		0.0		0.0	0.0			0.49891	0.0	23.17501		0.09863	0.0	0.0	0.0		0.02896	0.48795	2.38203		0.01052	0.0	CIBERSORTx	SRR13990883
1.86309	0.0	0.05784	0.0	0.0	0.0	0.06673	6.74867		0.0	0.22641	0.0952	0.0	0.45489	0.84628			0.93601	0.66164		0.0	3.50216	0.04797	0.0	0.55112	0.14562	11.66826	1.07753	0.0	0.0	0.00688	0.0		0.0	0.27261	0.0		0.0	0.30369	0.0	4.14922		0.0		0.11128	0.0	0.0	0.0	0.0	5.09697	0.0	0.04995			0.2839		12.47853	0.26578	1.25542			0.09896	0.0		0.0			0.0	3.71459			0.00337	0.30314	3.47174	0.05662	0.0		0.44773	0.0		1.19551	14.05633	1.11801		0.0		0.0	0.0			0.4178	0.0	17.90937		0.3364	0.0	0.0	1.30844		0.0	0.18247	2.15589		0.0	0.0	CIBERSORTx	SRR13990805
0.1673	0.0	0.32298	0.20734	0.0	0.00915	0.10229	6.96626		0.0	0.1746	0.11764	0.0	0.0	0.55742			0.05891	0.97896		0.0	0.4089	1.13644	0.0	0.75823	0.0	8.07867	0.51544	0.0	0.0	0.00548	0.0		0.04969	0.0	0.0		0.0	0.0	1.89311	2.65254		0.08936		0.17266	1.55913	0.0	0.0	0.0	5.67919	2.21383	0.33192			0.41886		8.46337	0.06324	1.09294			0.0	0.00989		0.0			0.0	7.38158			0.00225	0.11784	5.35493	0.0	0.16102		0.48339	0.0		0.34914	14.86268	0.78233		0.70833		0.0	0.0			0.15399	0.0	21.50701		0.40619	0.55911	0.0	0.0		0.06482	0.24625	1.60339		0.0	0.0	CIBERSORTx	SRR13991098
1.32075	0.0	0.02958	0.0	0.0	0.0	0.41828	11.37102		0.0	0.25259	0.0	0.0	0.76944	1.00915			0.80165	0.88611		0.0	5.81273	0.0	0.0	0.45744	0.0	6.41264	0.38309	0.0	0.33171	0.02321	0.03595		0.0	0.59797	0.0		0.0	0.15882	0.0	4.71011		0.0		0.34009	0.0	0.0	0.0	0.0	9.98528	0.0	0.0			0.24312		9.20958	0.01219	1.82362			0.15727	0.0		0.0			0.00355	3.50709			0.00612	0.0	3.23602	0.05621	0.0		0.12728	0.0		0.84521	12.03862	0.95238		0.0		0.0	0.0			0.0	0.0	18.00139		1.22507	0.0	0.0	0.58658		0.0	0.03858	1.8225		0.0	0.0	CIBERSORTx	SRR13990882
0.2794	0.0	0.0	0.09968	0.0	0.0	0.0	7.82272		0.0	0.0	0.0	0.0	0.13015	0.3706			0.48838	0.96071		0.0	1.57232	0.03473	0.0	0.53541	0.06066	5.22754	0.11795	0.0	0.0	0.0	0.0		0.0	1.09475	0.0		0.0	0.59558	0.0	2.9034		0.0		0.00764	10.07743	0.0	0.0064	0.0	8.03846	0.0	0.0			0.41777		4.90974	0.03103	1.08634			0.0	0.00362		0.0			0.01796	3.63309			0.00064	0.28429	2.83588	0.0	0.04174		0.34048	0.0		0.0	10.24443	0.81263		0.0		0.0	0.0			0.1709	0.0	32.17151		0.01784	0.0	0.0	0.0		0.5721	0.61813	1.1587		0.20728	0.0	CIBERSORTx	SRR13991103
0.02464	0.0	0.00156	0.02663	0.0	0.03998	0.0	7.09994		0.0	0.01382	0.06566	0.74789	0.04719	0.0			0.05269	0.02157		0.05156	0.17561	4.15464	0.0	0.0031	0.00659	13.51792	0.05256	0.03486	0.03246	0.0047	0.0		0.00814	0.00314	0.0		0.00027	0.0	0.01608	2.15959		0.00533		0.0	0.02729	0.00352	0.00077	0.0	0.0	0.0065	0.11705			0.04841		1.63525	0.0	0.01619			0.06496	1e-05		0.0			0.0	7.71289			0.00094	0.04962	6.9938	0.00016	0.0		0.23836	0.00103		2.76497	15.49669	2.39417		0.0		0.09761	0.0			0.63033	0.0	33.11647		0.00368	0.0	0.0	0.0166		0.04097	0.15366	0.0		0.0	0.0	CIBERSORTx	SRR13991105
