basal cell of prostate epithelium	endothelial cell of arteriole/endothelial cell of venule	pancreatic ductal cell	duct epithelial cell/ionocyte	innate lymphoid cell	pancreatic stellate cell	capillary endothelial cell/endothelial cell of artery	erythrocyte/platelet	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	enteroglial cell	tracheal goblet cell	enterocyte of epithelium proper of duodenum	hepatocyte	intrahepatic cholangiocyte	myoepithelial cell	ciliated epithelial cell/epithelial cell of uterus	central nervous system macrophage	mural cell/pericyte	taste receptor cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	myo-medullary thymic epithelial cell	macrophage	gamma-delta t cell	myometrial cell	microglia	epithelial cell of uterus	mature nk t cell/natural killer cell	kidney epithelial cell	luminal epithelial cell of mammary gland	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	fast muscle cell/slow muscle cell	leukocyte	club cell/type i pneumocyte	pulmonary ionocyte	langerhans cell	stratified squamous epithelial cell	pancreatic stellate cell/smooth muscle cell	club cell	mesenchymal stem cell/tendon cell	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	b cell	melanocyte/progenitor cell of mammary luminal epithelium	regular atrial cardiac myocyte/ventricular cardiac muscle cell	neuron	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	common myeloid progenitor/hematopoietic stem cell	type ii pneumocyte	pancreatic acinar cell	plasma cell	cd4-positive, alpha-beta thymocyte	cd8-positive, alpha-beta thymocyte/thymocyte	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	intestinal tuft cell/tuft cell of colon	pancreatic a cell	neurons	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	bladder urothelial cell	neuro-medullary thymic epithelial cell	pancreatic d cell/type b pancreatic cell	mesothelial cell/schwann cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	mucus secreting cell/respiratory goblet cell	choroid plexus epithelial cell	acinar cell of salivary gland	pulmonary ionocyte/respiratory goblet cell	hematopoietic stem cell	serous cell of epithelium of bronchus	cardiac endothelial cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	large intestine goblet cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	type i pneumocyte	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	sebum secreting cell	melanocyte	duct epithelial cell/ionocyte/mucus secreting cell	schwann cell	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	common myeloid progenitor/erythroid progenitor cell	neutrophil	erythroid progenitor cell	mesothelial cell	Bergmann glial cell/astrocyte/ependymal cell	myeloid dendritic cell	oligodendrocyte precursor cell	serous cell of epithelium of trachea	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	basal cell/medullary thymic epithelial cell	OPC/astrocytes/oligodendrocytes	medullary thymic epithelial cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	basophil/mast cell	luminal cell of prostate epithelium	basal cell	colon endothelial cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	salivary gland cell	smooth muscle cell	progenitor cell of mammary luminal epithelium	oligodendrocyte	enteroendocrine cell of small intestine	tissue-resident macrophage	Method	Sample
0.53077	0.0	0.0	0.23025	0.0	0.23565	0.0	8.79725		0.0	0.24621	0.0	0.0	0.00186	0.0			0.0	0.0		0.02563	0.0	0.60967	0.0	0.42916	1.30723	0.94069	0.57963	0.63631	0.0	0.0	0.92858		0.0	0.0	0.37862		0.00128	0.17031	0.0	0.70974		0.0		0.0	0.0	0.0	0.00804	0.0	2.49974	0.2225	0.41036			0.0		0.57014	0.0	0.09059			0.38902	0.00362		0.0			0.03671	1.14506			0.06344	0.07911	5.40885	0.0	1.58519		0.03259	0.0		11.70216	31.29448	0.26347		0.82491		0.08878	0.0			0.22909	0.0	21.94763		0.0	0.0	0.0	0.0		0.97971	2.65697	0.70899		0.0	0.0	CIBERSORTx	SRR13991090
2.51943	0.0	0.26564	0.0	0.0	0.0	1.67538	6.25386		0.0	0.0	0.21239	0.0	0.16375	0.42299			0.70281	0.04221		0.0	4.57509	0.0	0.0	0.61789	0.51739	4.67218	0.08089	0.82173	1.23866	0.01276	0.0		0.0	1.88598	0.0		0.0	0.0	0.57505	3.88383		0.0		0.0	0.0	0.0	0.0	0.0	7.99692	0.0	0.0			0.02768		6.37815	0.0	1.45528			0.58227	0.08009		0.0			0.01551	1.35454			0.00153	0.0	0.80693	0.00658	0.0		0.05291	0.0		11.80516	9.62585	0.26737		0.0		0.0	0.0			0.0	0.0	24.98526		0.05979	0.0	0.0	1.7598		0.0	0.0	1.59847		0.0	0.0	CIBERSORTx	SRR13990878
2.01906	0.0	0.0	0.0	0.0	0.0	0.75492	7.31914		0.0	0.09505	0.39683	0.0	0.91304	0.46184			0.71491	0.78432		0.0	1.4182	0.0	0.0	0.99666	0.32301	9.8754	0.39109	0.0	0.87737	0.00779	0.0		0.0	1.0585	0.0		0.0	0.0	0.0	3.63809		0.0		0.0	0.0	0.00682	0.00413	0.0	5.10097	0.61072	0.0			0.26184		9.086	0.0	0.29683			0.03645	0.0885		0.0			0.0	2.19232			0.0	0.15354	2.4607	0.12046	0.0		0.37046	0.0		9.28395	6.80925	0.91772		0.0		0.0	0.0			0.0	0.0	26.06525		0.0	0.0	0.45038	1.69153		0.0	0.75443	1.19255		0.0	0.0	CIBERSORTx	SRR13990839
1.34144	0.0	0.0	0.0	0.0	0.0	1.02023	2.67367		0.07841	0.12188	0.10284	0.0	0.0	0.19062			0.37525	0.13228		0.00412	3.7075	0.0	0.0	1.15135	0.08638	6.09054	0.1209	0.0	0.39222	0.07181	0.01587		0.0	2.78266	0.0		0.0	0.0	0.0	2.17469		0.0		0.06207	0.0	0.02004	0.09324	0.0	1.68662	1.68512	0.11358			0.03917		8.32992	0.0	0.34973			0.0	0.07052		0.02987			0.0462	2.05248			0.0745	0.04519	0.0	0.06375	0.0		0.06326	0.03789		13.28445	9.52787	0.63163		0.0		0.0	0.0			0.0	0.0	36.16677		0.17076	0.0	0.0	2.03698		0.0	0.0	0.64648		0.03726	0.0	CIBERSORTx	SRR13991062
2.10563	0.0	0.10565	0.0	0.0	0.0	0.11634	3.43811		0.07033	0.0	0.03311	0.0	0.36649	0.92234			1.06643	0.71375		0.0	5.11908	0.0	0.0	1.05667	0.0	8.28792	0.33408	0.54922	1.02529	0.01401	0.0		0.0	1.49231	0.0		0.0	0.0	0.0	4.0574		0.0		0.04741	0.0	0.0	0.0	0.0	5.89821	0.0	0.0			0.34881		5.90366	0.28545	0.43413			0.1459	0.09208		0.0			0.0	2.08036			0.0	0.56663	2.53426	0.25053	0.0		0.26032	0.0		11.1546	8.72037	0.4823		0.0		0.0	0.0			0.0	0.0	25.91972		0.06074	0.0	0.0	1.72849		0.0	0.0	2.21188		0.0	0.0	CIBERSORTx	SRR13990797
0.89434	0.0	0.06149	0.0	0.0	0.0	1.09272	5.38879		0.0	0.24883	0.22834	0.0	0.49533	0.94879			0.70927	0.825		0.0	4.34445	1.0945	0.0	0.49887	0.14327	5.79406	0.25978	0.45972	0.0	0.02375	0.08684		0.0	0.1715	0.0		0.0	0.31726	0.0	8.51081		0.0		0.05629	0.0	0.0	0.0	0.0	11.65312	0.0	0.0			0.27018		10.0792	0.08506	1.9215			0.14961	0.0		0.0			0.0	3.90799			0.0	0.08316	2.69345	0.03676	0.0		0.20822	0.0		0.09743	15.08227	1.0419		0.0		0.0	0.0			0.0	0.0	17.65497		0.11663	0.0	0.19381	0.18826		0.0	0.0	1.88251		0.0	0.0	CIBERSORTx	SRR13990676
2.3673	0.03572	0.16376	0.0	0.0	0.0	0.25328	3.91681		0.0	0.14834	0.79739	2.18748	0.86508	0.74704			0.76199	0.80922		0.0	9.14334	0.0	0.0	0.78085	0.17925	7.5234	5.39972	0.52852	0.41966	0.0225	0.0		0.0	0.05493	0.0		0.0	0.00347	0.0	5.65611		0.0		0.0	0.0	0.01191	0.0	0.0	12.49471	0.0	0.0			0.1676		7.97147	0.35441	0.86032			0.3273	0.0		0.01459			0.00895	3.73777			0.00488	0.0	1.64014	0.07674	0.0		0.14604	0.0		0.63194	9.54221	3.37449		0.0		0.0	0.0			0.08446	0.0	12.99673		0.0659	0.0	0.0	0.0		0.0	0.0	2.72229		0.0	0.0	CIBERSORTx	SRR13991032
0.44266	0.0	0.0733	0.0	0.0	0.0	0.0896	11.72879		0.0	0.28305	0.09165	0.0	0.36447	0.0			0.0	0.00227		0.01136	0.0	0.95266	0.0	0.59737	0.28953	2.99308	1.00875	0.44878	0.1284	0.00044	2.2285		0.12077	0.0	0.08297		0.21039	0.16094	0.0	1.06135		0.32952		0.02477	0.0	0.00102	0.0	0.0	1.0094	1.84212	0.12222			0.08273		0.84171	0.11395	0.17196			0.0	0.0		0.01129			0.00127	5.15459			0.03807	0.09378	4.29424	0.00247	0.0		0.3588	0.02085		8.29661	33.88326	0.05723		0.0		0.0	0.0			0.46702	0.0	16.40582		0.11722	0.0	0.0	0.0		0.44464	2.18037	0.21213		0.04982	0.0	CIBERSORTx	SRR13990778
3.11495	0.0	0.03907	0.0	0.0	0.0	1.40438	4.11884		0.0	0.0	0.07258	0.0	0.32681	0.42432			1.34346	0.53064		0.09474	3.93667	0.0	0.0	1.18011	0.0	8.72063	0.25643	0.54581	0.0	0.01024	0.0		0.0	0.54937	0.0		0.0	0.67938	1.09639	3.11082		0.0		0.06925	0.0	0.0	0.00273	0.0	7.67174	0.0	0.04526			0.23862		6.43195	0.0	1.42982			0.05624	0.05934		0.00272			0.00345	1.71335			0.0	0.0023	1.67396	0.0	0.0		0.31852	0.27207		9.26552	9.75044	0.64623		0.0		0.0	0.0			0.0	0.0	24.87067		0.07779	0.0	0.0	1.4955		0.0	0.0	2.34689		0.0	0.0	CIBERSORTx	SRR13990695
1.05871	0.0	0.49832	0.06655	0.0	0.0	0.8805	6.02697		0.0	0.19472	0.0	0.0	0.47681	0.0			0.36445	0.0		0.0	0.0	1.68766	0.0	0.42757	0.97781	1.41181	1.02725	0.0	0.59089	0.01222	0.28376		0.16308	0.03744	0.33425		0.03556	0.65855	0.0	3.21936		0.29295		0.0	0.0	0.0	0.0	0.0	8.51506	0.11732	0.0			0.42553		3.49196	0.04006	1.47618			0.107	0.0		0.00771			0.02451	1.49831			0.0	0.0	2.77325	0.03855	0.0		0.14056	0.0		10.92207	16.18388	0.38792		1.52242		0.0	0.0			0.0	0.0	27.86562		0.04198	0.0	0.70238	0.60202		0.0	1.27038	1.11812		0.0	0.0	CIBERSORTx	SRR13990850
