basal cell of prostate epithelium	endothelial cell of arteriole/endothelial cell of venule	pancreatic ductal cell	duct epithelial cell/ionocyte	innate lymphoid cell	pancreatic stellate cell	capillary endothelial cell/endothelial cell of artery	erythrocyte/platelet	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	enteroglial cell	tracheal goblet cell	enterocyte of epithelium proper of duodenum	hepatocyte	intrahepatic cholangiocyte	myoepithelial cell	ciliated epithelial cell/epithelial cell of uterus	central nervous system macrophage	mural cell/pericyte	taste receptor cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	myo-medullary thymic epithelial cell	macrophage	gamma-delta t cell	myometrial cell	microglia	epithelial cell of uterus	mature nk t cell/natural killer cell	kidney epithelial cell	luminal epithelial cell of mammary gland	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	fast muscle cell/slow muscle cell	leukocyte	club cell/type i pneumocyte	pulmonary ionocyte	langerhans cell	stratified squamous epithelial cell	pancreatic stellate cell/smooth muscle cell	club cell	mesenchymal stem cell/tendon cell	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	b cell	melanocyte/progenitor cell of mammary luminal epithelium	regular atrial cardiac myocyte/ventricular cardiac muscle cell	neuron	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	common myeloid progenitor/hematopoietic stem cell	type ii pneumocyte	pancreatic acinar cell	plasma cell	cd4-positive, alpha-beta thymocyte	cd8-positive, alpha-beta thymocyte/thymocyte	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	intestinal tuft cell/tuft cell of colon	pancreatic a cell	neurons	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	bladder urothelial cell	neuro-medullary thymic epithelial cell	pancreatic d cell/type b pancreatic cell	mesothelial cell/schwann cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	mucus secreting cell/respiratory goblet cell	choroid plexus epithelial cell	acinar cell of salivary gland	pulmonary ionocyte/respiratory goblet cell	hematopoietic stem cell	serous cell of epithelium of bronchus	cardiac endothelial cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	large intestine goblet cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	type i pneumocyte	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	sebum secreting cell	melanocyte	duct epithelial cell/ionocyte/mucus secreting cell	schwann cell	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	common myeloid progenitor/erythroid progenitor cell	neutrophil	erythroid progenitor cell	mesothelial cell	Bergmann glial cell/astrocyte/ependymal cell	myeloid dendritic cell	oligodendrocyte precursor cell	serous cell of epithelium of trachea	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	basal cell/medullary thymic epithelial cell	OPC/astrocytes/oligodendrocytes	medullary thymic epithelial cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	basophil/mast cell	luminal cell of prostate epithelium	basal cell	colon endothelial cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	salivary gland cell	smooth muscle cell	progenitor cell of mammary luminal epithelium	oligodendrocyte	enteroendocrine cell of small intestine	tissue-resident macrophage	Method	Sample
1.66922	0.0	0.0	0.0	0.0	0.0	1.02856	4.32625		0.0	0.19227	0.64801	0.0	1.09268	1.45554			1.0348	1.08625		0.0	4.94492	0.0	0.0	0.89062	0.36089	5.60543	0.67621	1.5485	0.0	0.01028	0.0		0.05565	0.49075	0.0		0.0	0.3293	0.0	8.1511		0.0		0.0	1.57327	0.0	0.0	0.0	3.51277	0.16612	0.20735			0.39543		9.90871	0.83334	1.01684			0.21536	0.0		0.01812			0.05209	4.34405			0.00217	0.00618	4.12911	0.07522	0.0		0.15237	0.0		1.77526	7.85178	1.14774		0.0		0.0	0.0			0.04809	0.0	23.41787		0.45886	0.0	0.0	0.0		0.0	0.47595	2.61871		0.0	0.0	CIBERSORTx	SRR13990890
1.63246	0.0	0.0	0.09625	0.0	0.0	0.93009	5.25425		0.0	0.02125	0.0	0.02286	0.52685	0.05264			0.17858	0.05065		0.00459	0.0	0.0	0.0	0.00171	0.59583	2.84198	1.04095	0.0	0.31216	0.00401	0.04916		0.01088	0.10843	0.0213		0.001	0.40672	0.9025	4.37281		0.0		1.27269	0.0	0.0008	0.00304	1.40219	1.7073	2.34011	0.20987			0.00306		8.72416	0.0	0.019			0.0	0.0		0.0			0.0632	0.34719			0.00046	0.0	0.0	0.0	0.03413		0.04416	0.02263		9.53297	15.4949	0.10292		0.58694		0.0	0.0			0.0	0.0	37.99857		0.01816	0.0	0.0	0.07108		0.0	0.00037	0.56019		0.0	0.0	CIBERSORTx	SRR13990887
0.30571	0.0	0.02011	0.06719	0.0	1.54517	0.0	2.65102		0.0	0.20508	0.10961	0.10015	0.38203	0.02914			0.0	0.04181		0.06349	1.94952	3.84744	0.0	0.75246	0.26615	6.80177	0.19737	0.18295	0.0	0.00039	0.48275		0.00393	0.23645	0.03547		0.0	0.20268	0.36893	6.96007		7e-05		0.0	1.38607	0.0	0.0	4.19756	2.24525	2.67755	0.0349			1.14911		2.07439	0.0	0.07865			0.43763	0.0		0.0			0.0	4.98305			0.00098	0.14518	1.17738	0.0	0.02888		0.25262	0.04369		0.82945	21.02866	0.2956		0.0		0.0	0.0			1.18327	0.0	24.26143		0.01127	0.0	0.0	0.0		0.22868	3.43918	0.0		0.0007	0.0	CIBERSORTx	SRR13990963
0.15631	0.0	0.0	0.22723	0.0	0.0	1.58025	7.12298		0.0	0.0	0.24616	0.0	0.46843	0.0			0.23712	1.30905		0.0	2.69194	0.05152	0.0	0.14129	0.06032	3.41797	0.31096	0.0	0.3196	0.00064	0.28472		0.0	0.00223	0.0		0.01131	0.0	0.0	3.25822		0.0		0.0	0.0	0.0	0.00212	0.0	2.64453	3.89836	0.0			0.21167		12.28451	0.0013	1.5134			0.0	0.0		0.0			0.0129	3.87537			0.04179	0.81754	1.30329	0.00754	0.0		0.45727	0.0		0.96478	6.61901	1.40293		0.0		0.84351	0.0			0.0	0.06348	36.90123		0.0	0.0	0.0	1.17212		1.35834	0.9961	0.70865		0.0	0.0	CIBERSORTx	SRR13990899
0.82285	0.0	0.0	0.0	0.0	0.0	1.34482	3.7754		0.0	0.1379	0.11649	0.0	0.68289	0.96095			0.8698	0.69138		0.0	5.12773	1.19882	0.0	0.47053	0.41804	5.95463	1.02635	0.89856	0.0	0.01423	0.0		0.0	0.22344	0.0		0.0	0.0571	0.0	12.87418		0.0		0.05241	0.0	0.0	0.0	0.0	3.86405	0.4875	0.0			0.18573		13.01661	0.2088	1.24079			0.15175	0.0		0.0			0.0	6.23729			0.00258	0.0	3.59503	0.02321	0.0		0.52442	0.0		0.0	10.80911	1.07851		0.0		0.0	0.0			0.0	0.0	17.42112		0.43021	0.0	0.17485	0.0		0.09349	0.0	2.73643		0.0	0.0	CIBERSORTx	SRR13990888
1.67093	0.0	0.0	0.12908	0.0	0.0	0.0	5.42899		0.0	0.19077	0.29211	0.0	0.82631	0.46817			0.51425	0.85062		0.0	0.93693	0.74908	0.0	0.90259	0.2386	9.61082	0.41859	0.0	0.0	0.00623	0.0		0.0	0.21162	0.0		0.0	0.85993	0.0	8.75326		0.0		0.0	1.52284	0.0074	0.0	0.0	4.60132	0.79288	0.07387			0.60009		14.42778	0.09192	0.72262			0.15774	0.03882		0.0			0.0	4.3645			0.0	0.0	6.05005	0.0	0.53766		0.14551	0.0		0.0	12.64992	1.48997		0.0		0.0	0.0			0.32727	0.0	14.31729		0.11687	0.0	0.18407	0.0		0.32505	1.32219	2.07347		0.0	0.0	CIBERSORTx	SRR13990964
1.87054	0.0	0.02378	0.0	0.0	0.0	0.81355	1.23331		0.0	0.22374	0.20516	0.0	0.32793	0.68377			1.19679	0.94113		0.0	5.07062	0.0	0.0	0.82437	0.28608	7.77477	0.44178	0.69153	0.0	0.00672	0.01529		0.0	0.31728	0.0		0.0	0.2293	0.0	6.74178		0.0		0.0	0.0	0.0	0.00128	0.0	7.5498	0.0	0.09795			0.18262		12.08927	0.04824	1.13636			0.13895	0.0		0.0			0.0	3.43608			0.00195	0.0	1.62687	0.20058	0.0		0.31214	0.0		4.08576	5.93823	1.3885		0.0		0.0	0.0			0.0	0.0	28.8311		0.3103	0.0	0.0	0.57514		0.0	0.0	2.12965		0.0	0.0	CIBERSORTx	SRR13990898
1.6973	0.0	0.0	0.12985	0.0	0.0	1.92629	2.60912		0.0	0.43586	0.16462	0.0	0.45639	1.00456			0.36676	0.0		0.0	1.06954	1.77024	0.0	0.51198	0.87918	2.7817	1.63463	0.34432	0.0	0.00892	0.15603		0.08407	0.07455	0.22138		0.0	0.27814	0.0	4.86995		0.0		0.04445	0.0	0.0	0.00358	0.0	3.36083	0.10507	0.0			0.2925		8.35683	0.0	2.32881			0.09329	0.0		0.0			0.0	3.80842			0.0	0.01688	3.42357	0.02303	0.0		0.22347	0.29877		6.6249	17.1804	0.47105		0.0		0.0	0.0			0.0	0.0	26.6842		0.05709	0.0	0.0	0.0		0.0	0.0	3.12747		0.0	0.0	CIBERSORTx	SRR13990965
1.03041	0.0	0.05121	0.0	0.0	0.0	1.99776	5.92616		0.0	0.22492	0.38682	0.0	0.68054	0.48652			0.3901	0.87523		0.0	4.87178	0.005	0.0	0.84473	0.26171	9.93582	0.27369	0.0	0.32966	0.01235	0.0		0.0	0.0	0.0		0.0	0.19816	0.0	4.4351		0.0		0.0	0.0	0.0	0.0	0.0	5.65053	0.0	0.05054			0.23787		13.42912	0.18696	2.96013			0.07024	0.0		0.0			0.0	3.69866			0.0	0.04181	3.26512	0.0	0.07429		0.27163	0.0		1.52538	11.40537	0.81161		0.0		0.0	0.0			0.0	0.0	19.30405		0.23985	0.0	0.19067	1.20839		0.0	0.4813	1.67885		0.0	0.0	CIBERSORTx	SRR13990694
0.10414	0.0531	0.02833	0.0	0.0	0.0	0.14181	7.54737		0.0	0.0	1.52762	0.0	0.32211	0.65542			1.14365	0.03411		0.05296	0.0	1.36564	0.0	1.43365	0.90898	1.50937	0.10797	0.0	0.0	0.00931	0.0		0.73324	0.0	0.02835		0.0	0.59239	0.48748	4.97465		0.0		0.0	0.0	0.00513	0.0	0.0	0.53905	2.88322	0.0			0.6061		13.55061	0.65141	0.6836			0.58214	0.00514		0.0			0.14123	2.16525			0.0	0.0	2.26251	0.0543	0.0		0.23925	0.0		2.04994	24.21468	0.27052		0.94757		0.0	0.0			0.0	0.0	22.22124		0.0	0.0	0.0	0.0		0.0	0.98375	1.1817		0.0	0.0	CIBERSORTx	SRR13991077
