pancreatic stellate cell	tissue-resident macrophage	hepatocyte	intrahepatic cholangiocyte	endothelial cell of arteriole/endothelial cell of venule	colon endothelial cell	myeloid dendritic cell	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	Bergmann glial cell/astrocyte/ependymal cell	mesenchymal stem cell/tendon cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	serous cell of epithelium of trachea	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	duct epithelial cell/ionocyte	OPC/astrocytes/oligodendrocytes	capillary endothelial cell/endothelial cell of artery	neuron	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	oligodendrocyte precursor cell	acinar cell of salivary gland	neutrophil	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	salivary gland cell	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	progenitor cell of mammary luminal epithelium	pulmonary ionocyte	fast muscle cell/slow muscle cell	duct epithelial cell/ionocyte/mucus secreting cell	bladder urothelial cell	neurons	luminal epithelial cell of mammary gland	enteroendocrine cell of small intestine	erythrocyte/platelet	pancreatic stellate cell/smooth muscle cell	central nervous system macrophage	enterocyte of epithelium proper of duodenum	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	basal cell/medullary thymic epithelial cell	intestinal tuft cell/tuft cell of colon	cd8-positive, alpha-beta thymocyte/thymocyte	type ii pneumocyte	myometrial cell	cd4-positive, alpha-beta thymocyte	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	mesothelial cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	plasma cell	club cell/type i pneumocyte	melanocyte/progenitor cell of mammary luminal epithelium	gamma-delta t cell	pancreatic d cell/type b pancreatic cell	epithelial cell of uterus	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	tracheal goblet cell	medullary thymic epithelial cell	melanocyte	basal cell	large intestine goblet cell	mural cell/pericyte	macrophage	sebum secreting cell	pancreatic a cell	pulmonary ionocyte/respiratory goblet cell	pancreatic ductal cell	myoepithelial cell	mucus secreting cell/respiratory goblet cell	basophil/mast cell	neuro-medullary thymic epithelial cell	regular atrial cardiac myocyte/ventricular cardiac muscle cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	common myeloid progenitor/erythroid progenitor cell	oligodendrocyte	pancreatic acinar cell	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	kidney epithelial cell	erythroid progenitor cell	serous cell of epithelium of bronchus	choroid plexus epithelial cell	langerhans cell	common myeloid progenitor/hematopoietic stem cell	enteroglial cell	mesothelial cell/schwann cell	innate lymphoid cell	schwann cell	type i pneumocyte	stratified squamous epithelial cell	mature nk t cell/natural killer cell	microglia	myo-medullary thymic epithelial cell	smooth muscle cell	basal cell of prostate epithelium	leukocyte	club cell	ciliated epithelial cell/epithelial cell of uterus	cardiac endothelial cell	luminal cell of prostate epithelium	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	b cell	taste receptor cell	hematopoietic stem cell	Method	Sample
0.0	0.0	0.0	0.71678	0.23676	0.0	0.82334	0.0			0.41295	0.0	14.49811	0.0		0.0	0.65948	0.0		0.09874	3.05724		0.0	13.56981		1.65253	0.0809	2.86603	0.75242	0.00373		0.0	1.69989	0.65232	0.0	0.0			0.94427	0.0			10.54665	0.0	0.0	0.0		1.78612		0.0	0.7046			0.32458		0.86342		0.0	0.0	0.29559	0.0		1.64905	0.0	0.0			0.0	0.91003	0.08141	3.88024	0.56296	0.01845		0.0			0.00906	0.0	0.87355	1.67739	0.02728		0.13068	3.7356	0.0		0.0	0.85763	0.0	0.0	3.12348	1.07067	0.17863	0.0	1.97521	0.92604	0.0		4.19306	0.0	11.71755	3.1518	2.00399		CIBERSORTx	prevail_cu_cfrna_206
0.0	0.0	0.0	0.0	0.0	1.87691	0.0	0.0			1.06441	0.00424	21.2907	0.0		0.05286	0.09859	0.0		0.14127	4.28733		0.0	28.2974		0.30304	0.09068	3.33392	0.38443	0.0		0.0	1.31394	1.30665	0.0	0.0			0.33068	0.0			4.3508	0.0	0.0	0.0		0.68523		0.0	0.26621			0.0		0.56537		0.0	0.0	0.25804	0.0		0.94259	0.0	0.0			0.22419	0.3708	0.08038	1.12201	0.45848	0.11859		0.0			0.0	0.0	0.38874	2.0672	0.01656		1.01161	0.0	0.0		0.0	0.78473	0.0	0.0	2.00059	1.73257	0.20873	0.48096	2.40138	0.0	0.0		2.66628	0.0	9.19298	2.73703	0.69092		CIBERSORTx	prevail_cu_cfrna_211
0.0	0.0	0.0	0.06555	0.08837	1.05062	0.0	0.0			0.09376	0.0	17.89904	0.0		0.0	0.0	0.0		0.0185	0.94474		0.07388	19.72834		0.23316	0.0	1.9274	0.0	0.0		0.0	4.88904	0.22841	0.0	0.35513			0.01721	0.0			9.06894	0.0	0.0	0.0		0.44189		0.0	0.03423			0.0		0.0		0.0	0.0	0.22975	0.0		1.47486	0.0	0.0			0.027	0.17818	0.00145	0.04097	0.0	0.0		0.0			0.0	0.0	0.0	0.46119	0.18863		3.97588	0.0	0.0		0.0	0.58034	0.0	0.0	5.94417	1.79955	0.01362	0.05955	0.83407	0.0	0.00175		4.03075	0.0	19.23399	3.3747	0.3914		CIBERSORTx	prevail_cu_cfrna_223
0.0	0.0	0.0	0.55593	2.17322	0.46378	0.0	0.3223			0.2421	0.0	16.59932	0.0		0.20714	0.18596	0.0		0.0	6.88707		0.0	6.83759		0.25969	0.24445	3.11053	0.0328	0.00679		0.0	1.80418	0.12742	0.0	0.24589			1.05214	0.0			8.31525	0.0	0.0	0.0		0.97661		0.0	0.0			0.0		0.82644		0.0	0.0	0.0	0.0		2.15276	0.0	0.0			0.0	0.68875	0.08668	1.3693	0.08996	0.0		0.0			0.00688	0.0	0.40034	0.45105	0.0		2.56001	1.24173	0.0		0.0	1.09626	0.07469	0.0	4.36122	1.75969	0.0	0.17968	3.08945	0.0	0.0		6.59852	0.0	13.8471	7.3087	1.16062		CIBERSORTx	prevail_cu_cfrna_215
0.0	0.0	0.0	0.01617	0.3571	0.0	0.87557	1.19547			0.69201	0.00682	16.77279	0.0		0.10296	0.51688	0.56707		0.0226	1.70571		0.0	14.52093		2.20162	0.0	2.25733	0.57016	0.01632		0.0	1.62991	0.68955	0.0	0.09792			0.54599	0.0			8.15805	0.0	0.0	0.0		1.61541		0.2644	0.00799			0.67963		0.28823		0.0	0.0	0.0	0.0		2.16008	1.66376	0.02662			0.09543	1.30079	0.09976	4.1106	0.5027	0.0		0.0			0.0	0.0	0.68446	2.46369	0.00149		0.47009	2.33414	0.0		0.0	1.09631	0.0	0.0	2.49604	1.36672	0.19446	0.0	3.51751	0.0	0.0		4.14585	0.0	10.37506	2.74678	1.77304		CIBERSORTx	prevail_cu_cfrna_202
0.0	0.0	0.0	0.07234	3.2572	0.0	0.86525	0.0			0.0	0.0	23.73621	0.0		0.04005	0.0	1.46067		0.01802	3.45588		0.0	20.615		0.877	0.00282	3.64999	0.0	0.00695		0.0	1.57535	0.01881	0.00043	0.53209			0.03346	0.0			12.46833	0.0	0.0	0.0		0.67843		0.06115	0.0			0.33933		0.0		0.0	0.0	0.37576	0.00853		0.00918	0.0	0.0			0.0	0.12256	0.0	0.00098	0.00773	0.0		0.0			0.00155	0.32229	0.01894	1.28156	0.0045		0.284	0.0	0.0		0.0	0.0085	0.00525	0.0	0.0257	5.74887	0.00996	0.0	0.2793	0.0	0.0		8.20693	0.0	8.77875	0.48366	0.25075		CIBERSORTx	prevail_cu_cfrna_224
0.0	0.0	0.08693	0.10428	0.72536	0.0	0.0	0.0			0.3624	0.0	13.3175	0.71218		0.02204	0.61501	0.0		0.35952	5.48842		0.0	9.39637		1.24551	0.05502	2.29885	0.12798	0.0		0.0	2.35648	0.46976	0.0	0.0			1.37802	0.0			10.20022	0.0032	0.0	0.0		0.83928		0.0	0.0			0.11358		0.83207		0.0	0.0	0.10991	0.0		2.52258	0.0	0.0			0.67514	0.46425	0.00881	1.89234	0.13022	0.25798		0.0			0.0	0.0	0.27038	6.97604	0.07034		1.22668	0.0	0.0		0.0	0.83661	0.0	0.0	3.69057	1.46995	0.29242	0.0	1.54041	0.48975	0.0		4.62735	0.0	11.82353	7.85601	1.65876		CIBERSORTx	prevail_cu_cfrna_199
0.0	0.0	0.0	0.22537	0.12453	0.54933	0.77342	0.0			0.33876	0.0	21.10186	0.0		0.0	0.20504	0.0		0.0	1.36246		0.0	31.87765		0.332	0.03302	2.41519	0.14547	0.0		0.0	0.9903	1.61254	0.0	0.0			0.73179	0.0			4.34849	0.0	0.0	0.0		0.92006		0.05849	0.55595			0.0		1.11749		0.0	0.0	0.48416	0.0		1.20684	0.0	0.0			0.05689	0.32258	0.0	1.65237	0.27046	0.16271		0.0			0.0	0.0	0.25632	1.46471	0.09326		0.37374	0.0	0.0		0.0	0.65241	0.05584	0.0	3.56889	1.50512	0.24155	0.0	2.3281	0.71801	0.0		2.98685	0.0	10.62821	0.30618	0.8456		CIBERSORTx	prevail_cu_cfrna_204
0.0	0.0	0.0	0.45393	0.0	0.54808	2.59736	0.0			0.65845	0.0	20.56137	0.0		0.0	0.31268	0.0		0.0	2.17829		0.00566	15.63303		0.58119	0.0	3.81662	0.16721	0.01399		0.0	1.35686	1.06805	0.0	0.0			0.47115	0.0			7.64135	0.0	0.0	0.0		0.40851		0.06136	0.75004			0.24292		1.13607		0.0	0.0	0.0	0.0		1.54676	0.0	0.04523			0.00902	0.2347	0.0	0.46663	0.55847	0.38147		0.0			0.0	0.0	1.2128	6.67479	0.11801		0.50221	0.0	0.0		0.0	0.90265	0.0	0.0	2.44909	1.26938	0.13064	0.0	2.00334	0.81401	0.0		3.90681	0.0	9.74404	6.29452	0.07126		CIBERSORTx	prevail_cu_cfrna_217
0.0	0.0	0.0	0.75683	0.0	0.4808	0.0	0.0			0.90641	0.00308	18.45371	0.0		0.0	0.42212	0.0		0.22772	5.83591		0.0	23.6382		1.08863	0.20704	3.12268	0.46185	0.0		0.0	2.22363	0.74707	0.0	0.29405			0.7593	0.0			4.91794	0.0	0.0	0.0		0.71699		0.0	0.13366			0.0		0.16717		0.0	0.0	0.39757	0.0		1.59211	0.0	0.0			0.58103	0.22502	0.09886	2.01424	0.44824	0.0		0.4662			0.0	0.0	0.12899	1.55658	0.0		1.30231	0.49194	0.0		0.0	0.8158	0.0	0.0	0.99761	1.08356	0.59203	0.03757	3.22504	0.0	0.0		3.70732	0.0	11.0592	2.6283	0.9857		CIBERSORTx	prevail_cu_cfrna_216
