tracheal goblet cell	luminal cell of prostate epithelium	melanocyte/progenitor cell of mammary luminal epithelium	sebum secreting cell	central nervous system macrophage	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	type i pneumocyte	enteroglial cell	melanocyte	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	kidney epithelial cell	pancreatic stellate cell/smooth muscle cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	macrophage	gamma-delta t cell	mucus secreting cell/respiratory goblet cell	pulmonary ionocyte	erythroid progenitor cell	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	mural cell/pericyte	bladder urothelial cell	ciliated epithelial cell/epithelial cell of uterus	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	smooth muscle cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	duct epithelial cell/ionocyte/mucus secreting cell	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	common myeloid progenitor/erythroid progenitor cell	endothelial cell of arteriole/endothelial cell of venule	basophil/mast cell	myo-medullary thymic epithelial cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	pancreatic a cell	regular atrial cardiac myocyte/ventricular cardiac muscle cell	myeloid dendritic cell	salivary gland cell	progenitor cell of mammary luminal epithelium	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	plasma cell	luminal epithelial cell of mammary gland	mesothelial cell	b cell	basal cell/medullary thymic epithelial cell	basal cell	serous cell of epithelium of trachea	pancreatic ductal cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	OPC/astrocytes/oligodendrocytes	oligodendrocyte precursor cell	hematopoietic stem cell	pancreatic stellate cell	cd8-positive, alpha-beta thymocyte/thymocyte	cd4-positive, alpha-beta thymocyte	leukocyte	neutrophil	type ii pneumocyte	mature nk t cell/natural killer cell	choroid plexus epithelial cell	schwann cell	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	intrahepatic cholangiocyte	medullary thymic epithelial cell	neurons	taste receptor cell	serous cell of epithelium of bronchus	fast muscle cell/slow muscle cell	cardiac endothelial cell	capillary endothelial cell/endothelial cell of artery	epithelial cell of uterus	basal cell of prostate epithelium	pancreatic acinar cell	acinar cell of salivary gland	common myeloid progenitor/hematopoietic stem cell	stratified squamous epithelial cell	langerhans cell	pancreatic d cell/type b pancreatic cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	neuro-medullary thymic epithelial cell	intestinal tuft cell/tuft cell of colon	pancreatic a cell/pancreatic d cell/type b pancreatic cell	oligodendrocyte	erythrocyte/platelet	hepatocyte	club cell	myoepithelial cell	pulmonary ionocyte/respiratory goblet cell	enterocyte of epithelium proper of duodenum	large intestine goblet cell	colon endothelial cell	enteroendocrine cell of small intestine	mesenchymal stem cell/tendon cell	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	tissue-resident macrophage	club cell/type i pneumocyte	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	neuron	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	duct epithelial cell/ionocyte	innate lymphoid cell	myometrial cell	mesothelial cell/schwann cell	Bergmann glial cell/astrocyte/ependymal cell	microglia	Method	Sample
0.06072	0.0		0.0		22.47424	0.0	0.0	0.27135	15.22114	1.6173			0.0	3.76224	0.11288	0.0	7.69113	0.0	0.81891	0.20039		0.0	0.41055				0.05268		0.0	0.04388	0.0			0.23251	5.65306	0.0	3.79871	0.0	0.0959	0.87525	0.79513	3.10089		0.13523	0.0	0.0		0.85143			0.0	9.72831	0.0	0.0	0.29816	0.0	9.66114		0.54273	2.02863	0.0	0.32618	0.0	0.56	0.24452	0.0	0.01637	2.65055	0.0	2.56912	0.0	0.0	0.0	0.73774	0.0	0.0			0.09297		0.0		0.0	0.0	0.0	0.16146		0.20109		0.0	0.0	0.4494		0.0		0.14409		0.0	0.07539	0.0	0.0			1.23666	CIBERSORTx	cfrna_kd_94
0.0	0.0		0.0		16.78327	0.0	0.0	0.0	18.26477	0.40008			0.0	0.0	0.10227	0.0	0.40879	0.04191	1.30831	0.0		0.0	1.12328				0.04708		0.0	0.24502	0.01348			0.0	6.94567	0.64364	2.58371	0.0	0.09384	0.22086	0.39296	10.31156		0.0	0.0	0.0		0.89839			0.0	9.89421	0.0	0.0	1.36297	0.0	7.56072		0.39446	2.98521	0.0	0.77343	0.0	0.49624	1.08235	0.0	0.00365	6.0272	0.0	1.79118	2.29503	0.01618	0.0	0.0	0.0	0.46034			0.79266		0.0		0.09345	0.0	0.0	0.17737		0.29493		0.43003	0.0	0.36522		0.0		0.0		0.0	0.1084	0.0	0.0			1.76588	CIBERSORTx	cfrna_kd_10
0.0	0.0		0.0		19.99996	0.0	0.0	0.12451	14.27341	0.63958			0.0	0.0	0.10397	0.0	4.5745	0.0	1.32269	0.36728		0.0	0.41117				0.0704		0.0	0.61601	0.0			0.0	5.03079	0.56515	3.01229	0.0	0.08372	0.55164	1.27067	6.06978		0.0	0.0	0.0		0.73135			0.0	11.14339	0.0	0.0	0.0	0.0	9.90346		0.50176	2.6715	0.0	0.344	0.0	0.81201	1.13627	0.0	0.00645	6.45792	0.0	1.57999	0.0	0.0	0.0	1.61547	0.0	0.60459			0.0		0.0		0.0	0.0	0.0	0.66905		0.43121		0.0	0.0	0.65132		0.0		0.14225		0.0	0.18162	0.0	0.0			1.32887	CIBERSORTx	cfrna_kd_33
0.0	0.0		0.0		17.26572	0.0	0.0	0.35092	25.40688	0.2231			0.0	0.0	0.06792	0.0	3.32959	0.0	1.4946	0.26544		0.0	1.1157				0.08039		0.0	0.44066	0.0			0.0	4.5182	0.0	3.14166	0.0	0.0	1.30195	0.88825	7.82695		0.0	0.0	0.0		1.11653			0.0	11.78312	0.0	0.0	0.26661	0.0	1.28242		0.57854	2.67246	0.13085	0.82681	0.0	0.76248	1.32247	0.0	0.03604	7.05737	0.0	1.12212	0.19388	0.00273	0.0	0.0	0.0	0.21073			0.05714		0.0		0.34415	0.0	0.0	0.27446		0.29503		0.0	0.0	0.74822		0.0		0.11145		0.0	0.0	0.0	0.0			1.08642	CIBERSORTx	cfrna_kd_18
0.0	0.0		0.0		15.82718	0.0	0.0	0.20817	26.31742	0.39844			0.0	0.0	0.0	0.0	0.92411	0.0	0.59691	0.54394		0.0	1.65388				0.04536		0.0	0.58323	0.0			0.0	5.35477	0.37924	2.48595	0.60096	0.02707	1.35873	0.72831	5.21459		0.0	0.0	0.19024		0.68432			0.0	9.87398	0.0	0.0	0.0	0.0	6.24039		0.61501	2.36208	0.0	0.59456	0.0	0.5928	0.87059	0.05004	0.01179	6.54075	0.0	0.95274	1.03805	0.0	0.0	1.24771	0.0	0.08624			0.08861		0.0		1.32008	0.0	0.0	0.17482		0.33311		0.15467	0.0	0.36762		0.0		0.35038		0.0	0.0	0.0	0.0			2.01113	CIBERSORTx	cfrna_kd_9
0.0325	0.0		0.0		19.79917	0.0	0.0	0.16834	15.27416	1.13735			0.0	1.3159	0.0	0.0	13.63875	0.0	1.28769	0.15463		0.0	0.98286				0.05076		0.0	0.04272	0.02932			0.03004	4.18964	0.24304	3.39923	0.0	0.12581	1.1267	0.87256	5.47324		0.16098	0.0	0.0		0.52201			0.0	11.29711	0.0	0.0	0.65912	0.0	5.618		0.29622	2.27637	0.0	0.37388	0.0	0.3816	0.00392	0.0	0.00482	3.76059	0.0	2.45807	0.41643	0.0	0.0	0.0	0.03176	0.26328			0.08227		0.00231		0.0	0.0	0.0	0.06607		0.18869		0.0	0.0	0.53733		0.0		0.28788		0.0	0.1293	0.0	0.0			0.80757	CIBERSORTx	cfrna_kd_105
0.0	0.0		0.0		17.10542	0.0	0.0	0.20248	22.89279	0.15822			0.0	0.0	0.09946	0.0	1.63634	0.0	1.24788	0.0		0.0	0.34273				0.05078		0.3296	0.31829	0.26934			0.0	3.57031	0.97389	2.23924	0.0	0.10647	0.75559	0.74376	9.25676		0.0	0.0	0.0		0.68584			0.0	9.03001	0.0	0.0	4.37477	0.0	8.83335		0.54909	1.45843	0.0	0.48812	0.0	0.5548	0.82938	0.0	0.0	4.72212	0.0	1.76939	1.52288	0.00299	0.0	0.0	0.0	0.08553			0.22099		0.0		0.04848	0.0	0.0	0.0		0.14493		0.0	0.0	0.45064		0.0		0.0		0.0	0.13923	0.0	0.0			1.78969	CIBERSORTx	cfrna_kd_5
0.0	0.0		0.0		15.38742	0.0	0.36112	0.10573	32.09431	0.0			0.0	0.0	0.0	0.18246	0.83831	0.06765	0.32297	0.0		0.0	0.79109				0.0		0.0	0.01406	0.12307			0.0	2.38712	1.05175	0.41694	0.64189	0.43626	0.47279	0.25972	5.24152		0.0	0.49417	0.0		0.30181			0.0	10.497	0.0	0.0	9.03436	0.0	6.78791		0.0	0.30273	0.0	0.43402	0.0	0.02039	0.87748	0.06774	0.01022	3.50404	0.08802	0.49363	2.09999	0.00272	0.0	0.0	0.0	0.0			0.92307		0.0		0.19648	0.0	0.34333	0.0733		0.32095		0.23819	0.0	0.0		0.0		0.0		0.0	0.0	0.0	0.0			1.69228	CIBERSORTx	cfrna_kd_16
0.07818	0.0		0.0675		18.93888	0.0	0.0	0.0	27.934	0.06831			0.0	0.0	0.0	0.0	3.52947	0.0	1.18799	0.0		0.0	1.00369				0.00117		0.0	0.00053	0.11049			0.0	1.77804	0.24182	2.91745	0.0	0.0	0.62726	0.08342	9.18437		0.0	0.0	0.0		0.40754			0.0	10.01209	0.0	0.0	8.25631	0.0	0.97885		0.22273	2.50364	0.0	0.10817	0.0	0.57969	0.51316	0.0	0.0	5.369	0.0	0.0	0.57036	0.00483	0.0	0.0	0.0	0.0			0.05071		0.0		0.38708	0.0	0.0	0.0		0.00581		0.0	0.0	0.48682		0.0		0.0		0.0	0.15101	0.0	0.0			1.63965	CIBERSORTx	cfrna_kd_2
6e-05	0.0		0.0		14.20362	0.0	0.0	0.2228	24.40468	0.43612			0.0	0.0	0.0	0.0	0.53866	0.03221	1.17566	0.09067		0.0	0.54504				0.04829		0.0	0.83004	0.11885			0.0	3.18861	0.42257	2.78392	0.0	0.06918	0.65096	0.50774	14.8051		0.0	0.0	0.0		0.83015			0.0	11.79344	0.0	0.0	0.61996	0.0	6.18355		0.29196	1.99999	0.0	0.40556	0.0	0.59828	1.6746	0.0	0.0054	4.47109	0.0	1.05387	1.35647	0.0	0.0	0.0	0.0	0.47035			0.08478		0.0		0.10785	0.0	0.0	0.04687		0.45854		0.0	0.0	0.75682		0.0		0.0		0.0	0.0	0.0	0.0			1.7157	CIBERSORTx	cfrna_kd_3
