cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	cardiac endothelial cell	colon endothelial cell	basophil/mast cell	mesothelial cell/schwann cell	Bergmann glial cell/astrocyte/ependymal cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	endothelial cell of arteriole/endothelial cell of venule	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	taste receptor cell	serous cell of epithelium of bronchus	neurons	fast muscle cell/slow muscle cell	plasma cell	b cell	salivary gland cell	enteroglial cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	pancreatic a cell	hematopoietic stem cell	duct epithelial cell/ionocyte	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	pulmonary ionocyte/respiratory goblet cell	luminal cell of prostate epithelium	microglia	kidney epithelial cell	capillary endothelial cell/endothelial cell of artery	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	basal cell	neutrophil	leukocyte	duct epithelial cell/ionocyte/mucus secreting cell	neuron	type ii pneumocyte	choroid plexus epithelial cell	serous cell of epithelium of trachea	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	schwann cell	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	large intestine goblet cell	basal cell/medullary thymic epithelial cell	hepatocyte	enteroendocrine cell of small intestine	innate lymphoid cell	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	cd8-positive, alpha-beta thymocyte/thymocyte	basal cell of prostate epithelium	gamma-delta t cell	mature nk t cell/natural killer cell	pancreatic stellate cell	melanocyte/progenitor cell of mammary luminal epithelium	type i pneumocyte	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	pulmonary ionocyte	myo-medullary thymic epithelial cell	pancreatic stellate cell/smooth muscle cell	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	bladder urothelial cell	common myeloid progenitor/hematopoietic stem cell	tissue-resident macrophage	mural cell/pericyte	ciliated epithelial cell/epithelial cell of uterus	medullary thymic epithelial cell	macrophage	pancreatic a cell/pancreatic d cell/type b pancreatic cell	mesenchymal stem cell/tendon cell	central nervous system macrophage	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	myoepithelial cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	progenitor cell of mammary luminal epithelium	mesothelial cell	epithelial cell of uterus	langerhans cell	sebum secreting cell	club cell/type i pneumocyte	myeloid dendritic cell	intestinal tuft cell/tuft cell of colon	acinar cell of salivary gland	tracheal goblet cell	mucus secreting cell/respiratory goblet cell	common myeloid progenitor/erythroid progenitor cell	smooth muscle cell	pancreatic ductal cell	erythroid progenitor cell	luminal epithelial cell of mammary gland	pancreatic d cell/type b pancreatic cell	pancreatic acinar cell	cd4-positive, alpha-beta thymocyte	melanocyte	neuro-medullary thymic epithelial cell	intrahepatic cholangiocyte	myometrial cell	regular atrial cardiac myocyte/ventricular cardiac muscle cell	club cell	enterocyte of epithelium proper of duodenum	stratified squamous epithelial cell	erythrocyte/platelet	oligodendrocyte	OPC/astrocytes/oligodendrocytes	oligodendrocyte precursor cell	Method	Sample
0.0	20.5874		4.64901	0.0	1.7179				0.0		0.0	0.77455	0.0	0.70688	0.01618	0.0	11.67737	1.04128	0.0	0.0			0.44229	0.0		0.00757	0.85709	0.64152	0.0		0.0	0.28588	0.0			0.0		0.09023		0.29068	0.0	0.09222			0.0	0.0	0.0	0.17389	9.64907	0.0	0.0	7.10168	0.0		0.0		0.11538	0.03807			0.36153	5.88706	0.0	0.94539		0.0	0.0	0.03065	0.1829		0.0	0.34421	20.19965	1.76695	0.11979	0.0	0.65597	0.04729		2.10491		0.0	0.0	0.09051		0.15475	0.37133	1.08601	0.24164		0.0075	0.0	0.0	0.20631	0.0	0.0	0.0	0.03598	0.59111	0.0	3.11445		0.498		CIBERSORTx	971241_3
0.17961	11.47034		3.99208	0.0	0.39108				0.0		0.06065	0.51325	0.0	0.67239	0.01984	0.0	13.86699	0.0	0.0	0.15531			0.0	0.0		0.0	0.64283	1.43183	0.0		0.0	3.92978	0.0			0.0		0.0		0.62792	0.09235	0.01487			0.0	0.0	0.0	3.16551	1.12419	1.28041	0.0	0.48625	0.0		0.0		0.0	0.0			0.2686	4.96833	0.0	1.3486		0.0	0.0	0.01075	1.75239		0.0	0.235	19.38076	3.01389	0.34275	0.23675	0.0	0.0		6.23529		0.00843	0.32896	0.0		1.19974	0.1539	5.73187	1.3296		0.0	2.43077	1.31851	0.0	0.50027	0.0	0.10551	0.0	0.0	0.0	4.80391		0.17796		CIBERSORTx	653512_3
0.0	20.40365		3.20425	0.0	2.88772				0.0		0.08794	1.11892	0.0	0.8808	0.01742	0.0	11.12999	0.35185	0.0	0.0			0.0	0.0		0.0	1.222	0.84946	0.0		0.0	0.6005	0.0			0.0		0.08783		0.47652	0.08842	0.0			0.0	0.0	0.0	1.89357	8.21865	1.49743	0.0	2.53708	0.0		0.0		0.0	0.23021			0.2172	4.951	0.0	0.88726		0.0	0.0	0.0	0.67313		0.0	0.21273	15.58416	3.12714	0.36457	0.28068	1.12134	0.0		5.88345		0.0	0.0	0.07546		0.72716	0.0	2.68398	0.73781		0.01441	0.0	0.40681	0.06478	0.17454	0.0	0.28597	0.0	0.0	0.0	3.53849		0.2037		CIBERSORTx	897309_3
1.36865	16.43006		3.83573	2.32047	1.23112				0.35273		0.36155	0.6376	0.01522	0.83089	0.0	0.0	5.59405	0.57378	0.06196	0.0			0.58286	0.26307		0.0	1.09145	0.45333	0.0		0.27382	8.76233	0.10322			0.08707		0.05119		0.0282	0.30725	0.19784			0.14381	0.09943	0.0	0.9195	3.79758	0.19943	0.0	5.81591	0.0		0.06196		0.0	0.0			0.00351	4.01916	0.0	0.88418		0.0	0.0	0.1723	0.33326		0.0	0.18791	22.99746	1.81716	0.38395	0.0	0.58366	0.08241		2.29952		0.0	0.0	0.31456		0.49386	0.05449	3.86029	0.0		0.00219	0.0	0.0	0.52429	0.04576	0.0	0.0	0.0	0.4014	0.0	2.99357		0.69208		CIBERSORTx	565782_3
3.13407	13.54759		2.366	0.0	0.3372				0.0837		0.0	1.81165	0.0	0.86701	0.0104	0.0	8.23058	0.0	0.0	0.0			0.18882	0.0		0.0	1.42235	0.39205	0.0		0.0	10.13884	0.0			0.00789		0.0		0.69885	0.07826	0.0			0.0	0.0	0.0	3.45933	3.53179	1.1893	0.0	2.76318	0.0		0.0		0.09756	0.20812			0.0	3.71841	0.0	2.7656		0.0	0.0	0.0	0.53532		0.0	0.4104	25.0372	2.97516	0.49241	0.0	0.40081	0.0		1.02392		0.0	0.0	0.1014		0.0	0.0	0.0	1.43236		0.10869	0.0	0.26934	0.0	0.18468	0.0	0.0	0.0	0.43134	0.0	5.20043		0.34801		CIBERSORTx	707861_2
3.93448	17.95842		0.59582	0.0	0.03467				0.19203		0.0	1.1917	0.00755	0.33184	0.00263	0.0	3.41076	0.4144	0.0	0.0			0.14369	0.03212		0.0	1.73494	0.0	0.28539		0.0	27.88805	0.0			0.0		0.2264		0.0	0.03714	0.06678			0.0	0.0	0.0	0.86012	6.01591	1.55185	0.0	5.5434	0.0		0.0		0.0	0.14334			0.0	0.54858	0.0	1.56174		0.0	0.0	0.0	0.0		0.0	0.21362	19.73293	1.16449	0.30264	0.0	0.33539	0.0263		0.0		0.0	0.0	0.095		0.0	0.0	0.0	1.33225		0.0	0.0	0.0	0.24085	0.0	0.0	0.0	0.0	0.2817	0.0	1.5611		0.0		CIBERSORTx	888987_3
0.21015	9.46366		4.65241	0.0	1.95574				0.0		0.31623	1.95025	0.0	0.48376	0.02257	0.0	12.62509	0.0	0.0	0.0			0.1905	0.0		0.0	1.28536	0.89725	0.0		0.0	1.20111	0.0			0.03732		0.0		0.71834	0.0	0.39645			0.0	0.0	0.0	3.08146	3.86234	1.87468	0.0	0.04618	0.0		0.0		0.0	0.0603			0.15309	9.76761	0.0	2.44675		0.0	1.93377	0.01134	0.9698		0.0	0.2458	23.82733	2.52951	0.60827	0.43468	1.96813	0.0		0.0		0.00743	0.0	0.14985		0.75988	0.01627	0.0	0.66412		0.01536	0.0	0.62971	1.08051	0.38072	0.0	0.01326	0.0	0.0	0.0	5.85202		0.20365		CIBERSORTx	765128_2
1.09786	8.6562		4.90142	0.0	1.51714				0.76891		0.0	1.87332	0.0	0.9689	0.02623	0.0	3.87707	0.7722	0.0	0.20003			0.18596	0.0		0.0	0.66804	1.61998	0.0		0.0	0.0	0.0			0.02709		0.89709		0.35784	0.0	0.47281			0.29024	0.0	0.0	2.32687	0.93453	1.13517	0.20069	3.02722	0.0		0.0		0.0	0.0			0.30708	14.55983	0.0	1.66306		0.0	8.33733	0.01792	0.81317		0.0	1.72696	19.50892	2.73206	1.60743	0.0	2.00299	0.0		0.0		0.0	0.0	0.149		0.0	0.01088	0.0	0.63094		0.02559	0.0	0.0	0.13896	0.0	0.0	0.0	0.0	0.0	0.0	8.96508		0.0		CIBERSORTx	961389_3
2.8019	11.67439		2.88386	0.82013	2.39242				0.0		0.3285	1.68075	0.0	0.48962	0.03334	0.0	9.90136	0.71919	0.0	0.0			0.0	0.0		0.0	1.17103	0.69572	0.0		0.0	6.48787	0.0			0.0		0.0		0.20016	0.08764	0.0			0.0	0.0	0.0	1.41942	3.51585	1.45684	0.0	3.07989	0.0		0.0		0.0	0.15604			0.39267	4.23648	0.0	1.42042		0.0	0.0	0.0	0.59969		0.0	0.0	24.30563	3.42022	0.26968	0.39095	0.21193	0.0		2.59558		0.0	0.0	0.01989		0.64266	0.0	4.15079	0.97819		0.00308	0.0	0.30966	0.07239	0.71515	0.0	0.22781	0.0	0.0	0.0	2.79054		0.25068		CIBERSORTx	982023_3
2.90111	21.05514		3.29207	0.0	0.97461				0.52179		0.0	1.65236	0.0	0.7831	0.0053	0.0	10.81401	0.72655	0.0	0.0			0.2061	0.0		0.0	0.86602	0.38477	0.0		0.0	3.85233	0.0			0.0		0.08718		0.10585	0.06702	0.04058			0.0	0.0	0.0	3.13138	6.3801	1.55281	0.0	1.67774	0.0		0.0		0.0	0.19345			0.21683	3.50117	0.0	2.00654		0.0	0.0	0.0	0.67773		0.0	0.07068	21.62131	2.31529	0.67238	0.0	0.65455	0.0		2.21256		0.0	0.0	0.08234		0.72686	0.0	0.28606	0.45637		0.01364	0.0	0.36217	0.0	0.26978	0.0	0.0	0.0	0.35921	0.0	1.91371		0.30943		CIBERSORTx	691160_3
