ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	serous cell of epithelium of bronchus	pancreatic stellate cell/smooth muscle cell	bladder urothelial cell	microglia	neurons	luminal cell of prostate epithelium	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	common myeloid progenitor/erythroid progenitor cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	erythrocyte/platelet	large intestine goblet cell	capillary endothelial cell/endothelial cell of artery	pancreatic acinar cell	mural cell/pericyte	regular atrial cardiac myocyte/ventricular cardiac muscle cell	cd4-positive, alpha-beta thymocyte	luminal epithelial cell of mammary gland	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	oligodendrocyte	langerhans cell	intrahepatic cholangiocyte	serous cell of epithelium of trachea	oligodendrocyte precursor cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	type ii pneumocyte	mature nk t cell/natural killer cell	ciliated epithelial cell/epithelial cell of uterus	melanocyte/progenitor cell of mammary luminal epithelium	salivary gland cell	cd8-positive, alpha-beta thymocyte/thymocyte	OPC/astrocytes/oligodendrocytes	acinar cell of salivary gland	leukocyte	cardiac endothelial cell	endothelial cell of arteriole/endothelial cell of venule	kidney epithelial cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	mesothelial cell	pulmonary ionocyte	schwann cell	myo-medullary thymic epithelial cell	intestinal tuft cell/tuft cell of colon	epithelial cell of uterus	mesothelial cell/schwann cell	pancreatic a cell	myoepithelial cell	stratified squamous epithelial cell	central nervous system macrophage	melanocyte	enterocyte of epithelium proper of duodenum	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	colon endothelial cell	basal cell of prostate epithelium	enteroendocrine cell of small intestine	myometrial cell	basal cell/medullary thymic epithelial cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	medullary thymic epithelial cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	sebum secreting cell	club cell	mesenchymal stem cell/tendon cell	erythroid progenitor cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	pulmonary ionocyte/respiratory goblet cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	type i pneumocyte	duct epithelial cell/ionocyte	club cell/type i pneumocyte	taste receptor cell	hepatocyte	enteroglial cell	gamma-delta t cell	pancreatic d cell/type b pancreatic cell	basal cell	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	tracheal goblet cell	hematopoietic stem cell	common myeloid progenitor/hematopoietic stem cell	plasma cell	choroid plexus epithelial cell	myeloid dendritic cell	neuron	pancreatic stellate cell	neuro-medullary thymic epithelial cell	duct epithelial cell/ionocyte/mucus secreting cell	b cell	tissue-resident macrophage	smooth muscle cell	mucus secreting cell/respiratory goblet cell	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	Bergmann glial cell/astrocyte/ependymal cell	pancreatic ductal cell	macrophage	fast muscle cell/slow muscle cell	progenitor cell of mammary luminal epithelium	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	basophil/mast cell	neutrophil	innate lymphoid cell	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	Method	Sample
0.0	0.0		0.24515	1.43642	1.06724	0.0			21.12026	3.52715		0.0	0.00429	1.30595	0.0124	0.0	0.80917			0.50883	0.0	0.36613			0.04121	3.39354			1.20253	9.07264	0.31865	0.0	0.0	4.95957	1.05236	0.54651	0.0	0.70833	0.04702	0.34643	0.24013		0.0			0.53161	0.0		0.0	0.54747	0.0	0.0	0.0	1.06472	0.0	0.0			0.0		0.00969	0.0	0.50033	0.0			15.19846	0.0	0.0		2.15091	0.0	0.0	0.0		0.0		0.02702		6.31394	0.0		1.1989		0.0	0.16487		9.36482	0.0	0.30711	0.1162	0.0	0.03874	1.13337		0.06098	0.0	0.01104	2.31987	2.82503	2.76514	0.84709	0.0	0.17078	CIBERSORTx	631489_3
0.0	0.0		0.0	0.44234	0.05408	0.0			18.13294	7.73091		0.0	0.01043	2.10598	0.26325	0.48162	0.6156			0.61062	0.34271	0.0			3e-05	1.11351			0.58451	3.48914	0.58307	0.0	0.0	4.75062	0.40643	0.63046	0.0	0.41164	0.0	0.47265	0.0		0.50852			0.04629	0.0		0.94949	0.33853	0.0	0.0	0.0	0.25327	0.0	0.0			0.0		0.0	0.0025	0.34861	1.95638			11.39143	0.0	0.20136		1.05952	0.0	0.0	0.0		0.0		0.0		15.64558	0.0		0.0		0.0	0.08968		12.73607	0.0	0.11998	0.54751	0.0	0.54238	2.80888		0.0	1.21278	0.0	1.07624	3.29684	1.37117	0.18847	0.0	0.07597	CIBERSORTx	674547_3
0.0	0.0		0.57249	0.72212	1.27471	0.0			22.86281	4.81418		0.0	0.0	2.42239	0.0	0.0	0.85891			0.9486	0.18444	0.0			0.0	2.92337			0.0	2.83022	0.09222	0.0	0.0	4.26098	0.56425	1.81881	0.0	0.79915	0.01352	0.358	0.0		0.0			0.74291	0.0		0.36559	0.0	0.0	0.0	0.0	2.53926	0.0	0.0			0.0		0.0	0.0	0.99775	1.73031			8.59204	0.0	0.1837		1.93737	0.0	0.0	0.0		0.0		0.0		9.71055	0.0		0.0		0.0	0.0		9.64925	0.0	0.47696	0.10203	0.0	0.06692	2.92501		0.03035	1.2644	0.02551	2.35756	2.63005	2.78969	2.46312	0.0	0.0985	CIBERSORTx	546738_3
0.0	0.0		0.07545	0.93101	1.38631	0.0			18.13976	2.26137		0.0	0.00604	2.08367	0.0	0.0	1.82862			1.19078	1.91496	0.32313			0.0	0.80585			1.48126	3.51294	0.40611	0.0269	0.0	6.00595	0.23154	1.43981	0.0	1.42247	0.6808	1.01593	0.0		0.04308			2.4528	0.0		0.0	1.11434	0.0	0.02431	0.0	2.32436	0.52866	0.0			0.0		0.1061	0.0	0.43153	0.85075			10.51191	0.0	0.0		3.06678	0.0	0.0	0.0		0.0		0.05369		8.70633	0.0		0.0		0.0	0.0		7.91997	0.0	1.32558	0.12693	0.0	1.35194	0.99228		0.06356	7.25961	0.11526	2.12016	0.0	1.33941	0.0	0.0	0.0	CIBERSORTx	813805_3
0.38867	0.0		0.00056	1.37288	0.9902	0.0			15.37087	1.34335		0.0	0.0	1.79448	0.27111	0.0	0.35843			0.99399	0.17342	0.0			0.0	5.89548			0.72764	11.3712	0.51934	0.0	0.0	3.33608	0.30348	1.46602	0.0	0.62776	0.45605	0.65274	0.0		0.05944			0.81449	0.0		0.05652	0.52084	0.0	0.00303	0.0	1.46629	0.0	0.0			0.0		0.0	0.0	1.11767	0.14036			14.36751	0.0	0.0		2.31401	0.0	0.0	0.0		0.0		0.0		10.22858	0.0		2.84201		0.0	0.09558		6.2655	0.0	0.77641	0.06595	0.0	0.24398	1.58498		0.0	0.0	0.01641	2.38297	0.98491	3.44802	1.79078	0.0	0.0	CIBERSORTx	361175_1
0.17617	0.0		0.09357	1.4151	1.31579	0.08065			22.7071	0.85036		0.0	0.00646	0.92216	0.2292	0.0	0.12532			1.5169	0.0	0.84648			0.0	5.75413			2.25153	9.77799	0.26183	0.0	0.0	5.69788	0.0	1.27584	0.0	0.97465	0.56061	0.71267	0.0		0.5382			1.24678	0.0		0.00371	1.02493	0.0	0.0031	0.25144	1.7269	0.0	0.0			0.0		0.0	0.0	1.2976	0.0			11.6022	0.15057	0.64551		2.47906	0.08007	0.0	0.4263		0.0		0.0		11.73625	0.0		0.0		0.0	0.14179		0.2348	0.0	1.10067	0.10516	0.0	1.25368	0.43953		0.0	1.43763	0.0082	2.0759	0.0	2.43764	0.0	0.0	0.0	CIBERSORTx	472330_1
0.21504	0.10436		0.09658	1.06847	1.30957	0.55265			17.20282	0.61725		0.0	0.03768	1.36391	0.4743	0.0	0.49652			1.029	0.23109	0.83724			0.0	6.72682			1.07767	10.30521	0.20306	0.0	0.0	4.24869	0.16132	1.22619	0.0	0.66841	0.13796	0.7198	0.0		0.5076			1.1293	0.0		0.0	0.39794	0.0	0.00672	0.0	0.7414	0.0	0.0			0.0		0.09445	0.0	1.28186	0.0			16.13134	0.0	0.0		1.97537	0.0	0.0	0.08639		0.0		0.0		10.94726	0.0		2.44976		0.0	0.02036		2.56805	0.0	0.0562	0.12257	0.0	0.29935	2.17437		0.0	0.0	0.0192	2.40603	1.02627	2.18319	2.2634	0.0	0.0	CIBERSORTx	147354_2
0.22927	0.0		0.00169	1.53559	1.14023	0.08303			21.93938	0.26297		0.0	0.28214	0.0	0.13859	0.0	0.0			1.43729	0.35903	0.77051			0.04354	7.94934			2.46065	18.53002	0.40345	0.14762	0.0	3.02523	0.68926	0.23467	0.0	0.58471	0.08536	0.25695	0.0		0.05745			0.32629	0.0		0.0	0.74396	0.0	0.05613	0.0	0.21429	0.05529	0.0			0.0		0.3997	0.0	0.05674	0.11602			18.91101	0.0	0.10856		0.98462	0.10971	0.0	0.0		0.0		0.0679		5.20403	0.00284		0.08719		0.0	0.82479		3.99658	0.0	0.89073	0.58378	0.0	0.54592	0.0		0.0	0.0	0.0	0.41464	0.0	0.36619	2.28512	0.0	0.0	CIBERSORTx	261268_2
0.02962	0.0		0.55393	1.26198	0.79977	0.0			18.09042	2.4602		0.0	0.0	1.71098	0.22944	0.0	0.89481			0.33059	0.14779	0.0			0.0	3.20748			0.0	4.13382	0.07083	0.0	0.0	3.19862	0.67983	1.57553	0.0	0.31283	0.14126	0.73147	0.03724		0.61396			0.16742	0.0		1.06558	0.0	0.0	0.0	0.0	0.96089	0.0	0.0			0.0		0.0	0.0	0.75787	4.58888			16.55458	0.0	0.0		1.26535	0.0	0.0	0.0		0.0		0.0		9.09648	0.0		4.19747		0.0	0.0		9.29241	0.0	0.29024	0.07691	0.0	0.11391	1.2977		0.0	0.0	0.00607	3.33796	0.46394	2.09709	3.07178	0.0	0.08507	CIBERSORTx	265479_2
0.26311	0.0		0.0	1.33961	1.92866	0.0			17.07494	0.51047		0.0	0.00512	1.65701	0.87795	0.0	0.64329			1.69875	0.0835	2.03145			0.0	6.41292			0.80797	13.93574	0.0	0.0	0.0	3.8921	0.56389	1.41932	0.0	1.24133	0.47408	0.42971	0.36806		0.0			1.24068	0.0		0.0	0.33568	0.0	0.00332	0.0	0.93953	0.0	0.0			0.0		0.0	0.0	0.68014	0.0			11.70308	0.0	0.0		3.79412	0.0	0.0	0.0		0.0		0.20578		10.82638	0.0		0.42248		0.0	0.20603		2.76652	0.0	0.2857	0.08551	0.0	0.3299	1.07798		0.0	0.75499	0.0	2.1451	0.0	2.40999	2.12811	0.0	0.0	CIBERSORTx	209564_1
