ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	serous cell of epithelium of bronchus	pancreatic stellate cell/smooth muscle cell	bladder urothelial cell	microglia	neurons	luminal cell of prostate epithelium	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	common myeloid progenitor/erythroid progenitor cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	erythrocyte/platelet	large intestine goblet cell	capillary endothelial cell/endothelial cell of artery	pancreatic acinar cell	mural cell/pericyte	regular atrial cardiac myocyte/ventricular cardiac muscle cell	cd4-positive, alpha-beta thymocyte	luminal epithelial cell of mammary gland	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	oligodendrocyte	langerhans cell	intrahepatic cholangiocyte	serous cell of epithelium of trachea	oligodendrocyte precursor cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	type ii pneumocyte	mature nk t cell/natural killer cell	ciliated epithelial cell/epithelial cell of uterus	melanocyte/progenitor cell of mammary luminal epithelium	salivary gland cell	cd8-positive, alpha-beta thymocyte/thymocyte	OPC/astrocytes/oligodendrocytes	acinar cell of salivary gland	leukocyte	cardiac endothelial cell	endothelial cell of arteriole/endothelial cell of venule	kidney epithelial cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	mesothelial cell	pulmonary ionocyte	schwann cell	myo-medullary thymic epithelial cell	intestinal tuft cell/tuft cell of colon	epithelial cell of uterus	mesothelial cell/schwann cell	pancreatic a cell	myoepithelial cell	stratified squamous epithelial cell	central nervous system macrophage	melanocyte	enterocyte of epithelium proper of duodenum	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	colon endothelial cell	basal cell of prostate epithelium	enteroendocrine cell of small intestine	myometrial cell	basal cell/medullary thymic epithelial cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	medullary thymic epithelial cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	sebum secreting cell	club cell	mesenchymal stem cell/tendon cell	erythroid progenitor cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	pulmonary ionocyte/respiratory goblet cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	type i pneumocyte	duct epithelial cell/ionocyte	club cell/type i pneumocyte	taste receptor cell	hepatocyte	enteroglial cell	gamma-delta t cell	pancreatic d cell/type b pancreatic cell	basal cell	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	tracheal goblet cell	hematopoietic stem cell	common myeloid progenitor/hematopoietic stem cell	plasma cell	choroid plexus epithelial cell	myeloid dendritic cell	neuron	pancreatic stellate cell	neuro-medullary thymic epithelial cell	duct epithelial cell/ionocyte/mucus secreting cell	b cell	tissue-resident macrophage	smooth muscle cell	mucus secreting cell/respiratory goblet cell	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	Bergmann glial cell/astrocyte/ependymal cell	pancreatic ductal cell	macrophage	fast muscle cell/slow muscle cell	progenitor cell of mammary luminal epithelium	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	basophil/mast cell	neutrophil	innate lymphoid cell	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	Method	Sample
0.0	0.0		0.27788	0.88213	0.78643	0.0			25.56417	5.24228		0.01317	0.0052	2.39786	0.0	0.0	2.31854			0.35399	0.06128	0.0			0.01426	2.15045			0.08531	2.81029	0.05565	0.0	0.15314	3.19153	0.0	0.25565	0.0	0.89302	0.0	0.33539	0.56053		0.0			0.83647	0.0		1.06827	0.69252	0.0	0.00489	0.0	0.83908	0.0	0.0			0.0		0.0	0.0	1.64693	0.0			13.64909	0.0	0.34518		2.74031	0.0	0.0	0.0		0.0		0.0		3.63205	0.0		0.35762		0.0	0.11657		12.45776	0.0	0.61829	0.13077	0.0	0.12285	3.56226		0.03653	0.52891	0.0	2.39388	0.36247	0.56159	4.88757	0.0	0.0	CIBERSORTx	739041_3
0.0	0.00414		0.0	0.2641	0.10976	0.0			25.06501	6.62848		0.0	0.0	0.40781	0.0	5.60754	2.02395			0.05759	0.05293	0.0			0.05027	0.0			0.0	0.0691	0.06109	0.00412	0.0	6.45208	0.0	0.39086	0.05345	0.04775	0.0	0.09884	0.0		0.0			0.08257	0.0237		0.45632	0.02652	0.0	0.02558	0.0	0.16286	0.02202	0.0			0.0		0.04707	0.05655	0.03923	1.06499			12.89759	0.0	0.0358		0.07407	0.0	0.0	0.51168		0.0		0.04611		4.88568	0.0		0.0		0.0	0.27683		20.60925	0.0	0.79074	0.12548	0.20841	0.0	2.6922		0.02312	3.53779	0.00425	3.31519	0.43681	0.04407	0.0	0.0	0.02866	CIBERSORTx	569467_2
0.0	0.0		0.0	0.62442	0.32984	0.0			11.48242	11.13674		0.0	0.0	0.97146	0.0	0.50109	4.79517			0.0968	0.0	0.0			0.00091	1.65294			0.40297	5.67216	0.0	0.0	0.12662	7.63347	0.42764	0.05555	0.0	0.00232	0.0	0.32149	0.0		1.00672			0.12856	0.0		0.62883	0.34395	0.0	0.0	0.0	0.21119	0.0	0.0			0.0		0.0	0.00371	0.19229	10.02819			12.74872	0.0	0.0367		0.29208	0.0	0.0	1.43317		0.0		0.05073		7.65174	0.0		0.0		0.0	0.49117		7.63554	0.0	0.43402	0.02259	0.44667	0.0	2.53745		0.03607	3.67256	0.0053	2.46128	1.21477	0.02289	0.0	0.0	0.02912	CIBERSORTx	597312_3
0.30959	0.0		0.16977	1.27142	1.61824	0.0			17.65034	0.80714		0.0	0.02215	1.63537	0.60903	0.0	0.56151			1.33335	0.07146	0.56897			0.0	4.32327			2.09598	12.56639	0.16848	0.0	0.0	3.66438	0.11633	1.32672	0.0	0.97036	0.52236	0.65985	0.02094		0.5127			1.09755	0.0		0.0	0.54356	0.0	0.01421	0.07158	0.72424	0.0	0.0			0.0		0.02653	0.0	1.1055	0.0			14.64687	0.0	0.0		2.92215	0.05114	0.0	0.44403		0.0		0.0		12.20354	0.04101		1.59901		0.0	0.16687		1.21595	0.0	0.53953	0.15525	0.0	0.47306	1.17736		0.0	0.0	0.0437	2.0915	0.0	3.29723	1.77249	0.0	0.0	CIBERSORTx	450582_2
0.14822	0.0		0.0	1.69581	0.93388	0.0			25.55739	0.8246		0.0	0.00726	1.20585	0.16373	0.0	0.55564			0.55383	0.16903	0.82878			0.0	5.13109			0.81355	6.17675	0.08385	0.0	0.0	2.13455	0.84598	0.84482	0.0	0.63462	0.33759	0.62454	0.06811		0.19249			0.47801	0.0		0.0	0.44888	0.0	0.00585	0.0	1.84725	0.0	0.0			0.0		0.08419	0.0	0.83663	0.0			14.15524	0.0	0.0		1.39564	0.0	0.0	0.0		0.0		0.0		6.65716	0.0		3.37931		0.0	0.0413		5.72506	0.0	0.57819	0.07681	0.0	0.22935	0.38605		0.0	0.0	0.00601	2.13938	2.57442	1.88406	6.53926	0.0	0.0	CIBERSORTx	159918_2
1.2524	0.0		0.05809	1.46122	1.54744	0.0			20.10632	0.2229		0.0	0.01508	0.52851	3.94337	0.0	0.0			1.60238	0.0	1.2806			0.0	5.05861			2.50498	11.92214	0.10094	0.0	0.0	5.995	0.0	1.2821	0.0	1.18941	0.41833	0.65196	0.0		0.45244			0.61118	0.0		0.0	0.46875	0.0	0.00313	1.59541	1.6585	0.0	0.0			0.0		0.00254	0.0	1.306	0.0			11.38792	0.0	0.0		3.56434	0.04338	0.0	0.40467		0.0		0.03966		6.66833	0.0		0.0		0.0	0.31186		1.1231	0.0	1.6374	0.08267	0.0	0.70889	0.0		0.0	0.31463	0.0	2.75893	0.59369	2.84278	0.27801	0.0	0.0	CIBERSORTx	295748_1
0.32486	0.0		0.12363	1.37894	1.66299	0.0			19.15092	0.66437		0.0	0.01413	1.52719	0.3053	0.0	0.58491			0.68976	0.14547	0.9056			0.0	7.67121			1.65788	10.48365	0.32345	0.0	0.0	3.65744	0.18819	1.11051	0.0	0.64136	0.46444	0.19207	0.1593		0.0			0.81795	0.0		0.01259	0.55345	0.0	0.03576	0.25934	1.22064	0.0	0.0			0.0		0.0	0.0	1.08084	0.0			14.54713	0.0	0.0		2.47101	0.13365	0.0	0.69759		0.0		0.0		8.77152	0.0		1.31686		0.0	0.19117		2.48675	0.0	0.74936	0.12434	0.0	0.31893	0.91813		0.0	0.0	0.03929	1.88867	1.22528	2.95063	3.16156	0.0	0.0	CIBERSORTx	418624_2
0.1557	0.0		0.23115	1.31675	1.22998	0.0			21.76529	1.54159		0.0	0.00249	2.03489	0.05559	0.0	0.46197			0.40183	0.12265	0.24678			0.0	4.9965			0.99894	8.04914	0.31357	0.00078	0.0	4.05711	0.14437	1.0964	0.0	0.75309	0.47164	0.16596	0.06379		0.27727			1.3333	0.0		0.0	0.43076	0.0	0.1196	0.63226	0.82565	0.0	0.0			0.0		0.0	0.0	0.9272	0.77644			12.86311	0.0	0.0		1.54442	0.0	0.0	0.0		0.0		0.0		11.82453	0.0		1.69111		0.0	0.18736		5.13194	0.0	0.50407	0.07845	0.0	0.45951	1.03829		0.0	0.0	0.00657	2.80747	1.50856	2.48474	1.86944	0.0	0.0	CIBERSORTx	330152_1
0.27551	0.0		0.0	1.45498	1.48791	0.0			15.95076	1.07388		0.0	0.0	1.28955	0.4449	0.0	0.79015			0.99483	0.10157	0.71561			0.0	5.50347			2.01013	11.84612	0.31493	0.0	0.0	2.94324	0.54688	1.51708	0.0	0.56442	0.57684	0.68563	0.0		0.51441			0.77376	0.0		0.0	0.14224	0.0	0.00523	0.0	1.21684	0.0	0.0			0.0		0.03403	0.0	1.41937	0.0			14.52469	0.0	0.14802		2.59485	0.0	0.0	0.0		0.0		0.0		13.74643	0.0		0.16577		0.0	0.14346		4.36597	0.0	0.41588	0.09006	0.0	0.50593	1.0156		0.0	0.0	0.00589	2.33356	0.70014	2.93175	1.11774	0.0	0.0	CIBERSORTx	469006_2
0.22386	0.0		0.0	2.09743	0.69734	0.0			28.27194	1.72539		0.0	0.00083	1.47754	0.08275	0.0	0.83948			2.21165	0.09425	0.0			0.0	2.81396			0.3474	3.39216	0.05622	0.0	0.0	0.93221	0.00278	0.4104	0.0	0.05402	0.21711	0.77906	0.0		0.5511			0.95655	0.0		0.28395	0.75209	0.0	0.0	1.47193	2.61778	0.0	0.0			0.0		0.0	0.0	0.20552	0.0			13.01871	0.0	0.0		1.39355	0.0	0.0	0.0		0.0		0.0		0.32531	0.0		0.0		0.0	0.0		0.77996	0.0	0.0	0.07553	0.03809	0.11646	0.7004		0.03622	0.0	0.00625	1.95771	0.0	1.32852	26.41125	0.24531	0.0	CIBERSORTx	410199_1
