large intestine goblet cell	bladder urothelial cell	microglia	innate lymphoid cell	mesenchymal stem cell/tendon cell	myo-medullary thymic epithelial cell	colon endothelial cell	pancreatic ductal cell	taste receptor cell	acinar cell of salivary gland	erythrocyte/platelet	serous cell of epithelium of trachea	stratified squamous epithelial cell	tissue-resident macrophage	luminal cell of prostate epithelium	schwann cell	OPC/astrocytes/oligodendrocytes	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	choroid plexus epithelial cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	club cell	oligodendrocyte precursor cell	pancreatic stellate cell	pancreatic a cell	basophil/mast cell	neutrophil	cd4-positive, alpha-beta thymocyte	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	basal cell	myometrial cell	basal cell/medullary thymic epithelial cell	type i pneumocyte	central nervous system macrophage	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	leukocyte	endothelial cell of arteriole/endothelial cell of venule	intestinal tuft cell/tuft cell of colon	Bergmann glial cell/astrocyte/ependymal cell	kidney epithelial cell	smooth muscle cell	pulmonary ionocyte/respiratory goblet cell	cardiac endothelial cell	hepatocyte	duct epithelial cell/ionocyte	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	neuro-medullary thymic epithelial cell	epithelial cell of uterus	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	capillary endothelial cell/endothelial cell of artery	ciliated epithelial cell/epithelial cell of uterus	neuron	serous cell of epithelium of bronchus	hematopoietic stem cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	erythroid progenitor cell	regular atrial cardiac myocyte/ventricular cardiac muscle cell	cd8-positive, alpha-beta thymocyte/thymocyte	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	mature nk t cell/natural killer cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	pancreatic d cell/type b pancreatic cell	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	melanocyte	myeloid dendritic cell	mesothelial cell	enterocyte of epithelium proper of duodenum	pulmonary ionocyte	club cell/type i pneumocyte	mucus secreting cell/respiratory goblet cell	tracheal goblet cell	sebum secreting cell	myoepithelial cell	enteroglial cell	intrahepatic cholangiocyte	common myeloid progenitor/hematopoietic stem cell	fast muscle cell/slow muscle cell	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	medullary thymic epithelial cell	mural cell/pericyte	macrophage	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	gamma-delta t cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	langerhans cell	melanocyte/progenitor cell of mammary luminal epithelium	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	oligodendrocyte	basal cell of prostate epithelium	common myeloid progenitor/erythroid progenitor cell	type ii pneumocyte	plasma cell	pancreatic acinar cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	b cell	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	mesothelial cell/schwann cell	neurons	pancreatic stellate cell/smooth muscle cell	progenitor cell of mammary luminal epithelium	salivary gland cell	luminal epithelial cell of mammary gland	enteroendocrine cell of small intestine	duct epithelial cell/ionocyte/mucus secreting cell	Method	Sample
	0.0	0.0	0.0	0.75233	1.72871	0.0	0.39053	5.83219	0.0	0.47097	2.8492	0.0	0.1986	0.0	1.7135	0.0			7.49672	0.0		0.0		0.44804	0.83584	0.0	2.90601	1.26477	0.0		1.55987		5.79593	0.04442	2.24621			0.0	3.00729		3.70254	2.07439	0.01991	0.57805	7.94423	0.0	0.55039	0.0			0.0		0.00278	0.22401	0.33164	3.88514		3.04908	0.0			1.88191		0.0	0.66454	2.3022	4.72885	2.2524		0.0	0.01691	0.11381	0.0	0.0	5.14526	0.0	0.15059	0.0	0.0	2.95033	0.94615	3.14586	0.68379		0.0				2.27108		0.18888	0.0	0.03313		1.8438	0.0		5.70622		0.0	3.07102	0.0	0.0		CIBERSORTx	SRR10192373
	0.0	0.77507	0.0	0.0	0.0	0.0	0.0	1.28949	0.0	0.88908	0.42218	0.0	0.0	0.0	0.39174	0.0			15.95523	0.0		0.0		0.04408	0.42514	0.0	0.0	0.0	0.0		0.37927		1.55102	0.0	0.0			0.0	1.80106		5.94628	0.0	0.25317	0.03003	4.17033	0.10208	25.22449	1.25226			0.03742		0.0	0.29432	0.0	8.24057		9.17874	0.0			0.31592		0.0	9.21809	1.40548	0.992	0.0		0.0	0.0	0.2429	0.29898	0.0	1.07022	0.0	0.00428	0.0	0.0	1.18337	0.0	0.05344	0.0		0.05775				2.8813		0.0	0.27486	0.00875		1.46092	0.0		0.50297		0.32454	1.05118	0.0	0.0		CIBERSORTx	SRR10192369
	0.0	3.23551	0.0	0.0	0.01503	0.53771	0.0	0.09963	0.0	1.88527	0.57373	0.00144	0.0	0.0	0.52112	0.0			14.92781	0.0		0.0		0.00034	11.14386	0.0	0.21467	0.03582	0.0		0.0577		2.06581	0.0	0.01281			0.00113	0.54615		1.60271	0.13245	0.19674	0.03759	1.6588	0.0	15.28369	1.27138			0.0		0.00495	0.0	0.0	10.11701		20.3969	0.0			0.12762		0.0	4.36991	0.43116	0.30394	0.02485		0.00661	0.0	0.00174	0.0	0.0	0.16226	3.4618	0.0	0.0	0.0	0.0	0.0	0.00253	0.0		0.52095				0.63411		0.0	0.03096	0.00299		1.74018	0.0		0.9134		0.28962	0.36045	0.0	0.03717		CIBERSORTx	SRR10192389
	0.0	1.85562	0.0	0.0	0.16583	0.0	0.0	1.12289	0.01016	1.04372	1.90724	0.0	0.0	0.0	0.62612	1.88319			14.40495	0.0		0.0		0.82763	2.45061	0.0	0.08955	0.0	0.0		0.28075		0.99778	1.29989	0.0			0.0	0.59619		9.52408	0.0	0.04002	0.05004	1.79788	0.0	17.4404	0.0			0.0		0.0	1.80738	0.38293	14.43982		9.21612	0.0			0.0		0.0	0.0	0.5876	1.21017	0.51424		0.21006	0.0	0.01141	0.32682	0.0	0.89174	4.66731	0.0	0.0	0.0	0.53496	0.0	0.35347	0.0		0.77287				0.44393		0.00267	0.01974	0.01871		0.31238	0.0		2.1559		0.22093	2.28964	0.0	0.19467		CIBERSORTx	SRR10192234
	0.0	1.26469	0.0	0.37467	0.09538	0.0	0.0	1.22673	0.0	2.02508	0.08845	0.0	0.0	0.0	0.61604	0.0			17.45384	0.0		0.0		0.04572	1.0937	0.0	0.0	0.0	0.0		0.27317		3.24072	0.0	0.0			0.18141	1.07516		8.26276	0.0	0.30039	0.0269	2.44795	0.10967	20.50174	1.08853			0.0		0.0	2.15915	0.0	6.75237		10.71597	0.0			0.0		0.0	4.88329	1.3954	1.11938	0.0		0.01193	0.05378	0.36334	0.0	0.0	0.8756	0.0	0.00565	0.0	0.0	0.78926	0.0	0.04631	0.29888		0.0				2.15241		0.0	0.12425	0.00606		3.69811	0.0		0.5267		0.78499	1.4445	0.0	0.0		CIBERSORTx	SRR10192205
	0.0	0.0418	1.15355	0.0	0.0	0.26015	0.25691	2.18154	0.0	1.786	0.0	0.0	0.0	0.0	0.0	0.0			26.25437	0.00015		0.0		0.0	2.92867	0.0	0.0	0.0	0.27174		0.0		0.44866	0.58337	0.0			0.0	0.24614		3.425	0.0	0.0	0.15177	1.57196	0.0	21.56311	0.0			0.0		0.0	0.0	0.0	3.78555		9.11642	1.64882			0.0		0.0	0.0	0.0	0.06569	0.0		0.02054	0.16429	0.02295	0.0	0.0	0.08462	0.0	0.0	0.0	0.9581	0.09239	0.22295	0.0	0.0		0.0				2.79447		0.0	0.18703	0.0		13.57395	0.0		3.31027		0.0	0.82708	0.0	0.0		CIBERSORTx	SRR10192188
	0.0	1.85145	0.0	0.14828	0.0	0.0	0.02734	1.29151	0.02319	1.81048	0.84444	0.0	0.0	0.0	0.72244	0.05781			13.01633	0.0		0.0		0.11158	5.17408	0.0	0.09679	0.0	0.0		0.60481		0.02971	0.0	0.66833			0.0	2.10188		3.93429	0.0	0.09798	0.3971	1.31045	0.0	22.24316	0.04864			0.09597		0.0	0.0	0.0	9.78157		9.97357	0.0			0.0		0.0	9.25915	0.62575	0.66772	0.59194		0.0	0.0	0.20218	0.14613	0.0	0.72523	4.41027	0.0	0.0	0.0	1.40407	0.0	0.0	0.0		0.23033				2.39014		0.0	0.14172	0.0544		0.0	0.0		1.09354		0.69043	0.83868	0.0	0.06514		CIBERSORTx	SRR10192360
	0.0	1.71835	0.0	0.18383	0.0	0.0	0.0	1.57073	0.0	1.48978	0.42882	0.0	0.0	0.0	0.91448	0.23939			17.6103	0.0		0.0		4.02691	3.95072	0.0	0.0	0.0	0.0		0.3474		2.16291	0.0	0.70198			0.47916	0.25931		5.11904	0.0	0.05946	0.04835	0.80852	0.0	18.58634	0.0			0.0		0.0	0.99351	0.0	13.69435		9.01663	0.0			0.0		0.0	2.06579	0.69837	0.44706	0.27385		0.08681	0.0	0.16112	0.46914	0.0	0.32416	2.28325	0.00642	0.39384	0.0	1.8267	0.0	0.06232	0.0		0.35455				1.91998		0.0	0.05775	0.00626		0.50626	0.0		0.91863		2.05807	0.34652	0.32287	0.0		CIBERSORTx	SRR10192399
	0.0	1.37414	0.0	0.09001	0.0	0.0	0.0	1.26313	0.0	2.08394	0.0	0.0	0.0	0.0	0.73563	0.02971			17.13881	0.0		0.0		2.8991	0.63949	0.0	0.0	0.0	0.0		0.32806		1.90215	0.0	0.0			0.29544	0.12611		7.91974	0.0	0.04949	0.01652	2.32919	0.0	20.1119	0.0			0.0		0.0	2.49394	0.0	8.59771		8.94222	0.0			0.0		0.0	5.83357	0.78137	0.61033	0.1026		0.09302	0.0	0.12008	0.82894	0.0	0.72482	0.33713	0.00591	0.0	0.0	1.84347	0.0	0.06107	0.0		0.34221				1.65917		0.0	0.2238	0.00643		2.99051	0.0		0.91541		2.15385	0.70612	0.29376	0.0		CIBERSORTx	SRR10192362
	0.0	0.96394	0.0	0.0	0.0	1.3864	0.0	0.95349	0.0	1.97801	0.0	0.0	0.0	0.0	0.47932	0.0166			15.20312	0.0		0.0		0.02717	5.67661	0.0	0.0	0.0	0.0		0.32726		0.69212	0.3733	0.0			0.0	1.90869		5.70935	0.0	0.36224	0.0307	2.38528	0.30721	18.24592	1.60224			0.0		0.0	2.21004	0.0	5.30052		16.80891	0.0			0.48962		0.0	3.43438	1.51075	0.90075	0.0		0.1178	0.02542	0.38426	0.07743	0.0	0.84705	0.0	0.00712	0.0	0.0	0.52518	0.0	0.04757	0.0		0.74214				2.80519		0.0	0.29359	0.01117		2.98887	0.0		0.34922		0.84368	0.65037	0.0	0.0		CIBERSORTx	SRR10192396
