leukocyte	sebum secreting cell	myometrial cell	cd8-positive, alpha-beta thymocyte/thymocyte	mucus secreting cell/respiratory goblet cell	pancreatic ductal cell	hematopoietic stem cell	acinar cell of salivary gland	bladder urothelial cell	pancreatic d cell/type b pancreatic cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	large intestine goblet cell	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	basal cell of prostate epithelium	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	schwann cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	pulmonary ionocyte	pancreatic a cell/pancreatic d cell/type b pancreatic cell	tissue-resident macrophage	mural cell/pericyte	erythrocyte/platelet	regular atrial cardiac myocyte/ventricular cardiac muscle cell	smooth muscle cell	intrahepatic cholangiocyte	colon endothelial cell	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	choroid plexus epithelial cell	luminal epithelial cell of mammary gland	duct epithelial cell/ionocyte	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	common myeloid progenitor/hematopoietic stem cell	myoepithelial cell	endothelial cell of arteriole/endothelial cell of venule	mesenchymal stem cell/tendon cell	type ii pneumocyte	pancreatic acinar cell	myo-medullary thymic epithelial cell	melanocyte	luminal cell of prostate epithelium	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	oligodendrocyte	pancreatic a cell	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	serous cell of epithelium of trachea	capillary endothelial cell/endothelial cell of artery	cardiac endothelial cell	tracheal goblet cell	melanocyte/progenitor cell of mammary luminal epithelium	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	neutrophil	pancreatic stellate cell/smooth muscle cell	pulmonary ionocyte/respiratory goblet cell	pancreatic stellate cell	macrophage	club cell/type i pneumocyte	enterocyte of epithelium proper of duodenum	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	erythroid progenitor cell	OPC/astrocytes/oligodendrocytes	progenitor cell of mammary luminal epithelium	basophil/mast cell	taste receptor cell	neurons	basal cell/medullary thymic epithelial cell	myeloid dendritic cell	b cell	central nervous system macrophage	Bergmann glial cell/astrocyte/ependymal cell	neuron	neuro-medullary thymic epithelial cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	medullary thymic epithelial cell	duct epithelial cell/ionocyte/mucus secreting cell	langerhans cell	enteroendocrine cell of small intestine	innate lymphoid cell	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	mesothelial cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	fast muscle cell/slow muscle cell	type i pneumocyte	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	gamma-delta t cell	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	hepatocyte	mature nk t cell/natural killer cell	common myeloid progenitor/erythroid progenitor cell	plasma cell	epithelial cell of uterus	salivary gland cell	mesothelial cell/schwann cell	kidney epithelial cell	oligodendrocyte precursor cell	club cell	intestinal tuft cell/tuft cell of colon	stratified squamous epithelial cell	enteroglial cell	basal cell	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	microglia	serous cell of epithelium of bronchus	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	ciliated epithelial cell/epithelial cell of uterus	cd4-positive, alpha-beta thymocyte	Method	Sample
0.0	0.13155	0.0	8.20173	0.09214	0.0		0.0	0.0				0.0	2.31777		0.42757		0.08502	0.0	0.0	0.53707	1.18431	0.0	1.8354	0.69368	0.0	0.0		0.0	0.24475	0.22154	2.83696	0.44999	0.76837	0.35479	0.0	0.01116	0.0	0.0	0.0	0.0			0.0	0.72686	0.0	6.88484	0.0			2.13213			0.0	0.0		0.93041	0.0	0.81447	0.02328	0.72175	0.36249	1.32467	1.00194		3.77842	2.6322				1.35779		0.0		0.0	0.0	0.0		1.10502	21.10283	0.00794	0.41091		0.15977	0.0	0.0	10.47219		0.24675	0.17982	1.42247		0.22473		0.0		0.0	0.0	0.0	3.32461	1.49403	0.0	16.76389		0.0	CIBERSORTx	SRR10192169
0.23957	0.01047	0.0	11.19222	0.00081	0.0		0.0	0.0				0.02212	0.45548		0.39055		0.21332	0.02003	0.0	0.4987	0.0	0.0	0.24433	0.28798	0.0	0.0		0.0	0.02162	0.06	0.30886	0.02546	0.0	0.00806	0.00319	0.00855	0.0167	0.0	0.0	0.30797			0.09983	0.12006	0.0	5.4923	0.0			1.60757			0.0	0.0		0.0657	0.0	9.08589	0.82551	0.88162	0.00393	0.157	1.02365		0.89095	9.10434				0.58888		0.0		0.0	0.01754	0.0		0.37425	11.68553	0.02308	0.05227		0.0	0.25973	0.0	14.27665		0.06126	0.03056	0.69467		0.25824		0.00325		0.0	0.0	0.08044	2.41529	1.40899	0.01659	24.05844		0.0	CIBERSORTx	SRR10192352
1.64642	0.22503	0.0	12.4859	0.02749	0.0		0.0	0.0				0.0	1.97509		0.59757		0.30842	0.0	0.0	0.62995	0.60305	0.0031	0.42069	0.21981	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.39988	0.4733	0.0	0.0	0.29838	0.0	0.0	0.0			0.0	0.0	0.67793	1.22965	0.08801			1.13428			0.0	0.0		0.74193	0.0	10.02286	0.02137	1.42795	0.03523	0.0	0.96849		0.0	33.95323				0.70878		0.0		0.0	0.0	0.11667		0.69897	10.8479	0.0	0.05603		0.05487	0.05195	0.0	3.77839		1.63831	0.76006	0.77773		0.92318		0.0		0.0345	0.0	0.0	0.14222	0.81322	0.0	7.98219		0.0	CIBERSORTx	SRR10192297
0.0	0.09593	0.0	8.74609	0.12604	0.0		0.0	0.0				0.0	1.4734		0.64511		0.28471	0.0	0.0	1.91148	0.89543	0.00604	1.03375	0.37818	0.0	0.0		0.0	0.27349	0.28106	4.27514	0.87354	0.59071	0.90245	0.0	0.0133	0.0	0.0	0.0	0.0			0.0	0.73779	0.0	9.19702	0.0			1.40429			0.0	0.0		1.07768	0.0	0.0	0.05044	1.57545	3.22621	1.69859	1.18167		2.57712	2.61944				2.32477		0.0		0.33761	0.0	0.0		1.35592	19.15665	0.01126	0.07249		0.59057	0.0	0.0	8.61113		0.07871	0.37317	1.27198		0.10067		0.0		0.0	0.0	0.0	1.48578	1.34606	0.0	14.73164		0.0	CIBERSORTx	SRR10192502
0.0	0.04174	0.0	3.8838	0.0	0.0		0.0	0.0				0.028	0.8261		1.04175		0.0	0.0	0.0	0.0	4.22124	0.00474	2.01302	1.75258	0.0	0.0		0.0144	0.0	0.0	0.0	0.0	0.27321	0.0	0.00341	0.01135	0.00582	0.0	0.0	0.0			0.11165	0.16485	3.89978	0.0	0.09324			8.23591			0.19817	0.19868		0.59113	0.0	19.72807	0.0	0.0	0.01547	0.03859	0.19902		0.31135	5.44884				4.71211		0.0		0.0	0.00047	0.0		0.42146	8.50219	0.0044	0.15492		5.56074	0.00154	0.03269	8.21944		0.0	0.01048	0.40707		0.11105		0.0		0.04041	0.0	0.06183	3.63371	0.05565	0.0	14.71393		0.0	CIBERSORTx	SRR10192438
0.0	0.23633	0.0	9.33509	0.07409	0.0		0.0	0.0				0.0	2.11007		0.67739		0.12586	0.0	0.0	1.72671	1.41714	0.0	1.07633	1.15861	0.0	0.0		0.0	0.1609	0.03264	0.3186	0.0	0.48932	0.30326	0.0	0.00878	0.0606	0.0	0.0	0.0			0.0	0.0	0.0	8.46806	0.0			2.49295			0.0	0.0		1.15351	0.0	4.06229	0.48508	1.26514	0.04953	1.16397	1.04644		3.12657	4.5413				0.23897		0.0		0.0	0.0	0.0		0.99657	20.64225	0.00813	0.2498		0.01994	0.06031	0.0	9.80686		0.17355	0.0	1.15607		0.14635		0.0		0.0	0.0	0.0	3.08687	1.90832	0.0	14.33944		0.0	CIBERSORTx	SRR10192353
0.0	0.0057	0.0	4.53205	0.0013	0.02813		0.0	0.0				0.04914	0.6363		0.68035		0.0	0.01301	0.0	0.28516	1.94219	0.0	0.3021	0.212	0.0	0.0		0.0	0.92725	0.05056	0.0	0.0	1.0344	0.31942	0.00744	0.0	0.06688	0.0	0.16935	0.0			0.10513	0.06025	1.35835	3.60124	0.18822			2.04484			0.0	0.09299		0.60214	0.04452	10.3445	0.0	1.18158	0.0	0.02362	1.08944		0.0	6.44992				3.37868		0.0		0.03346	0.0	0.0		0.21979	23.87483	0.00251	0.02618		3.41173	0.0089	0.05744	11.66326		0.0	0.0	0.85727		0.90751		0.00179		0.13907	0.0	0.03415	3.15079	1.08452	0.0	12.69867		0.0	CIBERSORTx	SRR10192434
0.0	0.11017	0.0	9.07386	0.09547	0.0		0.0	0.0				0.0	2.2192		0.60813		0.23824	0.01304	0.0	1.25155	2.99604	0.0	1.30239	0.67738	0.0	0.0		0.0	0.31023	0.48398	5.22829	1.05931	0.54141	0.35031	0.0	0.00791	0.07206	0.0	0.0	0.0			0.0	0.69796	0.0	8.02777	0.0			0.30567			0.0	0.0		1.20386	0.0	0.0	0.16998	1.3193	2.82206	1.60816	1.22041		5.62095	2.41701				1.90359		0.0		0.18896	0.0	0.0		1.21925	15.8321	0.00776	0.20338		0.0	0.0	0.0	7.55405		0.2274	0.0	1.399		0.26186		0.0		0.0	0.0	0.0	3.15896	1.00064	0.0	14.99094		0.0	CIBERSORTx	SRR10192498
0.03883	0.0032	0.0	6.32268	0.0	0.0		0.0	0.07614				0.02032	0.77363		0.47213		0.0	0.0	0.0	1.19723	2.0089	0.03086	1.45748	0.51576	0.0	0.0		0.0	0.0	0.12739	0.0	0.0	0.39988	0.0	1e-05	0.00213	0.0182	0.0	0.0	0.0			0.04509	0.01219	0.25926	0.0	0.0			3.29266			0.94283	0.0		0.57116	0.0	16.09928	0.0	2.4385	0.00676	0.04138	0.97346		0.0	0.23044				1.62287		0.0		0.0	0.0	0.0		0.2579	15.25528	0.0	0.01711		0.16804	0.06729	0.09649	15.8852		0.10151	0.13668	1.06682		0.80824		0.00222		0.092	0.0	0.0	0.0	3.09357	0.00652	22.94445		0.0	CIBERSORTx	SRR10192428
0.0	0.20523	0.0	5.78259	0.13537	0.0		0.0	0.0				0.0	2.61767		0.59251		0.0	0.0	0.0	1.0293	0.79872	0.0	0.9113	0.61323	0.0	0.0		0.0	0.26856	0.0	0.0	0.07709	0.82008	0.31407	0.0	0.00846	0.12803	0.0	0.0	0.0			0.11114	0.22706	0.95012	7.99008	0.0			0.0			0.0	0.0		1.64234	0.0	4.49984	0.01726	1.19632	0.03629	0.99897	0.95713		0.0	4.03591				2.83705		0.0		0.0	0.0	0.0		0.56056	21.83681	0.00501	0.0		0.86582	0.0	0.0	16.11652		0.46966	0.4321	1.91926		0.4089		0.0		0.0	0.0	0.0	3.80662	1.51917	0.0	12.25785		0.0	CIBERSORTx	SRR10192447
