	Adipose	Adrenal_gland	Arteries	Bladder	Brain	Breast	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole_blood
T00_v2_FFPE-2_27225_4	0.0012343478	0.013191135	0.017671514	0.10539114	0.03846514	0.035675313	0.009978475	0.0010151909	0.0038705098	0.0017331791	0.115169376	0.015822718	1.1075505e-07	0.04853657	0.03631054	0.06633064	0.011770037	0.00022896788	0.027970279	0.012770167	0.09729825	0.044566043	0.007661156	0.06188886	0.038406167	0.0061370977	0.0006762552	0.036488213	0.14102207	0.0027204966
T00_v2_FFPE-2_710570_4	0.00040657076	0.012390006	0.012732341	0.10691752	0.048334412	0.051289666	0.0115051335	0.0036447986	0.0017217491	0.0035497092	0.1184403	0.013184783	2.1507468e-07	0.04616559	0.0011146469	0.05959963	0.007055926	0.00040040567	0.028048191	0.01639874	0.06125195	0.12218406	0.011959867	0.050065372	0.020900175	0.002945515	0.00069156557	0.030708656	0.15402994	0.002362583
T00_v2_FFPE-2_32244_4	0.0071091177	0.0063620727	0.024660625	0.13499252	0.18643977	0.0034295926	0.014004635	0.0006967163	0.0052848402	0.008937011	0.082150355	0.013845746	7.3171833e-07	1.5164876e-05	0.047480036	0.035450816	0.008810323	0.0010806979	0.04681597	0.01569017	0.10378326	0.022427732	0.0048098257	0.066098854	0.031906296	0.029882537	0.00039934335	0.02130782	0.07057214	0.005555307
T00_v2_FFPE-2_751800_4	0.0036557468	0.0075893095	0.023703143	0.14896412	0.21630633	0.0031528578	0.033353746	0.0015798421	0.008783252	0.0031454787	0.046744682	0.013769179	4.1949806e-06	2.4571718e-06	0.0052310387	0.0198	0.0037311453	0.0014777209	0.043825004	0.01377116	0.11692049	0.07087553	0.009328381	0.067795575	0.024129035	0.03330343	0.00055424025	0.019242775	0.05534899	0.003911115
T00_v2_FFPE-2_849749_5	0.00311935	0.0076980847	0.020999672	0.14474306	0.2569627	0.0036217857	0.041334607	0.0014149287	0.009072546	0.001057207	0.044752404	0.009583959	4.8489965e-06	5.962207e-06	0.0044235187	0.01829618	0.0033512542	0.0013395017	0.04126789	0.016129682	0.12505364	0.050771546	0.00871544	0.059736274	0.017622903	0.030045435	0.00065832306	0.017108543	0.056750745	0.004357994
T00_v2_FFPE-2_164032_5	0.010809481	0.0076231123	0.020767706	0.097834125	0.050767582	0.011376262	0.0037109202	0.00028665914	0.0010412908	0.009262106	0.1559401	0.0082344925	4.262148e-07	0.00031666365	0.21888168	0.08293625	0.017884128	0.0006900497	0.04111071	0.0077158445	0.04152752	0.027397875	0.0016493843	0.02300969	0.052510563	0.011497857	0.00072598556	0.022205038	0.06448663	0.0077998214
T00_v2_FFPE-2_889662_5	0.002664286	0.0066432348	0.014787025	0.14123048	0.020816	0.015602802	0.0029840288	0.001145853	0.0012557931	0.01983487	0.14137124	0.011910868	2.7350325e-07	9.172023e-05	0.085391514	0.08006814	0.016222015	0.0005408988	0.049770147	0.008665626	0.051788237	0.12309971	0.0046276986	0.046849456	0.046094418	0.004034102	0.00039802445	0.02259936	0.073759705	0.0057524554
T00_v2_FFPE-2_968096_4	0.009290956	0.0074489545	0.014798306	0.09571858	0.030708358	0.011775776	0.0020470882	0.00066159666	0.0018941807	0.051044013	0.14897443	0.012496974	1.0579666e-07	0.0008594743	0.10147631	0.12050028	0.027632277	0.0007058205	0.053344406	0.006399024	0.04271446	0.024998035	0.004529526	0.0598413	0.050696995	0.004467035	0.00050524273	0.0291824	0.08010674	0.005181331
T00_v2_FFPE-2_606397_5	0.0016533567	0.009146113	0.014403985	0.12519372	0.033050854	0.033132885	0.006936671	0.0012811233	0.0019441509	0.0070836837	0.13014688	0.013577129	6.66849e-08	0.009076465	0.03690566	0.09059014	0.01398548	0.00024019298	0.034650594	0.012315956	0.07084879	0.0873778	0.0057469844	0.063847795	0.041195	0.0047579515	0.00043531696	0.03321736	0.11373306	0.0035248294
T00_v2_FFPE-2_897865_4	0.0035387906	0.006811517	0.013782702	0.13631368	0.005563455	0.011843729	0.0026921225	0.0019399482	0.0023339018	0.05525354	0.12700531	0.016970914	2.928118e-07	3.1535725e-05	0.049548198	0.08492366	0.018095074	0.000894403	0.06136166	0.0066820374	0.039209623	0.14876461	0.0068907533	0.058476623	0.04654359	0.0025932712	0.00032069493	0.023247665	0.06315566	0.0052110646
