	Adipose	Adrenal_gland	Arteries	Bladder	Brain	Breast	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole_blood
T00_v2_FFPE-2_27225_4	0.00084900676	0.007242774	0.018158186	0.01778362	0.033497676	0.09906483	0.0032195002	0.0010229556	0.00014145969	0.013996053	0.18972442	0.016794838	2.1158483e-07	0.04528636	0.069167584	0.06259027	0.034603607	0.00077601196	0.03248488	0.021490464	0.023972366	0.033674225	0.004532678	0.034445446	0.027160995	0.0036875706	0.0017702086	0.072342336	0.123486795	0.0070326873
T00_v2_FFPE-2_710570_4	0.0003278878	0.008491365	0.017644592	0.0261203	0.042316947	0.11347107	0.003533547	0.0039517884	0.000110601984	0.021715708	0.15479419	0.015661085	3.332463e-07	0.03732878	0.0018906005	0.0564669	0.02597678	0.0011808436	0.030516086	0.027654804	0.022385443	0.118701324	0.010437698	0.030312665	0.014963026	0.0017690075	0.0014832271	0.06624254	0.1398228	0.0047281063
T00_v2_FFPE-2_32244_4	0.006584867	0.0031126365	0.018737914	0.036309376	0.18471281	0.013812516	0.0055208188	0.00076216087	0.00013617154	0.04499608	0.12546574	0.01636018	2.7316657e-06	3.4061848e-06	0.094073646	0.04301757	0.03381003	0.0042286213	0.06843155	0.019863075	0.04542297	0.026506385	0.0038758637	0.03083766	0.023216605	0.02165948	0.0018591508	0.05288062	0.06238406	0.011415295
T00_v2_FFPE-2_751800_4	0.004166222	0.0025923809	0.022299487	0.046309367	0.22795358	0.014494833	0.015745835	0.0027912704	0.00020429544	0.04040514	0.11466581	0.014876608	1.5742113e-05	2.654353e-07	0.014135347	0.022843622	0.022621846	0.008584014	0.08387972	0.017765079	0.055635225	0.08341857	0.0066261385	0.029020209	0.022222638	0.02071747	0.002447463	0.048292506	0.046109095	0.009160229
T00_v2_FFPE-2_849749_5	0.0039208764	0.0024587656	0.023941461	0.040412534	0.2920731	0.018595317	0.022639055	0.0025980915	0.00018055848	0.01979719	0.122149155	0.010177848	1.3471716e-05	6.4759644e-07	0.011800223	0.021636281	0.022626173	0.0070915697	0.07247949	0.021286892	0.057465676	0.06314642	0.006091558	0.021852063	0.016114457	0.01730279	0.0024531572	0.04654001	0.042778384	0.010376819
T00_v2_FFPE-2_164032_5	0.009009768	0.0073885694	0.020414425	0.046452187	0.0480244	0.02134778	0.0021228867	0.00019031955	0.0002422663	0.013291962	0.1453287	0.009001499	1.029611e-06	0.00022621512	0.26261157	0.08600249	0.034032673	0.00097478495	0.03381343	0.011968407	0.029550824	0.027879534	0.0028030432	0.019275058	0.036655635	0.0139855705	0.0019773114	0.042470183	0.06376548	0.009192016
T00_v2_FFPE-2_889662_5	0.0030233713	0.005295192	0.013585062	0.080472745	0.016829465	0.03545505	0.0013158098	0.000867632	0.00019245566	0.03768533	0.13248342	0.012760338	7.5279763e-07	3.5178356e-05	0.12425788	0.08477067	0.033372525	0.0012845082	0.05104857	0.012389107	0.029941725	0.11859523	0.005723704	0.028259266	0.035219174	0.0038817134	0.0014299882	0.04690907	0.074498676	0.008416396
T00_v2_FFPE-2_968096_4	0.008852139	0.005638322	0.01231883	0.031067144	0.028004332	0.02406679	0.0008294237	0.0005259049	0.00026331216	0.08834072	0.13786937	0.013524709	2.9520075e-07	0.00042925254	0.1511722	0.11099918	0.044613842	0.0013580694	0.05157422	0.010014942	0.023891643	0.023696015	0.005585814	0.03844083	0.036991727	0.004440436	0.001591902	0.05677507	0.07976705	0.007356443
T00_v2_FFPE-2_606397_5	0.0012352086	0.0059500467	0.013632756	0.033136908	0.031783223	0.084279716	0.002304209	0.0012977791	0.0001097547	0.03391414	0.1643109	0.013069397	1.4919115e-07	0.006268798	0.06640321	0.09629426	0.034096155	0.0008306535	0.040217087	0.016921634	0.02639881	0.07560545	0.0048927558	0.03746821	0.028727723	0.0030527634	0.0012502235	0.06447066	0.105330005	0.0067474875
T00_v2_FFPE-2_897865_4	0.0042886497	0.006001669	0.011567595	0.07073733	0.0029841163	0.026462317	0.0012023968	0.0017013613	0.00046547284	0.08971833	0.11611049	0.016775914	9.706667e-07	1.0541759e-05	0.08067223	0.087024845	0.03777966	0.0022416392	0.069217816	0.009829647	0.016544927	0.14368042	0.0075266175	0.036592018	0.039409656	0.0022485333	0.0011975641	0.046115633	0.063864306	0.008027282
T00_v2_FFPE-2_171555_5	0.0005222616	0.004592242	0.013730134	0.07530622	0.06889507	0.08502195	0.0037982918	0.0026817378	2.4986879e-05	0.025361313	0.13246891	0.013708663	9.702518e-07	0.00027698593	0.0057663457	0.07719465	0.023286296	0.0019105424	0.04329223	0.017803062	0.026997969	0.16989239	0.0063812714	0.029747013	0.01980217	0.0029781389	0.00096670486	0.057774745	0.08490598	0.0049107885
T00_v2_FFPE-2_639720_4	0.0011853807	0.0055778055	0.016557332	0.02123012	0.095553406	0.10066578	0.004775764	0.0012005637	4.7501584e-05	0.013618946	0.19248283	0.012860562	2.0768614e-07	0.014169768	0.039428793	0.07550613	0.033742547	0.0009834971	0.033908766	0.023262057	0.026723761	0.031115642	0.003515451	0.034088187	0.02152163	0.005444575	0.0013491461	0.069192186	0.114043385	0.006248293
T00_v2_FFPE-2_398887_5	0.005828143	0.0029637278	0.02216139	0.040069643	0.23924628	0.013423236	0.013556431	0.0010627378	0.00022917459	0.019467615	0.117985636	0.013422452	8.020718e-06	7.6200416e-07	0.07263782	0.027213586	0.023844704	0.0061047357	0.06598014	0.021044374	0.053481888	0.04921743	0.0045618373	0.024552139	0.020244448	0.02754191	0.0023583604	0.0488624	0.049586836	0.013342087
T00_v2_FFPE-2_884794_5	0.0006502349	0.0073014437	0.01773152	0.021867124	0.022374738	0.09893709	0.003014646	0.0011193859	0.00017082733	0.013071647	0.18588504	0.015914027	2.1080349e-07	0.042707313	0.06965016	0.06521386	0.032862462	0.00073981285	0.031534538	0.022182552	0.023413515	0.057757933	0.0046170903	0.03382223	0.026408426	0.0029284314	0.0016397195	0.06667509	0.12225227	0.00755674
T00_v2_FFPE-2_281746_5	0.004867808	0.0026206076	0.023419969	0.035252996	0.29236403	0.016473448	0.020288343	0.0020876885	0.00019489614	0.022240717	0.12041103	0.0106658265	1.0130478e-05	7.143616e-07	0.021593235	0.022020785	0.023121463	0.0071420344	0.071657255	0.022777103	0.057451222	0.05083426	0.005743531	0.024102408	0.017160358	0.018918512	0.002463396	0.04849778	0.044347815	0.011270571
T00_v2_FFPE-2_688277_4	0.0115394415	0.003808622	0.024000136	0.034864157	0.16090804	0.004556014	0.0083792405	0.0005334534	0.00045333485	0.025006175	0.119255535	0.016363649	1.051552e-05	6.6898593e-07	0.16662624	0.03584271	0.022172468	0.0045286454	0.065777995	0.01758551	0.047482856	0.023980541	0.0037643493	0.020818466	0.0329099	0.03713649	0.0032755698	0.041629046	0.04887454	0.017915687
T00_v2_FFPE-2_278746_4	0.023473334	0.007738338	0.023563454	0.025065765	0.05002242	0.005714338	0.0016453848	0.00014917208	0.0005323429	0.02971158	0.12818928	0.011314891	1.983217e-06	9.681287e-05	0.2981431	0.07520718	0.03616219	0.001671964	0.037942063	0.010986675	0.024249787	0.0052165696	0.0032734105	0.021018844	0.049562294	0.01675477	0.0026068639	0.039873257	0.060768865	0.0093431445
T00_v2_FFPE-2_942435_5	0.00061261357	0.0074254293	0.014589382	0.04565412	0.014969361	0.076752186	0.002257962	0.00082932314	0.00019190532	0.010401487	0.16985656	0.01205349	2.2260396e-07	0.014489391	0.11185811	0.08804646	0.031994686	0.0006088414	0.030075125	0.018051026	0.02384049	0.09182887	0.0038144938	0.03056706	0.027658368	0.0032799314	0.001416409	0.05306493	0.105398126	0.00841363
T00_v2_FFPE-2_96325_5	0.0029654475	0.002615844	0.02351457	0.05415133	0.25006688	0.020490583	0.0186456	0.0026873671	0.00014296215	0.019605162	0.12477977	0.011379989	1.4254727e-05	5.8573033e-07	0.012252313	0.023385404	0.022580069	0.006767693	0.071465306	0.019668577	0.056091275	0.090158455	0.0060415617	0.022729957	0.01747859	0.016758729	0.0022271536	0.046951964	0.04497763	0.009404981
T00_v2_FFPE-2_626380_5	0.00070025085	0.004647122	0.019038592	0.030192677	0.17615029	0.094593905	0.007936722	0.0019934173	2.4444362e-05	0.012879975	0.17226934	0.011187936	5.2528156e-07	0.0023726227	0.005116662	0.07175467	0.029744547	0.0017244334	0.036903445	0.022695936	0.029616203	0.06307438	0.004176923	0.0232184	0.01437317	0.005082719	0.0010324279	0.058467735	0.09439932	0.0046312083
T00_v2_FFPE-2_714328_4	0.015076419	0.009271323	0.02343992	0.034339868	0.0328301	0.010500463	0.0024373056	0.000106307074	0.000652678	0.008465991	0.12998731	0.008936327	1.5697523e-06	0.00046877738	0.34189782	0.088611275	0.029425513	0.000960339	0.028486675	0.010863481	0.024009036	0.014428471	0.0019225978	0.012004972	0.05075149	0.017110541	0.0025096836	0.033492275	0.05809936	0.008912057
T00_v2_FFPE-2_806934_5	0.00071033504	0.0043239323	0.017765999	0.11222283	0.052470285	0.053183418	0.0051104375	0.003956722	2.2283977e-05	0.018044073	0.10706896	0.018471709	1.1822387e-05	2.757411e-06	0.0074022287	0.04627823	0.013897599	0.004275654	0.04871224	0.015914293	0.027691806	0.27290514	0.0077671288	0.02394133	0.022061978	0.0053147324	0.0012175583	0.047698338	0.05567733	0.0058788476
T00_v2_FFPE-2_525902_5	0.0006568759	0.007339726	0.017185481	0.01984116	0.06541113	0.1185093	0.004262001	0.0022679851	7.6446515e-05	0.019754235	0.17318164	0.01602821	1.9847795e-07	0.0281214	0.0144044645	0.06554978	0.028946571	0.0010456885	0.032320555	0.022921832	0.023470653	0.067741305	0.0055146576	0.035039302	0.02250115	0.0027986304	0.0013484774	0.07056873	0.12796469	0.0052276826
T00_v2_FFPE-2_161263_4	0.009268631	0.0036676382	0.024307098	0.04458786	0.12943093	0.006600888	0.00746197	0.0005904284	0.00049014436	0.022116808	0.11669635	0.017009681	1.155348e-05	4.8223404e-07	0.17041753	0.03574848	0.0197275	0.0041808197	0.06618462	0.01669692	0.04643108	0.05489027	0.003795924	0.020364145	0.03746428	0.03354896	0.0029762455	0.037878282	0.049719397	0.017735006
T00_v2_FFPE-2_629038_4	0.00025313595	0.007394624	0.014559215	0.04375134	0.0040060235	0.10373666	0.0020279516	0.0037660752	0.00020304344	0.016272876	0.15567556	0.014312115	4.3007688e-07	0.022038246	0.010292921	0.074984014	0.022644268	0.0007147764	0.02391819	0.02741231	0.017046675	0.17390755	0.009439049	0.0406564	0.017431876	0.0013989197	0.0012676185	0.055267222	0.12910421	0.006516713
T00_v2_FFPE-2_252083_5	0.004895335	0.002828609	0.023528358	0.038889587	0.27865887	0.016045986	0.01965124	0.0018215176	0.00021336385	0.01864448	0.119407065	0.011255615	1.0398756e-05	6.325781e-07	0.030473985	0.022371264	0.021847652	0.0071889684	0.06980028	0.023535734	0.05753587	0.054682344	0.0054031312	0.024073662	0.018071875	0.020368328	0.0024186114	0.04876915	0.045666147	0.011941939
T00_v2_FFPE-2_856662_5	0.00301919	0.0035091706	0.012967088	0.04913456	0.06445761	0.02260296	0.0032643718	0.0040638167	0.00011452796	0.12207511	0.10749512	0.01765712	2.740558e-06	1.7308977e-06	0.00551231	0.05282595	0.036045752	0.006717216	0.10807696	0.011275876	0.029317297	0.11424981	0.008346553	0.04366627	0.030582162	0.0052689333	0.0013033537	0.059897047	0.07337358	0.0031758426
