	Adipose	Adrenal_gland	Arteries	Bladder	Brain	Breast	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole_blood
cfrna_kd_94	0.025053812	0.0007463225	0.004029515	0.013132302	0.010650186	0.017199576	0.051164918	0.0029885217	0.00022201079	0.02381442	0.074129134	0.016413117	0.00026533304	2.5531737e-05	0.0068781013	0.021493249	0.36848757	0.007733501	0.022192713	0.007377768	0.002036088	0.010912882	0.00018391233	0.012086693	0.054569222	0.11846624	0.008144496	0.019518917	0.0015932695	0.09849058
cfrna_kd_10	0.065768585	0.0010481257	0.004781826	0.014452194	0.02139975	0.019607069	0.05475834	0.0015385806	0.00013674966	0.007826423	0.011017464	0.005243603	0.00023603068	7.862667e-05	0.004090848	0.076631576	0.29221505	0.006557144	0.03375421	0.0087304115	0.0010326187	0.0029065015	0.0002621694	0.008884474	0.033146344	0.19608693	0.0063861916	0.013194825	0.0013264429	0.10690089
cfrna_kd_33	0.051921804	0.0015831926	0.009007963	0.021660468	0.03425494	0.033119734	0.055741988	0.0063394774	5.528939e-05	0.014902617	0.023082035	0.011620151	0.00032203534	6.617603e-05	0.0040767416	0.06256715	0.33363098	0.006295271	0.018435223	0.008147234	0.0020013505	0.006727569	0.00035918134	0.009902732	0.025165139	0.11811926	0.0063845757	0.02224132	0.001021664	0.111246765
cfrna_kd_18	0.05953338	0.0010975491	0.006386593	0.012922428	0.022929203	0.028092334	0.06970637	0.0035845158	4.8075246e-05	0.008959544	0.026060302	0.007971396	0.0002821842	7.537002e-05	0.0033053549	0.06424683	0.28952292	0.008394572	0.039609846	0.008736784	0.0013943635	0.0024304143	0.00041463284	0.00977418	0.013879678	0.16395974	0.0064686295	0.013748901	0.0007280149	0.12573595
cfrna_kd_9	0.06550757	0.0013383247	0.0025153141	0.015858768	0.03515403	0.043863878	0.064545356	0.0034692835	7.030926e-05	0.006612696	0.003522892	0.0070089158	0.0009062794	0.00015104037	0.0038050916	0.05541656	0.2749952	0.009509241	0.024062878	0.005029004	0.0008104985	0.0031794065	0.0005170432	0.011282342	0.022746213	0.15672936	0.00585691	0.009895771	0.0005497783	0.16509001
cfrna_kd_105	0.021570886	0.00044791296	0.0032260232	0.007631789	0.0075944196	0.024964374	0.0429822	0.002292975	0.0001934539	0.020752873	0.113971256	0.016357917	0.00028210678	2.9851279e-05	0.007006671	0.014154888	0.39883268	0.007445301	0.014942179	0.007386354	0.0020607237	0.008666272	0.00018576215	0.013831812	0.05203293	0.095976844	0.0074613714	0.023134144	0.0013562781	0.083227746
cfrna_kd_5	0.026495326	0.00070249586	0.003530216	0.005652117	0.014730037	0.003526533	0.044035252	0.0015059568	0.00075711985	0.005927595	0.010266286	0.002228645	0.00021214692	4.7115776e-05	0.005318169	0.07604027	0.29753324	0.0062809447	0.06728149	0.0072391424	0.0022149042	0.0060367323	0.00014654557	0.007472299	0.05666647	0.20257941	0.0065342644	0.012300713	0.005520336	0.12121834
cfrna_kd_16	0.02815459	0.0010959298	0.0071860817	0.014137027	0.04068248	0.00010849838	0.019998295	0.00135001	0.0040743337	0.004969924	0.0069015375	0.0012715699	0.00033768232	0.00011516047	0.005618258	0.1005935	0.20854929	0.0057537532	0.089035094	0.0071139243	0.004875911	0.001623591	0.0001878718	0.0067279423	0.036283374	0.18746637	0.009782036	0.010628585	0.01254867	0.18282871
cfrna_kd_2	0.053495534	0.0013824636	0.008417521	0.029959245	0.045690436	0.06616983	0.05920377	0.006097632	1.0837366e-05	0.012783491	0.018852685	0.007925353	0.00080799346	0.00016049702	0.0034485452	0.06382511	0.25828362	0.009219558	0.019381508	0.007079816	0.0017921898	0.0021822318	0.0008957984	0.011880432	0.0068588667	0.12945913	0.006038315	0.007897775	0.0006932555	0.16010655
cfrna_kd_3	0.07819485	0.0011344262	0.004266297	0.016778553	0.018998073	0.0060888743	0.0546696	0.0023789979	0.00016618159	0.0074309204	0.016165238	0.0051110093	0.00016652745	3.7826612e-05	0.0030755284	0.06487715	0.32166377	0.005667892	0.027376316	0.007009892	0.0009457069	0.0018308833	0.00020386447	0.0086809965	0.042728946	0.17556842	0.0046977834	0.009745015	0.0012990244	0.11304139
