	Adipose	Adrenal_gland	Arteries	Bladder	Brain	Breast	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole_blood
cfrna_kd_94	0.024418455	0.00083512056	0.004645171	0.013631936	0.010410941	0.018625772	0.052563753	0.0030052757	0.00026398778	0.022440588	0.07095415	0.017342577	0.00030542706	2.6475585e-05	0.0068231868	0.023244558	0.36696807	0.009188136	0.023096718	0.008004914	0.0021759674	0.011054902	0.00021018587	0.013140991	0.05580499	0.11353649	0.0074086394	0.020214142	0.0019690555	0.09768935
cfrna_kd_10	0.06190615	0.0012283984	0.0053000003	0.01596553	0.021338122	0.021343455	0.053469483	0.0015617198	0.00015410557	0.0080941925	0.011748156	0.0060059372	0.000264656	7.702064e-05	0.004246703	0.07706865	0.29500335	0.007837551	0.032144397	0.009291838	0.001071847	0.0032154906	0.00029157937	0.009260229	0.033558045	0.18894792	0.0055642994	0.01552553	0.0016416659	0.10687399
cfrna_kd_33	0.05213953	0.0017206453	0.009393381	0.023330214	0.033579495	0.033378642	0.055982422	0.006288483	6.425189e-05	0.01425014	0.02279394	0.012551224	0.00036412338	6.8635585e-05	0.0042093527	0.06405532	0.33079913	0.0072966497	0.018365297	0.008645872	0.0020597188	0.006909865	0.00038789894	0.010354868	0.026140403	0.11460256	0.0055199657	0.023559969	0.0011896701	0.10999839
cfrna_kd_18	0.05751652	0.0012654873	0.007009861	0.014251738	0.02280826	0.02864474	0.06878116	0.003540604	5.3956468e-05	0.009031735	0.027780563	0.008981752	0.00031533052	7.390457e-05	0.0033417072	0.065243036	0.29026696	0.009906108	0.03931037	0.009040398	0.001457838	0.0025846695	0.00044278003	0.010224485	0.014228691	0.15807283	0.0058077006	0.015431788	0.0008549273	0.1237302
cfrna_kd_9	0.06293057	0.0016157563	0.0028034428	0.016440965	0.035283018	0.044371683	0.06633331	0.0034501979	8.072517e-05	0.0071593383	0.0038453855	0.008248308	0.0010085263	0.00015987577	0.0039107664	0.05700278	0.27753064	0.010812864	0.02358296	0.0053421226	0.000896399	0.0032717884	0.0005499119	0.011524626	0.022982461	0.15207273	0.005388552	0.011089795	0.00069140736	0.15961905
cfrna_kd_105	0.020339483	0.00051721133	0.003718329	0.008011592	0.007471778	0.026553638	0.04268334	0.002211805	0.00021528052	0.019672774	0.11008913	0.01727602	0.0003273701	3.131777e-05	0.006922419	0.015054553	0.40111777	0.008888404	0.015289106	0.007921964	0.00219354	0.008807042	0.00021276838	0.014956979	0.053398643	0.09231211	0.0070214504	0.023287134	0.0017067847	0.0817903
cfrna_kd_5	0.026853606	0.0008082996	0.003929198	0.006175899	0.014761494	0.0041021504	0.042483065	0.0015499657	0.00082023954	0.0063929823	0.010878138	0.0025450932	0.00025763057	4.5045417e-05	0.0056138914	0.07617863	0.29935408	0.007983991	0.06509881	0.0071437457	0.0023095112	0.0063634375	0.00016909545	0.007949119	0.05725264	0.19543944	0.0060354215	0.0147618335	0.0066264314	0.1201171
cfrna_kd_16	0.02847638	0.0010880051	0.008115227	0.016087506	0.04044901	0.00013980611	0.020316118	0.00136746	0.0039520077	0.004787288	0.0066729276	0.0014694347	0.00037274716	0.00011569408	0.005508465	0.10609565	0.20564216	0.006850631	0.08745274	0.0074499473	0.004928371	0.0018686827	0.0002132641	0.0072817304	0.03577635	0.18198474	0.008204635	0.0110078985	0.013472832	0.18285227
cfrna_kd_2	0.05190372	0.0015795396	0.008932271	0.03095843	0.045208346	0.065170884	0.059157085	0.0060040904	1.2044295e-05	0.012479455	0.019579807	0.009019533	0.000889005	0.0001603086	0.0033700329	0.06648917	0.2603894	0.010310184	0.019568164	0.0077890563	0.0019252431	0.0023313346	0.00089001027	0.012377082	0.006808619	0.12525411	0.0054099215	0.008716829	0.00080408494	0.15651222
cfrna_kd_3	0.07459594	0.0013611164	0.004730421	0.016590606	0.018548371	0.007154785	0.05162628	0.0024680058	0.00017919466	0.008224417	0.017096054	0.0059887823	0.00020888152	3.8866892e-05	0.0036602227	0.06503099	0.32200193	0.007180271	0.025755554	0.007257111	0.0010384277	0.001989303	0.0002600789	0.009260865	0.045893397	0.17171356	0.00451955	0.011840066	0.0017177449	0.112069234
