Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	GeneRemoval	Sample
0.0	0.01429	1.40658	0.0	10.063	17.08088	4.56301	6.81934	28.12129	3.70936	0.0	64.324	2.9651700000000005	18.1585	0.0	0.03189	2.55617	0.0	0.00472	1.23778	0.0	0.0	7.13743	0.0	0.0	0.0	0.02367	0.12595	6.0122510714285715	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_27225_4
0.0	0.01593	2.02377	0.0	8.863	14.98965	2.17742	9.76056	36.82686	0.69118	0.0	64.253	0.0	13.61803	0.0	0.05499	2.16226	0.0	0.00412	3.8215499999999984	0.0	0.0	6.45711	0.0	0.0	0.0	0.03368	0.0	5.9197539285714305	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_710570_4
0.0	0.02119	1.47692	0.0	28.69612	8.89281	8.71615	20.17707	19.05982	4.46823	0.0	12.49588	7.1555	16.20705	0.06485	0.07995	2.10776	0.0	0.0	0.10064	0.0	0.32862	6.56552	0.26916	0.0	0.0	0.00673	0.15915	4.894611428571429	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_32244_4
0.0	0.00477	2.56681	0.0	37.39318	7.733	7.04605	18.69469	19.14374	1.48014	0.0	0.0	3.40168	11.71183	0.39229	0.05439	2.61234	0.0	0.00799	0.95641	0.0	0.65324	6.97861	0.0	0.0	0.0	0.01526	0.0455	4.3175685714285725	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_751800_4
0.00867	0.00423	2.39294	0.0	45.01167	3.38775	8.99372	5.77051	22.35203	1.1644	0.0	5.377	2.86926	13.19922	0.04683	0.03301	1.84744	0.0	0.01172	1.44787	0.0	0.0	6.98378	0.0	0.0	0.0	0.0168	0.04243	4.320045714285714	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_849749_5
0.00764	0.01494	1.78754	0.0	12.74787	3.45702	7.55635	6.08418	13.5605	6.53644	0.0	21.14879	13.862939999999996	13.73219	0.0	0.0131	2.69009	0.0	0.00187	4.935949999999999	0.00147	0.0	7.6555	1.51545	0.00144	0.0	0.00947	0.24638	4.1988257142857135	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_164032_5
0.0	0.01328	1.47182	0.0	6.57207	10.64374	1.07414	21.27672	17.2702	4.63298	0.0	18.01518	8.358059999999998	12.18353	0.18418	0.02279	2.41791	0.0	6e-05	2.6149500000000003	0.0	1.65746	5.09176	0.0	0.0	0.0	0.01463	0.15848	4.059783571428572	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_889662_5
0.0	0.0042	1.19806	0.0	8.799	12.73622	5.21972	31.88129	18.36193	5.3128	0.0	23.472	5.769499999999997	14.76152	0.50933	0.03237	2.57042	0.0	0.00114	0.45598	0.0	2.5905	5.60966	0.36731	0.00179	0.0	0.00651	0.18232	4.994413214285713	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_968096_4
0.0	0.00942	1.25457	0.0	9.33291	15.69133	3.36002	17.007830000000002	25.40566	3.51532	0.0	42.27158	5.327389999999998	15.92502	0.16007	0.0302	1.86444	0.0	0.00173	1.2215300000000004	0.0	0.82521	6.98528	0.0	0.0	0.0	0.01901	0.11396	5.368659999999999	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_606397_5
0.0	0.00488	0.76662	0.0	0.0	15.12781	0.37718	38.77835	12.95718	3.23891	0.0	11.199	7.330550000000002	8.29792	0.74783	0.00148	3.13534	0.0	0.0	0.6112000000000002	0.0	5.57186	7.34507	0.0	0.0	0.0	0.22046	0.12655	4.137078214285713	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_897865_4
