Matrix,Method,NoiseLevel,Pearson_r,R_squared,p_value
2Median_300_500,BayesPrism,0.1,0.6099672956789257,0.372060101797862,0.0
2Median_300_500,MuSiC,0.1,0.1766319476282828,0.031198844922960437,8.451777305207713e-122
2Median_300_500,ReDeconv,0.1,0.6311745898443878,0.3983813628652312,0.0
2Median_300_500,CIBERSORTx,0.1,0.4109648239852654,0.16889208655324017,0.0
2Median_300_500,NNLS,0.1,0.21866259662286222,0.04781333116185256,1.7020600463745677e-127
2Median_300_500,QP,0.1,0.2708400613510079,0.07335433883261773,1.04405125622818e-245
2Median_300_500,nuSVR,0.1,0.5664917139107334,0.3209128619295202,0.0
2Median_300_500,BayesPrism,0.2,0.6158662576630239,0.3792912473278582,0.0
2Median_300_500,MuSiC,0.2,0.17365332556776628,0.030155477480744628,1.7853157538145513e-120
2Median_300_500,ReDeconv,0.2,0.6229184163338238,0.38802735340783906,0.0
2Median_300_500,CIBERSORTx,0.2,0.3993995346941407,0.1595199883138961,0.0
2Median_300_500,NNLS,0.2,0.22566597625119422,0.05092513283740455,1.4975434514250142e-136
2Median_300_500,QP,0.2,0.2740245777138435,0.07508946919125024,2.4948004076184354e-273
2Median_300_500,nuSVR,0.2,0.5598110402054524,0.3133884007359106,0.0
2Median_300_500,BayesPrism,0.3,0.6175553783063209,0.38137464527506315,0.0
2Median_300_500,MuSiC,0.3,0.14276176541356722,0.020380921663998398,4.643698180040938e-80
2Median_300_500,ReDeconv,0.3,0.5960821208859266,0.3553138948398644,0.0
2Median_300_500,CIBERSORTx,0.3,0.34792608763760924,0.12105256245881335,0.0
2Median_300_500,NNLS,0.3,0.1543627501668982,0.023827858639088234,1.1278371543448661e-61
2Median_300_500,QP,0.3,0.21073611959209695,0.04440971210073459,6.637655582615979e-162
2Median_300_500,nuSVR,0.3,0.44833492103034933,0.20100420141528957,0.0
2Median_300_500,BayesPrism,0.4,0.6169978481508945,0.3806863446228343,0.0
2Median_300_500,MuSiC,0.4,0.077147752046522,0.0059517756458316385,2.18291895863004e-24
2Median_300_500,ReDeconv,0.4,0.560310139892594,0.3139474528664583,0.0
2Median_300_500,CIBERSORTx,0.4,0.28814214879738836,0.0830258979135763,0.0
2Median_300_500,NNLS,0.4,0.116864469947065,0.013657304336008457,1.1540687595241481e-35
2Median_300_500,QP,0.4,0.17407536746932722,0.030302233559581306,3.325876616361683e-117
2Median_300_500,nuSVR,0.4,0.4521969926714257,0.20448212018108144,0.0
2Median_300_500,BayesPrism,0.5,0.6146955089569568,0.37785056873185213,0.0
2Median_300_500,MuSiC,0.5,0.07531498542671415,0.005672347029826165,3.238647273412647e-22
2Median_300_500,ReDeconv,0.5,0.5649432910453711,0.3191609220971749,0.0
2Median_300_500,CIBERSORTx,0.5,0.25697068448006943,0.06603393268215539,1.030533973882004e-271
2Median_300_500,NNLS,0.5,0.10361857273298204,0.01073680861522029,1.2016317768086978e-27
2Median_300_500,QP,0.5,0.18465350895500668,0.03409691836939673,7.477970030926442e-131
2Median_300_500,nuSVR,0.5,0.36748021977021345,0.13504171192236436,0.0
2Median_300_500,BayesPrism,0.6,0.6116562211150344,0.37412333282872384,0.0
2Median_300_500,MuSiC,0.6,0.02121411871975613,0.00045003883305590745,0.006682389427701302
2Median_300_500,ReDeconv,0.6,0.6135104773373529,0.3763951058027066,0.0
2Median_300_500,CIBERSORTx,0.6,0.19024383661892902,0.036192717371489755,1.6159953173959506e-141
2Median_300_500,NNLS,0.6,0.07055812007056989,0.004978448307892957,7.6626053096378e-14
2Median_300_500,QP,0.6,0.13248028904347933,0.01755102698504383,7.595115898792779e-71
2Median_300_500,nuSVR,0.6,0.3030139339344118,0.09181744415840806,0.0
2Median_300_500,BayesPrism,0.7,0.5799710536092445,0.33636642302461717,0.0
2Median_300_500,MuSiC,0.7,-0.05211737261149456,0.0027162205279253632,3.7548575775821324e-11
2Median_300_500,ReDeconv,0.7,0.5077325629232686,0.25779235545263096,0.0
2Median_300_500,CIBERSORTx,0.7,0.15190954770403436,0.023076510683644292,8.436270185991108e-93
2Median_300_500,NNLS,0.7,0.06546741350225842,0.0042859822306756876,2.728076131695332e-11
2Median_300_500,QP,0.7,0.08819547389335564,0.007778441615273576,9.798621999206472e-31
2Median_300_500,nuSVR,0.7,0.20623477720945183,0.04253278333063223,2.8583817243167935e-175
2Median_300_500,BayesPrism,0.8,0.5445936825406381,0.2965822790631733,0.0
2Median_300_500,MuSiC,0.8,-0.0001531516812374277,2.345543746585067e-08,0.9842529632262427
2Median_300_500,ReDeconv,0.8,0.3809397007235673,0.14511505558736104,0.0
2Median_300_500,CIBERSORTx,0.8,0.16852561653252338,0.028400883427667115,1.831160197985767e-112
2Median_300_500,NNLS,0.8,0.08215450032060667,0.006749361922928561,2.215658589833287e-16
2Median_300_500,QP,0.8,0.09702556120606154,0.009413959527351193,2.7199109743019086e-37
2Median_300_500,nuSVR,0.8,0.24740788514576217,0.06121066163229865,6.886311919632873e-255
2Median_300_500,BayesPrism,0.9,0.5108428609322975,0.2609604285654946,0.0
2Median_300_500,MuSiC,0.9,0.0050673210159299775,2.567774227848562e-05,0.5206357219847116
2Median_300_500,ReDeconv,0.9,0.4385811315775653,0.19235340897585765,0.0
2Median_300_500,CIBERSORTx,0.9,0.14290760762949095,0.02042258431838454,7.922376433933192e-81
2Median_300_500,NNLS,0.9,0.06574552940638387,0.0043224746369256856,1.6828108946177702e-11
2Median_300_500,QP,0.9,0.10992138639367982,0.012082711186708658,4.216002685378746e-49
2Median_300_500,nuSVR,0.9,0.22891870223793778,0.05240377223430162,1.902320509017625e-218
2Median_300_500,BayesPrism,1.0,0.5560626663049454,0.309205688858165,0.0
2Median_300_500,MuSiC,1.0,0.015615827637068012,0.00024385407279061712,0.04807436136973159
2Median_300_500,ReDeconv,1.0,0.5343822172353715,0.2855643540973918,0.0
2Median_300_500,CIBERSORTx,1.0,0.09896265855539699,0.009793607788352088,8.026504278254e-38
2Median_300_500,NNLS,1.0,0.018441450549788616,0.00034008709838029885,0.0678925793758972
2Median_300_500,QP,1.0,0.0741452869738097,0.005497523580428595,2.5824085231338777e-22
2Median_300_500,nuSVR,1.0,0.12515775863000575,0.01566446454528678,1.5196887836862762e-62
