Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	NoiseLevel	Sample
5e-05	0.00314	3.75819	0.00606	4.068420000000001	0.00564	0.00401	4.55466	3.15358	4.30501	0.02214	55.12687	5.828200000000001	11.06221	2.90388	0.00268	14.81138	0.00226	2.26939	0.29059	0.2467	0.41854	0.00204	0.00299	0.00347	6.40898	19.89359	0.00169	4.969869999999999	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_27225_4
2e-05	0.00239	5.36094	0.01259	4.232589999999999	0.00501	0.00452	6.36742	4.72762	2.91676	0.00089	55.36074	0.05746	8.10139	2.66157	0.00147	17.02912	0.00119	2.26797	5.06968	0.43836	0.88196	0.0015	0.00131	0.07245	6.95251	19.53074	0.00072	5.073603214285716	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_710570_4
6e-05	0.00233	2.76198	0.00388	12.76005	0.00487	0.00564	14.35157	1.33663	3.38249	0.03666	11.75994	9.51387	10.43591	3.83625	0.00346	12.41767	0.00037	3.6244	0.02608	0.24842	1.31124	0.0023	0.00499	0.00084	4.74081	4.16686	0.03134	3.456103928571428	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_32244_4
3e-05	0.00151	4.21189	0.33714	19.05284	0.00363	0.0107	13.17574	2.27017	1.49948	0.00465	0.00102	3.3030399999999998	6.57439	2.86245	0.00116	13.57953	0.00032	5.35879	8.52216	0.28446	1.50205	0.00234	0.00682	0.00117	5.1595	0.37872	0.00189	3.146699642857143	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_751800_4
3e-05	0.00173	4.32187	0.02757	22.185259999999992	0.00391	0.00663	3.85888	0.92982	0.98632	0.00134	5.19555	2.56611	5.63162	1.49914	0.00106	12.96069	0.00035	7.31591	7.6084	0.13454	0.55346	0.00238	0.0029	0.00141	5.67588	1.35074	0.00494	2.958158571428572	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_849749_5
3e-05	0.00119	4.09142	0.00267	4.486280000000001	0.04453	0.00498	4.322329999999999	1.29199	5.6252	0.10124	19.18823	15.922439999999996	13.30032	1.78211	0.01209	9.37625	0.0004	1.28669	4.020239999999999	0.33239	0.36469	0.00263	1.5455	0.00167	3.12162	5.51768	0.13227	3.424252857142857	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_164032_5
2e-05	0.00216	4.91329	0.00375	3.02878	0.02121	0.00523	15.02784	3.47736	4.80051	0.0544	16.62723	10.36761	12.82842	3.44634	0.00229	11.49654	0.00042	0.74765	7.883590000000002	0.72743	1.63629	0.0024	0.01317	0.00146	3.42429	5.28126	0.04917	3.781075357142857	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_889662_5
5e-05	0.00149	2.89893	0.00636	3.79522	0.02061	0.00469	22.015970000000003	3.37423	4.91663	0.05132	21.432170000000003	10.589	12.8476	5.24889	0.00475	12.2858	0.00054	0.9241	0.09148	0.66499	2.25005	0.00214	0.01159	0.00151	4.10092	8.11715	0.0066	4.130885	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_968096_4
9e-05	0.00185	4.28927	0.00803	4.01788	0.01038	0.00414	12.26057	3.62637	4.2663	0.02597	37.46379	6.501109999999999	11.41556	3.6172	0.00193	14.09128	0.00065	1.55073	3.2507200000000003	0.61127	1.37761	0.00198	0.00698	0.0033	5.3422	13.23803	0.00305	4.5352942857142855	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_606397_5
6e-05	0.00102	4.61828	0.01155	0.00197	0.01856	0.00845	27.277230000000003	5.46068	4.64114	0.0351	10.55691	8.20218	12.26283	5.10856	0.00164	11.1846	0.00038	0.00458	8.298140000000002	1.0201	3.34173	0.00251	0.00361	0.00144	2.8322	3.7642	0.00935	3.881035714285715	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_897865_4
5e-05	0.00157	6.32857	0.01365	6.32456	0.00328	0.00678	9.21011	3.79003	3.05858	0.0066	27.77253	2.4276	9.44478	2.25006	0.0017	14.81046	0.0005	2.06015	11.888870000000004	0.61788	1.32039	0.00198	0.00306	0.01601	5.22064	8.66505	0.00198	4.115979285714286	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_171555_5
