	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR13990980	4.71	0.01	0.21	0.01	0.01	0.0	13.19	0.01	33.49	0.0	0.0	0.16	0.01	0.0	0.02	0.0	0.05	0.0	0.0	0.01	0.0	0.0	0.0	0.06	0.0	0.0	0.01	0.09	0.0	47.95	BayesPrism
SRR13990981	3.51	0.0	0.04	0.0	2.5	0.0	11.99	0.01	33.95	0.0	0.0	0.05	0.01	0.0	1.07	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.01	0.01	0.0	46.79	BayesPrism
SRR13990884	0.0	0.0	10.62	0.0	0.0	0.0	0.0	0.0	23.81	0.01	0.0	0.0	0.0	0.0	0.0	0.11	13.05	0.0	0.0	2.86	0.0	0.0	0.0	0.05	0.01	1.78	0.0	1.73	0.0	45.93	BayesPrism
SRR13990885	0.01	0.0	2.03	0.01	0.0	0.02	16.78	0.0	31.72	0.0	0.01	0.0	0.0	0.0	0.01	0.06	5.22	0.0	0.0	1.23	0.0	0.0	0.0	0.01	0.0	5.9	0.0	0.6	0.0	36.37	BayesPrism
SRR13990883	0.01	0.0	1.21	0.0	5.12	0.17	14.04	0.02	38.9	0.0	0.01	0.03	0.0	0.03	0.72	0.07	5.03	0.0	0.01	0.01	0.0	0.0	0.01	0.09	0.0	1.79	0.02	0.88	0.0	31.82	BayesPrism
SRR13990805	0.0	0.0	5.15	0.0	0.0	0.0	0.43	0.0	34.17	0.01	0.0	0.0	0.0	0.0	0.0	1.08	6.24	0.0	0.0	3.95	0.0	0.0	0.0	0.07	0.0	0.68	0.0	1.54	7.17	39.48	BayesPrism
SRR13991098	0.01	0.0	9.99	0.01	4.08	0.01	0.0	0.01	28.36	0.29	0.0	0.0	0.0	0.0	0.0	0.23	14.03	0.0	0.01	1.56	0.0	0.0	0.0	0.02	0.02	0.12	0.0	1.21	0.5	39.52	BayesPrism
SRR13990882	0.01	0.0	4.63	0.0	0.0	0.07	9.27	0.02	30.33	0.0	0.01	0.01	0.0	0.01	0.0	0.61	8.12	0.0	0.01	2.78	0.0	0.0	0.01	0.17	0.0	1.11	0.0	1.13	1.84	39.85	BayesPrism
SRR13991103	0.0	0.0	9.39	0.0	0.0	0.01	0.02	0.0	27.81	0.23	0.0	0.0	0.0	0.0	0.0	0.11	12.98	0.0	0.0	3.24	0.0	0.0	0.0	0.12	0.0	0.14	0.0	1.6	0.03	44.29	BayesPrism
SRR13991105	0.01	0.0	5.01	0.0	0.0	0.01	1.66	0.01	34.55	0.01	0.0	0.0	0.0	0.0	0.0	1.11	6.22	0.0	0.01	3.94	0.0	0.0	0.0	0.06	0.0	0.31	0.0	1.64	6.45	38.98	BayesPrism
SRR13991097	0.0	0.0	9.79	0.0	3.11	0.0	0.01	0.0	27.23	1.09	0.0	0.0	0.0	0.0	0.0	0.24	14.15	0.01	0.02	1.23	0.0	0.0	0.0	0.02	0.03	0.14	0.0	1.4	0.83	40.69	BayesPrism
SRR13991099	0.83	0.0	7.68	0.0	0.0	0.01	0.0	0.0	20.8	0.0	0.0	0.0	0.0	0.0	0.0	0.22	10.83	0.0	0.02	3.46	0.0	0.0	0.0	0.26	0.0	0.0	0.0	1.26	1.35	53.24	BayesPrism
SRR13990973	7.12	0.0	5.26	0.01	0.0	0.01	1.84	0.0	21.85	0.0	0.0	0.02	0.0	0.0	0.01	0.05	5.97	0.0	0.0	1.71	0.0	0.02	0.0	0.01	0.0	0.05	0.0	0.24	0.0	55.79	BayesPrism
