	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR13991090	0.0	0.0	0.0	0.0	0.0	6.84	0.0	0.04	41.7	0.0	0.0	0.0	15.46	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.49	0.0	35.25	BayesPrism
SRR13990878	15.08	0.0	2.86	0.0	0.0	0.0	0.0	0.0	13.84	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	67.93	BayesPrism
SRR13990839	10.6	0.0	6.67	0.01	0.0	0.0	0.01	0.0	21.6	0.0	0.0	0.0	0.01	0.0	0.0	0.21	1.87	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.02	58.62	BayesPrism
SRR13991062	19.61	0.0	1.77	0.0	0.0	0.0	0.0	0.0	10.08	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.01	0.01	0.0	0.01	0.0	0.02	0.01	0.05	0.0	0.0	0.0	0.27	0.0	67.83	BayesPrism
SRR13990797	15.62	0.0	3.05	0.01	0.0	0.0	0.02	0.0	17.78	0.02	0.0	0.01	0.0	0.0	0.0	0.44	2.67	0.0	0.0	0.08	0.0	0.03	0.0	0.14	0.01	0.01	0.0	0.44	0.0	59.67	BayesPrism
SRR13990676	0.0	0.0	0.03	0.01	0.0	0.04	17.04	0.0	35.8	0.0	0.0	0.0	0.0	0.0	0.0	0.18	3.11	0.0	0.01	1.32	0.0	0.0	0.0	0.1	0.0	6.49	0.0	0.49	0.01	35.34	BayesPrism
SRR13991032	0.0	0.0	0.0	0.01	0.0	0.2	17.14	0.91	35.72	0.0	0.01	0.0	0.0	0.0	0.0	14.59	1.95	0.0	0.0	0.1	0.0	0.0	0.03	0.05	0.0	3.11	0.0	0.16	0.0	25.99	BayesPrism
SRR13990778	0.0	0.0	0.0	0.0	0.0	6.17	0.01	0.01	38.74	0.0	0.0	0.0	16.09	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	38.29	BayesPrism
SRR13990695	10.57	0.0	1.11	0.01	0.0	0.0	2.17	0.0	20.45	0.01	0.0	0.14	0.0	0.0	0.0	0.09	1.13	0.0	0.0	0.44	0.0	0.01	0.15	0.25	0.0	1.36	0.01	0.37	0.0	61.73	BayesPrism
SRR13990850	3.35	0.0	0.0	0.0	0.0	1.17	3.81	0.11	41.09	0.0	0.0	0.0	6.64	0.0	0.0	0.06	0.01	0.01	0.0	0.0	0.0	0.42	0.01	0.0	0.0	0.22	0.0	0.1	0.0	42.97	BayesPrism
SRR13990858	0.0	0.0	0.22	0.01	0.0	1.23	12.63	0.15	33.13	0.0	0.0	0.0	0.13	0.0	0.0	1.5	6.13	0.0	0.0	3.0	0.0	0.0	0.01	0.18	0.02	4.62	0.0	0.55	0.0	36.47	BayesPrism
SRR13990904	20.95	0.03	2.95	0.0	0.0	0.0	0.0	0.0	13.42	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.01	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.36	0.0	61.97	BayesPrism
SRR13991080	17.94	0.0	2.09	0.0	0.0	0.0	0.0	0.0	13.38	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.17	0.0	65.98	BayesPrism
SRR13990868	5.09	0.01	0.63	0.01	0.0	0.01	5.0	0.0	29.45	0.0	0.0	0.06	0.0	0.02	0.02	1.23	4.69	0.01	0.0	0.72	0.0	0.02	0.02	0.38	0.0	4.7	0.0	1.0	0.18	46.74	BayesPrism
SRR13990814	0.01	0.0	10.33	0.0	0.0	0.0	0.14	0.0	25.41	0.0	0.01	0.0	0.0	0.0	0.0	0.2	5.55	0.0	0.0	3.24	0.0	0.0	0.0	0.65	0.15	0.0	0.0	0.61	7.16	46.53	BayesPrism
SRR13990762	10.72	0.0	0.89	0.02	0.0	0.0	1.99	0.01	20.76	0.0	0.0	0.23	0.0	0.0	0.0	0.09	0.86	0.01	0.0	0.13	0.0	0.01	0.06	0.35	0.0	1.54	0.0	0.33	0.0	62.0	BayesPrism
SRR13990629	0.0	0.0	0.63	0.0	0.0	0.35	15.1	0.0	40.7	0.0	0.0	0.0	0.0	0.0	0.0	0.17	1.77	0.0	0.0	1.34	0.0	0.0	0.0	0.07	0.0	4.25	0.0	0.38	0.01	35.2	BayesPrism
SRR13990728	12.81	0.0	4.59	0.0	0.08	0.0	0.01	0.0	20.66	0.0	0.0	0.0	0.0	0.0	0.0	0.38	3.34	0.0	0.0	0.57	0.0	0.01	0.0	0.34	0.0	0.0	0.0	0.64	0.1	56.43	BayesPrism
SRR13990932	1.9	0.0	0.0	0.0	0.0	0.98	3.99	0.06	45.04	0.0	0.0	0.0	6.43	0.0	0.0	0.07	0.01	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.01	0.0	0.01	0.0	41.26	BayesPrism
SRR13990879	14.86	0.0	2.36	0.0	0.0	0.0	0.01	0.0	18.59	0.01	0.0	0.0	0.01	0.0	0.0	0.32	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.08	0.0	63.72	BayesPrism
SRR13990816	0.01	0.0	9.4	0.0	0.0	0.0	0.3	0.0	28.64	0.0	0.0	0.0	0.0	0.0	0.0	0.22	4.66	0.0	0.0	2.82	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.76	6.96	45.64	BayesPrism
SRR13990798	15.99	0.0	2.84	0.0	0.0	0.0	0.09	0.0	16.92	0.01	0.0	0.0	0.0	0.0	0.0	0.39	2.3	0.0	0.0	0.06	0.0	0.0	0.01	0.21	0.0	0.01	0.0	0.26	0.0	60.89	BayesPrism
SRR13990892	1.83	0.0	3.67	0.0	0.01	0.0	4.54	0.01	30.27	0.01	0.0	0.0	0.0	0.0	0.0	1.06	4.84	0.0	0.04	2.57	0.0	0.01	0.0	0.91	0.0	0.0	0.01	2.47	0.97	46.76	BayesPrism
SRR13990827	0.95	0.0	9.6	0.02	0.04	0.0	0.28	0.01	25.91	0.09	0.01	0.0	0.0	0.0	0.01	2.26	12.29	0.0	0.0	0.61	0.0	0.0	0.0	0.09	0.0	0.01	0.0	0.97	0.04	46.8	BayesPrism
SRR13990815	0.01	0.0	0.51	0.01	0.0	0.69	13.98	0.2	33.52	0.01	0.0	0.02	0.15	0.0	0.0	1.47	6.15	0.0	0.01	2.28	0.0	0.0	0.0	0.2	0.0	5.13	0.0	0.38	0.0	35.27	BayesPrism
SRR13990739	12.23	0.0	4.28	0.0	0.0	0.0	0.01	0.0	21.74	0.0	0.0	0.0	0.0	0.0	0.0	0.46	3.46	0.0	0.01	0.04	0.0	0.03	0.0	0.37	0.0	0.0	0.0	0.6	0.2	56.53	BayesPrism
SRR13991056	2.96	0.01	7.23	0.01	0.0	0.0	0.17	0.11	25.23	0.0	0.01	0.0	0.11	0.0	0.0	0.88	2.73	0.0	0.01	0.8	0.0	0.01	0.01	0.3	0.0	0.01	0.0	1.95	1.88	55.58	BayesPrism
SRR13990923	0.01	0.0	0.93	0.0	0.0	0.04	15.61	0.0	36.32	0.0	0.0	0.0	0.0	0.0	0.0	0.15	2.42	0.0	0.01	1.54	0.0	0.0	0.0	0.11	0.0	5.21	0.01	0.35	0.0	37.26	BayesPrism
SRR13990645	0.06	0.0	5.13	0.0	8.41	0.01	6.3	0.0	33.8	0.02	0.0	0.0	0.0	0.0	0.0	0.65	2.62	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.99	0.0	41.61	BayesPrism
