	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR13990890	0.0	0.0	5.95	0.0	0.0	0.01	2.15	0.0	31.98	0.0	0.0	0.0	0.02	0.0	0.0	0.42	15.34	0.0	0.0	2.49	0.0	0.0	0.0	0.01	0.0	2.04	0.0	0.36	0.0	39.21	BayesPrism
SRR13990887	0.0	0.0	0.5	0.01	0.0	0.16	8.51	0.0	37.06	0.02	0.0	0.12	0.01	0.0	0.0	0.14	2.4	0.0	0.0	0.14	0.0	0.0	0.0	0.05	0.0	2.66	0.0	0.0	0.0	48.2	BayesPrism
SRR13990963	0.0	0.0	4.6	0.01	0.52	0.02	7.5	0.0	41.1	0.11	0.0	0.01	0.0	0.0	0.0	0.19	7.59	0.0	0.0	2.17	0.0	0.0	0.0	0.11	0.0	3.62	0.0	0.2	0.01	32.22	BayesPrism
SRR13990899	0.01	0.0	9.91	0.0	0.01	0.0	0.01	0.0	17.27	0.01	0.0	0.0	0.0	0.0	0.0	0.29	14.87	0.0	0.0	2.41	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.79	0.0	54.23	BayesPrism
SRR13990888	0.0	0.0	1.35	0.01	0.0	0.23	9.69	0.0	37.59	0.01	0.0	0.01	0.0	0.0	0.0	0.7	10.33	0.0	0.0	2.58	0.0	0.0	0.0	0.13	0.0	12.07	0.0	0.1	0.0	25.2	BayesPrism
SRR13990964	0.0	0.0	4.33	0.05	3.6	0.05	7.67	0.0	42.63	0.09	0.0	0.01	0.0	0.0	0.0	0.18	6.64	0.0	0.0	0.82	0.0	0.0	0.0	0.09	0.0	2.68	0.0	0.0	0.01	31.15	BayesPrism
SRR13990898	1.66	0.0	4.14	0.01	0.0	0.0	5.7	0.0	25.73	0.01	0.0	0.0	0.0	0.0	0.0	0.4	6.68	0.0	0.0	0.82	0.0	0.0	0.0	0.01	0.0	3.35	0.0	0.01	0.0	51.44	BayesPrism
SRR13990965	0.0	0.0	0.01	0.01	0.0	1.33	10.04	0.0	38.43	0.0	0.0	0.64	0.01	0.0	0.0	0.42	6.42	0.0	0.0	1.83	0.0	0.0	0.0	0.09	0.0	5.21	0.0	0.02	0.01	35.5	BayesPrism
SRR13990694	0.29	0.0	3.92	0.08	0.0	0.01	6.35	0.0	23.9	0.13	0.0	0.01	0.0	0.0	0.0	0.13	4.3	0.0	0.0	2.98	0.0	0.0	0.0	0.16	0.0	15.58	0.0	0.12	0.0	42.05	BayesPrism
SRR13991077	0.0	0.0	0.0	0.0	0.0	0.12	11.08	0.0	41.99	0.01	0.01	0.01	0.0	0.0	0.0	0.12	0.06	0.0	0.04	1.62	0.0	0.0	0.01	0.38	0.0	1.05	0.0	0.56	2.56	40.37	BayesPrism
