	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
prevail_cu_cfrna_206	3.71	0.0	28.5	0.0	9.79	0.0	0.0	0.03	16.61	2.72	0.0	0.0	0.0	0.0	0.01	0.0	8.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	1.42	0.0	28.55	BayesPrism
prevail_cu_cfrna_211	0.0	0.05	0.01	0.01	1.84	7.55	0.0	0.0	23.2	0.03	0.0	0.0	1.64	0.01	0.06	0.13	9.73	0.0	0.2	3.18	0.01	0.22	0.24	0.14	3.71	1.43	0.04	10.63	0.03	35.9	BayesPrism
prevail_cu_cfrna_223	1.8	0.01	0.28	0.54	7.34	0.48	0.01	0.0	25.86	1.27	0.0	0.01	0.07	0.01	0.17	0.06	20.65	0.0	0.08	0.66	0.01	0.01	0.01	0.03	1.29	2.83	0.0	6.22	0.0	30.3	BayesPrism
prevail_cu_cfrna_215	0.0	0.01	0.07	0.01	3.47	13.22	0.02	0.0	29.29	0.6	0.0	0.0	0.09	0.03	0.01	0.08	15.68	0.0	0.12	1.93	0.0	0.0	0.07	0.13	1.67	10.46	0.02	9.36	0.01	13.63	BayesPrism
prevail_cu_cfrna_202	0.63	0.0	22.89	0.0	11.12	0.0	0.0	0.01	13.63	1.86	0.02	0.0	0.0	0.0	0.01	0.05	14.52	0.0	0.05	0.0	0.0	0.0	0.0	0.02	0.01	0.02	0.0	4.2	0.0	30.9	BayesPrism
prevail_cu_cfrna_224	0.0	0.01	0.62	0.13	3.34	15.74	0.0	0.0	26.88	0.49	0.0	0.0	0.0	0.0	0.0	0.01	25.6	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.02	7.68	0.0	2.61	0.0	16.83	BayesPrism
prevail_cu_cfrna_199	0.0	0.03	0.02	0.01	3.33	5.34	0.11	0.0	30.51	0.63	0.01	0.0	0.57	0.04	0.01	0.18	7.27	0.06	0.19	3.57	0.01	0.58	1.62	0.4	2.67	5.38	0.0	18.68	1.15	17.65	BayesPrism
prevail_cu_cfrna_204	2.11	0.01	5.78	0.01	4.66	0.0	0.24	0.0	18.79	0.69	0.0	0.0	0.71	0.02	2.25	0.01	9.36	0.0	0.03	0.01	0.0	0.01	0.02	0.0	5.81	0.04	0.01	2.22	0.0	47.22	BayesPrism
prevail_cu_cfrna_217	0.0	0.0	0.0	0.0	0.0	20.41	0.0	0.0	51.3	0.0	0.0	0.0	4.02	0.0	0.0	0.04	0.0	2.02	0.0	0.01	0.0	0.01	0.0	0.0	0.47	2.78	0.0	1.41	0.0	17.5	BayesPrism
prevail_cu_cfrna_216	0.0	0.03	5.65	0.0	4.54	0.0	0.0	0.0	15.55	0.47	0.0	0.0	0.68	0.06	0.02	0.26	12.09	0.02	0.18	5.19	0.03	0.42	0.18	0.4	3.12	2.01	0.04	18.38	0.13	30.5	BayesPrism
prevail_cu_cfrna_219	3.1	0.01	6.64	0.0	7.07	0.0	0.01	0.0	13.29	0.12	0.0	0.0	0.03	0.03	0.15	0.06	17.12	0.01	0.09	0.02	0.0	0.05	0.01	0.07	1.54	0.0	0.02	8.74	0.06	41.75	BayesPrism
prevail_cu_cfrna_220	0.0	0.0	15.88	0.0	8.84	0.0	1.16	0.0	13.31	2.78	0.0	0.0	0.0	0.03	0.11	0.11	15.84	0.01	0.17	0.01	0.01	0.31	0.01	0.11	1.44	3.89	0.04	12.03	1.17	22.73	BayesPrism
prevail_cu_cfrna_205	0.03	0.0	2.56	0.11	4.75	10.08	0.0	0.0	36.55	0.77	0.0	0.0	0.44	0.0	0.0	0.04	14.39	0.01	0.06	0.0	0.0	0.0	0.01	0.01	0.3	6.98	0.0	4.43	0.0	18.44	BayesPrism
prevail_cu_cfrna_225	0.01	0.0	0.0	0.0	1.66	18.4	0.0	0.0	20.21	0.0	0.0	0.0	0.03	0.0	0.0	0.02	31.91	0.0	0.01	0.08	0.0	0.0	0.0	0.0	0.19	2.81	0.0	2.92	0.0	21.74	BayesPrism
prevail_cu_cfrna_212	0.01	0.05	3.04	0.0	10.27	0.0	0.0	0.0	6.8	1.92	0.0	0.0	0.01	0.32	1.91	0.27	17.11	0.0	0.32	1.25	0.02	0.22	0.23	0.48	2.26	0.01	0.06	25.31	0.01	28.09	BayesPrism
prevail_cu_cfrna_203	0.92	0.01	23.22	0.0	9.73	0.0	0.0	0.0	13.04	2.87	0.2	0.0	0.0	0.0	0.29	0.09	11.48	0.01	0.09	0.0	0.0	0.0	0.0	0.1	0.03	0.65	0.0	7.09	0.0	30.15	BayesPrism
prevail_cu_cfrna_221	0.07	0.01	18.54	0.0	7.39	0.0	0.0	0.01	18.96	1.75	0.0	0.0	0.13	0.0	0.04	0.11	16.73	0.03	0.07	0.0	0.01	0.04	0.01	0.16	0.38	2.57	0.03	8.19	0.03	24.72	BayesPrism
prevail_cu_cfrna_209	0.0	0.01	3.03	0.0	1.62	8.93	0.0	0.0	37.5	0.07	0.0	0.0	5.04	0.0	0.0	0.29	7.02	0.0	0.16	1.92	0.01	0.14	0.12	0.01	0.52	3.43	0.01	10.84	0.0	19.31	BayesPrism
prevail_cu_cfrna_252	0.0	0.06	0.0	0.0	0.16	0.67	0.0	0.0	8.58	0.0	0.0	0.0	0.3	0.21	0.03	0.22	0.0	0.0	0.23	19.29	0.02	0.5	3.26	0.53	4.92	0.06	0.0	14.07	0.53	46.34	BayesPrism
prevail_cu_cfrna_320	0.0	0.02	0.0	0.0	1.17	15.23	0.0	0.0	43.18	0.0	0.0	0.0	5.05	0.0	0.0	0.56	0.0	0.01	0.15	2.29	0.01	0.41	0.29	0.04	1.07	3.19	0.02	10.76	0.27	16.26	BayesPrism
prevail_cu_cfrna_315	0.0	0.0	0.0	0.0	0.17	15.25	0.0	0.0	42.2	0.0	13.31	0.0	1.03	0.0	0.0	0.3	0.0	0.04	0.09	2.01	0.01	0.03	0.05	0.0	0.0	0.9	0.0	6.72	2.15	15.72	BayesPrism
prevail_cu_cfrna_289	0.0	0.0	0.0	0.0	0.02	18.66	0.0	0.0	58.23	0.0	0.07	0.0	3.65	0.0	0.0	0.03	0.0	2.73	0.0	0.0	0.0	0.01	0.0	0.0	1.27	0.01	0.0	0.55	0.0	14.74	BayesPrism
prevail_cu_cfrna_293	3.55	0.0	6.61	0.67	7.25	7.14	0.0	0.02	26.75	0.11	0.01	0.0	0.0	0.0	0.04	0.02	16.51	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02	9.54	0.0	1.17	0.0	20.57	BayesPrism
prevail_cu_cfrna_298	0.0	0.01	0.0	0.0	5.84	13.9	0.13	0.0	36.2	0.0	3.65	0.01	1.81	0.06	1.73	0.14	0.01	0.17	0.11	0.97	0.0	0.07	0.01	0.09	2.68	4.44	0.01	8.22	0.2	19.54	BayesPrism
prevail_cu_cfrna_319	0.0	0.02	0.01	0.02	2.96	24.33	0.06	0.0	35.96	0.54	0.07	0.0	0.98	0.0	0.04	0.15	0.01	0.03	0.12	0.73	0.0	0.08	0.01	0.1	1.11	9.37	0.01	5.75	0.01	17.52	BayesPrism
prevail_cu_cfrna_301	6.25	0.0	5.07	1.77	6.61	0.25	0.01	0.0	35.63	2.65	0.17	0.01	0.1	0.01	0.04	0.07	6.96	0.04	0.02	0.01	0.0	0.02	0.01	0.03	1.27	9.93	0.0	2.92	0.09	20.06	BayesPrism
prevail_cu_cfrna_308	0.06	0.02	0.52	0.02	3.87	8.44	0.09	0.04	31.55	0.78	0.0	0.0	0.09	0.0	0.04	0.07	8.42	0.02	0.11	6.31	0.01	0.1	0.36	0.12	1.72	9.35	0.0	8.31	0.0	19.58	BayesPrism
prevail_cu_cfrna_300	11.39	0.01	4.96	0.53	12.83	0.0	0.0	0.09	30.32	0.99	0.51	2.28	0.18	0.0	0.86	0.05	6.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01	0.0	1.54	0.0	22.32	BayesPrism
prevail_cu_cfrna_263	0.0	0.0	0.0	0.0	0.23	25.68	0.0	0.0	44.51	0.0	0.0	0.0	6.93	0.0	0.0	0.13	0.0	0.77	0.1	0.05	0.0	0.85	0.0	0.01	1.38	2.34	0.01	5.04	0.0	11.96	BayesPrism
prevail_cu_cfrna_76	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	10.34	0.0	36.8	0.0	0.0	0.0	0.0	0.13	0.0	0.01	0.55	0.0	0.01	0.03	0.0	0.24	0.0	0.0	0.0	18.02	8.56	23.29	BayesPrism
prevail_cu_cfrna_304	0.0	0.0	0.0	0.0	0.88	8.96	0.02	0.0	35.98	0.0	9.9	0.0	4.68	0.0	0.0	0.07	0.0	0.28	0.08	0.94	0.0	0.03	0.0	0.03	0.0	0.0	0.03	7.08	1.1	29.92	BayesPrism
prevail_cu_cfrna_305	0.0	0.0	0.0	0.0	1.12	12.62	0.03	0.0	39.21	0.0	0.0	0.0	1.89	0.04	0.0	0.31	0.0	0.08	0.21	6.54	0.0	0.2	1.68	0.08	2.0	10.22	0.02	14.57	0.06	9.1	BayesPrism
prevail_cu_cfrna_81	0.0	0.0	0.0	0.0	0.03	0.0	41.39	0.0	3.78	0.0	0.0	0.0	0.0	0.03	0.0	0.16	0.0	0.0	0.14	0.49	0.0	1.23	0.06	0.1	3.59	0.0	0.0	14.97	7.5	26.52	BayesPrism
