	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
cfrna_kd_94	0.0	0.01	0.0	0.0	0.0	0.0	0.18	0.78	67.62	0.0	0.0	0.0	0.91	0.0	0.0	0.69	0.0	0.02	0.03	2.57	0.0	0.21	0.6	0.04	0.22	19.05	0.0	2.54	0.01	4.51	BayesPrism
cfrna_kd_10	0.0	0.0	0.0	0.0	0.02	0.72	4.27	0.0	46.9	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.1	0.0	0.0	2.59	0.0	0.0	0.0	0.07	0.0	38.81	0.0	0.2	0.01	6.26	BayesPrism
cfrna_kd_33	0.01	0.0	1.09	0.02	4.12	1.68	0.16	0.45	56.09	0.11	0.01	0.02	0.01	0.0	0.0	0.34	4.02	0.02	0.02	0.23	0.0	0.01	0.25	0.09	0.1	20.3	0.0	2.98	0.0	7.88	BayesPrism
cfrna_kd_18	0.0	0.0	0.0	0.0	0.0	1.8	5.3	0.26	50.27	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.05	6.57	0.0	0.0	0.0	0.0	0.1	23.49	0.0	1.36	0.04	10.68	BayesPrism
cfrna_kd_9	0.0	0.02	0.0	0.0	5.45	9.99	0.55	0.29	43.6	0.0	0.0	0.11	0.03	0.01	0.75	0.05	0.01	0.0	0.02	0.88	0.0	0.0	0.01	0.09	0.07	19.17	0.01	1.5	0.0	17.36	BayesPrism
cfrna_kd_105	0.0	0.0	0.0	0.0	0.0	0.01	4.05	0.44	71.82	0.0	0.0	0.0	0.71	0.0	0.0	0.9	0.0	0.0	0.0	2.65	0.0	0.08	0.0	0.01	0.0	13.7	0.0	0.48	0.0	5.14	BayesPrism
cfrna_kd_5	0.0	0.0	0.0	0.0	0.68	0.0	1.83	0.11	44.09	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.04	0.07	5.46	0.0	0.05	0.01	0.22	0.01	36.14	0.0	1.75	0.01	9.37	BayesPrism
cfrna_kd_16	0.0	0.0	0.0	0.0	9.57	0.0	0.07	0.49	25.49	0.0	0.0	0.0	0.0	0.0	0.0	0.12	3.47	0.02	0.1	2.67	0.0	0.03	0.03	0.02	0.05	36.37	0.01	1.83	0.16	19.47	BayesPrism
cfrna_kd_2	0.08	0.0	1.36	0.0	7.18	5.8	1.47	0.02	42.3	0.68	0.01	0.31	0.35	0.0	0.01	0.0	5.66	0.0	0.04	0.03	0.0	0.0	0.0	0.01	0.0	17.09	0.0	0.44	0.0	17.13	BayesPrism
cfrna_kd_3	0.0	0.0	0.01	0.0	2.68	0.75	1.77	0.0	52.33	0.0	0.0	0.01	0.06	0.0	0.0	0.0	0.49	0.0	0.03	0.7	0.0	0.0	0.0	0.02	0.0	32.74	0.0	0.04	0.0	8.33	BayesPrism
