	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
X971241_3	1.2	0.01	11.51	0.02	8.09	0.01	0.15	0.61	22.79	6.54	0.0	0.0	0.05	0.0	0.0	0.04	10.37	0.02	0.0	0.0	0.0	0.01	0.41	0.17	1.54	3.2	0.0	1.83	0.01	31.42	BayesPrism
X653512_3	0.0	0.0	0.0	0.01	1.08	19.43	12.27	0.0	36.26	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.01	0.01	0.0	0.0	0.05	1.5	0.86	0.85	0.0	0.0	1.19	0.0	26.44	BayesPrism
X897309_3	4.8	0.01	0.02	0.01	8.86	8.36	0.42	0.48	38.46	0.03	0.01	4.25	0.0	0.0	0.85	0.03	0.75	0.0	0.04	0.0	0.0	0.01	0.0	0.01	0.0	6.63	0.0	1.82	0.0	24.12	BayesPrism
X565782_3	0.65	0.0	0.0	0.02	6.68	15.86	0.14	0.2	33.54	0.0	0.01	2.62	0.0	0.06	0.84	0.01	0.01	0.0	0.05	0.04	0.0	0.08	0.0	0.0	0.0	7.88	0.01	1.65	0.01	29.64	BayesPrism
X707861_2	0.01	0.0	0.03	14.55	4.0	0.02	3.1	0.27	17.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	1.83	0.0	0.02	0.01	0.0	4.49	13.7	0.0	1.89	0.15	38.01	BayesPrism
X888987_3	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	17.56	0.0	0.0	0.0	0.0	0.01	44.74	0.0	0.06	0.09	36.94	BayesPrism
X765128_2	4.33	0.01	1.18	0.0	15.08	0.01	0.01	1.23	20.31	2.98	2.25	0.0	0.0	0.0	0.51	0.02	8.95	0.0	0.0	0.0	0.0	0.0	3.31	0.7	0.02	0.06	0.0	6.16	0.01	32.87	BayesPrism
X961389_3	0.0	0.04	26.07	0.0	12.21	0.0	0.0	0.0	4.88	6.4	0.01	0.0	0.06	0.0	0.0	0.29	8.72	0.0	0.0	0.0	0.0	0.01	0.01	0.01	1.94	0.0	0.0	1.69	0.0	37.62	BayesPrism
X982023_3	0.0	0.01	0.0	5.57	5.18	14.16	2.09	0.0	31.51	0.01	0.0	0.02	0.0	0.2	0.0	0.05	0.0	0.01	0.04	0.01	0.0	0.01	0.1	0.1	0.02	8.87	0.01	2.08	0.03	29.92	BayesPrism
X691160_3	0.0	0.0	0.53	5.38	1.28	0.0	11.43	0.0	18.46	0.19	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.01	0.02	6.32	0.01	0.01	0.01	0.12	2.02	32.31	0.0	0.88	0.03	20.97	BayesPrism
