	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
X631489_3	5.08	0.2	1.21	0.01	12.07	0.03	3.52	0.75	18.72	2.92	2.57	0.0	0.01	0.0	0.0	0.01	12.45	0.0	0.0	0.34	0.0	0.02	0.02	0.03	0.01	9.84	0.01	1.8	0.05	28.3	BayesPrism
X674547_3	0.18	0.02	0.0	0.0	15.61	0.01	0.28	0.6	15.09	6.15	15.93	0.0	0.11	0.0	0.0	0.02	4.16	0.0	0.02	0.01	0.0	0.0	0.65	0.07	0.0	3.74	0.04	1.68	0.0	35.6	BayesPrism
X546738_3	9.84	0.46	0.01	0.01	10.72	0.03	0.01	1.14	20.35	6.68	9.79	0.0	0.05	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.05	0.08	0.38	0.0	1.29	0.0	0.93	0.0	38.09	BayesPrism
X813805_3	4.7	0.01	5.6	0.0	13.16	0.0	0.0	2.69	10.2	6.41	2.95	0.0	0.0	0.0	0.0	0.01	18.62	0.0	0.02	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.88	0.0	34.71	BayesPrism
X361175_1	9.93	0.0	2.19	0.0	12.75	0.0	0.0	1.27	28.77	0.01	0.0	6.68	0.0	0.0	0.92	0.0	10.91	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	2.87	0.0	21.78	BayesPrism
X472330_1	1.73	0.0	9.39	0.0	15.51	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.51	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	3.38	0.0	21.41	BayesPrism
X147354_2	5.79	0.0	7.77	0.0	14.34	0.0	0.0	0.01	21.45	0.05	0.0	0.07	0.0	0.0	0.01	0.0	26.85	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	3.72	0.0	19.06	BayesPrism
X261268_2	0.01	0.0	8.1	0.0	11.63	0.0	0.19	0.0	13.48	2.34	0.01	0.0	0.0	0.0	0.0	0.0	33.01	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.05	10.31	0.0	3.61	0.0	17.17	BayesPrism
X265479_2	0.01	0.0	0.0	0.0	5.44	9.78	1.37	0.9	37.82	0.0	0.0	2.04	0.0	0.0	10.49	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	6.06	0.0	1.99	0.0	24.05	BayesPrism
X209564_1	3.42	0.0	11.91	0.0	13.39	0.0	0.0	0.9	15.26	1.01	0.0	0.01	0.0	0.0	0.0	0.0	30.17	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	3.02	0.0	20.89	BayesPrism
