	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
X739041_3	0.0	0.0	0.0	0.0	4.01	0.0	13.25	0.0	8.41	4.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	1.7	31.34	0.01	0.0	0.78	0.01	35.47	BayesPrism
X569467_2	0.0	0.06	0.0	0.0	8.69	19.81	0.01	0.0	13.9	6.26	0.0	0.0	0.03	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	22.67	1.44	1.52	0.0	2.51	0.0	22.59	BayesPrism
X597312_3	0.0	0.0	0.0	0.0	11.19	6.6	5.01	0.0	9.85	8.65	0.01	0.0	0.0	0.0	0.63	0.01	0.0	0.0	0.0	0.0	0.0	0.02	5.69	5.54	2.51	0.0	0.01	5.81	0.04	38.4	BayesPrism
X450582_2	0.01	0.0	9.04	0.0	12.13	0.0	0.0	0.39	15.73	0.0	0.01	0.02	0.0	0.0	0.0	0.0	39.97	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	3.13	0.0	17.92	BayesPrism
X159918_2	1.88	0.0	6.55	0.0	9.44	0.01	0.01	0.99	25.2	0.0	0.01	1.11	0.0	0.0	0.01	0.0	22.38	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	9.22	0.0	1.44	0.0	21.7	BayesPrism
X295748_1	0.0	0.0	7.03	0.0	12.49	0.0	0.0	0.01	14.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.13	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	3.99	0.0	16.15	BayesPrism
X418624_2	0.99	0.0	13.67	0.0	11.47	0.0	0.0	0.44	16.12	0.0	0.01	0.01	0.0	0.0	0.0	0.0	33.61	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	2.62	0.0	2.86	0.0	18.18	BayesPrism
X330152_1	2.4	0.0	3.16	0.0	14.51	0.0	0.0	0.52	23.52	0.0	0.0	6.04	0.0	0.0	0.02	0.01	22.8	0.0	0.03	0.0	0.0	0.01	0.0	0.0	0.0	3.65	0.0	1.48	0.0	21.82	BayesPrism
X469006_2	0.01	0.0	4.2	0.0	10.75	0.0	0.0	0.0	25.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.88	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	2.07	0.0	4.66	0.0	15.14	BayesPrism
X410199_1	0.59	0.0	2.06	0.0	5.9	3.56	0.0	0.0	21.34	0.0	0.0	1.62	0.0	0.0	0.0	0.0	20.81	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	2.53	0.0	41.46	BayesPrism
X262245_1	1.05	0.0	10.97	0.0	10.36	0.0	0.0	1.62	19.96	0.0	0.07	0.91	0.0	0.0	0.0	0.0	28.84	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	1.57	0.0	2.24	0.0	22.35	BayesPrism
X167961_1	0.01	0.0	5.12	0.0	14.28	0.0	0.0	0.01	19.22	0.0	0.0	0.0	0.0	0.0	0.01	0.0	38.2	0.45	0.01	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	3.71	0.0	17.42	BayesPrism
X166490_1	0.0	0.0	0.0	0.0	0.44	44.66	0.27	0.0	33.01	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	2.39	0.0	0.6	0.0	18.57	BayesPrism
