	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR10192373	0.0	0.08	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56	0.31	0.03	0.9	0.0	2.4	2.11	0.0	0.23	33.03	1.5	5.84	22.85	0.0	0.95	25.23	0.85	2.04	BayesPrism
SRR10192369	0.0	0.0	16.16	0.0	0.0	0.0	0.0	0.14	3.83	3.87	0.0	0.0	0.0	0.0	0.0	0.01	11.84	0.0	0.0	3.51	0.0	0.0	0.0	0.0	0.0	11.9	0.0	2.06	0.0	46.68	BayesPrism
SRR10192389	0.0	0.0	4.96	0.0	0.0	0.0	0.0	0.04	20.49	0.0	0.0	0.0	0.0	0.0	0.0	0.04	12.49	0.0	0.0	7.11	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.66	0.0	54.18	BayesPrism
SRR10192234	0.73	0.0	8.95	0.0	2.43	0.0	0.0	15.99	0.0	26.72	0.0	0.0	0.0	0.0	0.0	0.01	4.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.15	0.0	35.9	BayesPrism
SRR10192205	0.0	0.0	3.3	0.0	0.0	0.0	6.48	0.0	13.35	0.0	0.0	0.0	0.0	0.0	0.0	0.03	5.27	0.0	0.0	8.75	0.0	0.0	0.0	0.0	0.0	32.62	0.0	0.18	0.0	30.01	BayesPrism
SRR10192188	0.0	0.0	1.4	0.0	0.0	0.0	0.68	0.0	38.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.17	0.0	0.0	9.59	0.0	0.0	0.0	0.0	0.0	19.31	0.0	0.0	0.0	27.09	BayesPrism
SRR10192360	2.24	0.0	13.59	0.0	1.23	0.0	0.0	13.74	3.65	3.56	0.0	0.0	0.0	0.0	0.0	0.0	11.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88	0.0	45.82	BayesPrism
SRR10192399	2.61	0.0	13.88	0.0	1.07	0.0	0.0	9.46	11.25	3.63	0.0	0.0	0.0	0.0	0.0	0.0	12.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.12	0.0	41.26	BayesPrism
SRR10192362	0.0	0.0	17.83	0.0	0.04	0.0	0.0	1.56	14.19	2.58	0.0	0.0	0.0	0.0	0.0	0.05	18.44	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	0.0	42.46	BayesPrism
SRR10192396	0.0	0.0	5.46	0.0	0.0	0.0	2.9	0.0	11.43	0.0	0.0	0.0	0.0	0.0	0.0	0.07	1.34	0.0	0.0	6.4	0.0	0.0	0.0	0.01	0.0	24.7	0.0	0.42	0.0	47.24	BayesPrism
SRR10192364	0.0	0.0	17.39	0.0	0.14	0.0	0.0	0.0	3.21	2.48	0.0	0.0	0.02	0.0	0.0	0.02	7.58	0.01	0.03	2.74	0.0	0.22	0.0	0.06	0.07	16.85	0.0	2.55	0.07	46.56	BayesPrism
SRR10192176	0.0	0.0	6.01	0.0	0.0	0.0	5.68	0.0	12.43	0.01	0.0	0.0	0.0	0.0	0.0	0.04	5.48	0.0	0.0	9.52	0.0	0.0	0.0	0.0	0.0	33.06	0.0	0.19	0.0	27.56	BayesPrism
SRR10192213	0.0	0.0	0.05	0.0	0.0	0.0	17.05	0.0	18.07	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	2.53	0.0	0.0	0.0	0.0	0.0	32.06	0.0	0.01	0.0	30.16	BayesPrism
SRR10192383	0.01	0.0	10.47	0.0	0.0	0.0	0.0	1.96	12.91	0.05	0.0	0.0	0.0	0.0	0.0	0.01	14.14	0.0	0.0	4.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86	0.0	53.1	BayesPrism
SRR10192474	8.32	0.0	3.34	0.0	2.86	0.0	0.0	24.65	0.01	17.81	0.0	0.0	0.02	0.0	0.0	0.0	2.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.18	0.0	34.32	BayesPrism
SRR10192391	0.59	0.0	1.61	0.0	0.0	5.56	0.0	0.0	7.34	0.0	0.0	0.01	0.0	0.0	0.0	0.05	2.34	0.0	0.0	2.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	80.1	BayesPrism
