	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR10192169	0.92	0.0	17.7	0.0	0.0	0.0	0.0	9.48	9.39	12.6	0.0	0.0	0.0	0.0	0.0	0.02	6.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	2.29	0.0	40.72	BayesPrism
SRR10192352	0.0	0.0	1.48	0.0	0.0	0.0	2.26	0.02	47.35	0.0	0.0	0.0	0.0	0.0	0.0	0.01	4.58	0.0	0.0	7.65	0.0	0.0	0.0	0.0	0.0	12.64	0.0	0.01	0.0	23.97	BayesPrism
SRR10192297	0.0	0.0	0.0	0.0	0.0	0.0	3.91	0.0	67.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.01	0.02	0.0	0.14	0.0	0.0	0.0	19.24	0.0	0.0	0.0	8.44	BayesPrism
SRR10192502	0.69	0.0	15.39	0.0	0.18	0.0	0.0	9.35	0.0	31.26	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	42.28	BayesPrism
SRR10192438	0.0	0.0	0.0	0.0	0.0	0.0	7.45	0.0	19.26	0.0	0.0	0.0	0.0	0.0	0.0	0.07	1.34	0.0	0.0	11.33	0.0	0.0	0.0	0.26	0.0	26.19	0.0	0.0	0.08	33.99	BayesPrism
SRR10192353	3.66	0.0	12.25	0.0	0.0	0.0	0.0	3.71	23.97	1.41	0.0	0.0	0.0	0.0	0.0	0.09	16.58	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.02	0.0	1.37	0.0	36.47	BayesPrism
SRR10192434	0.0	0.0	0.0	0.0	0.0	0.0	8.08	0.0	29.44	0.0	0.0	0.0	0.0	0.0	0.0	0.09	1.59	0.0	0.0	9.4	0.0	0.0	0.0	0.01	0.0	23.36	0.0	0.0	0.0	28.02	BayesPrism
SRR10192498	0.85	0.0	16.12	0.0	0.0	0.0	0.0	13.57	0.16	24.11	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	41.5	BayesPrism
SRR10192428	0.0	0.0	0.0	0.0	0.0	0.0	7.08	0.0	38.96	0.0	0.0	0.0	0.0	0.0	0.0	0.08	1.39	0.0	0.0	10.47	0.0	0.0	0.0	0.0	0.0	20.65	0.0	0.0	0.0	21.34	BayesPrism
SRR10192447	0.0	0.0	0.24	0.0	0.0	0.0	0.76	0.0	24.11	0.0	0.0	0.0	0.0	0.0	0.0	0.05	9.8	0.0	0.0	19.52	0.0	0.0	0.0	0.0	0.0	26.11	0.0	0.05	0.0	19.33	BayesPrism
