Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	Sample
0.0	0.04038	4.47342	0.0		7.55133	10.17144		14.01105	11.81725	0.0			10.95132	0.0	0.07688	2.23893	0.0	0.02189	0.04696	0.01018	0.01049	2.50628	0.0	0.01438	0.0	0.04703	0.37012	2.68163875	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_27225_4
0.0	0.0567	8.76129	0.0		8.46975	13.06307		28.25227	3.19563	0.0		0.0	15.37513	0.0	0.03894	2.78827	0.0	0.02217		0.00514	0.0346	3.59197	0.0	0.0	0.0	0.09212	0.0	3.4894604166666667	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_710570_4
4.01663	0.05017	3.13677	0.0		0.0	9.30043		7.43712	12.71785	0.0			6.75635	0.0	0.32527	1.75363	0.0	0.02037	0.07716	0.01854	0.04945	3.20681	0.23587	0.0	0.03992	0.02839	0.12435	2.053961666666667	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_32244_4
3.67626	0.0	1.21239	0.0		0.0	8.41494		10.05724	6.05264	0.0	0.0		7.97976	0.0	0.20008	2.88117	0.0	0.00801		0.00875	0.04187	4.4228	0.0	0.0	0.01929	0.0448	0.0	1.8758333333333335	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_751800_4
3.0143	0.0	2.17717	0.0		0.0	7.66196		9.31581	4.36467	0.0			7.10766	0.0	0.32232	2.61496	0.0	0.00813		0.0072	0.0176	4.38911	0.53266	0.0	0.01678	0.04344	0.0	1.8084247826086957	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_849749_5
0.78209	0.0367	2.50974	0.0		1.21648	7.83162		4.0307	14.54543	0.0			5.67208	0.0	0.13872	1.95025	0.0	0.01205		0.01085	0.01596	1.56327	1.1223	0.02008	0.0	0.02049	0.98596	1.846294347826087	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_164032_5
1.1758	0.10329	3.37242	0.0		1.31184	7.99003		10.34011	14.57349	0.0			7.12439	0.0	0.25187	0.84308	0.0	0.03535		0.03325	0.06986	2.75634	0.31212	0.0	0.06847	0.05939	0.28927	2.204798695652174	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_889662_5
0.0	0.01498	0.98251	0.0		6.95645	6.2187		6.96784	12.63293	0.0			6.84522	0.0	0.08918	2.25845	0.0	0.00555	0.03166	0.00387	2.486	2.72094	0.15712	0.00943	0.0	0.01132	0.79904	2.0496329166666665	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_968096_4
0.0	0.03901	2.5432	0.0		7.36449	7.34152		15.05925	12.17813	0.0			9.63982	0.0	0.17581	1.89116	0.0	0.01469		0.00774	0.02633	3.04754	0.0	0.01749	0.0	0.04127	0.43162	2.6008291304347826	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_606397_5
1.67123	0.10406	2.52151	0.0	0.0	0.0	11.29536		11.1714	12.64551	0.0			7.61929	0.0	0.29163	1.12617	0.0	0.0		0.03589	1.71488	3.4546	0.0	0.058	0.07436	0.06185	0.0	2.2435725	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_897865_4
