Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	Sample
0.0	0.0	0.0	20.57784	10.063	0.0	6.72844	6.49686	67.85858	0.08744	0.0	64.324	18.434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05098	0.0	0.01459	0.0	0.0	0.0	7.094133214285714	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_27225_4
0.0	0.18845	0.0	21.41288	8.863	0.0	5.1726	9.62549	66.95681	0.0	0.0	64.253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.314	0.0	0.0	5.26614	0.0	0.0586	0.0	0.0	0.0	7.075391785714287	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_710570_4
0.0	0.0	0.0	17.79712	38.49362	0.0	8.15513	21.12543	68.03809	0.89962	0.0	12.49588	27.14173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36669	0.0	0.0	0.0	0.0	0.0	7.089761071428572	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_32244_4
0.0	0.0	0.0	17.53432	56.991	0.0	7.80691	19.29325	68.69513	0.73619	0.0	0.0	7.81	0.0	0.0	0.0	0.0	0.0	0.0	14.936	0.0	0.0	4.25769	0.0	0.0	0.0	0.0	0.0	7.073588928571428	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_751800_4
0.0	0.05279	0.0	16.33362	70.198	0.0	7.01733	4.92674	71.72023	0.52551	0.0	5.377	6.147	0.0	0.0	0.0	0.0	0.0	0.0	12.438	0.0	0.0	3.43726	0.0	0.0	0.0	0.0	0.0	7.077624285714285	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_849749_5
0.0	0.03323	0.0	12.18658	12.74787	0.0	7.7445	6.020239999999999	75.21821	0.72868	0.0	21.14879	49.9325	0.0	0.0	0.0	0.0	0.0	0.0	9.7479	0.0	0.0	3.68609	0.0	0.0	0.0	0.0	0.0	7.1140925	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_164032_5
0.0	0.0	0.0	14.76668	6.57207	0.0	7.07327	23.23421	70.93812	0.78463	1.09654	18.01518	30.79731	0.0	0.0	0.0	0.0	0.0	0.0	20.90321	0.0	0.0	4.86175	0.0	0.00099	0.0	0.0	0.0	7.108712857142858	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_889662_5
0.0	0.0	0.0	17.98776	8.799	0.0	7.41193	34.71174	65.29217	0.79419	3.26883	23.472	32.446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.67306	0.0	0.0008	0.0	0.0	0.0	7.102052857142857	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_968096_4
0.0	0.0	0.0	20.81993	9.33291	0.0	7.10079	18.74877	66.10707	0.56275	0.0	42.27158	19.7598	0.0	0.0	0.0	0.0	0.0	0.0	9.21391	0.0	0.0	4.72822	0.0	0.00819	0.0	0.0	0.0	7.0947828571428575	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_606397_5
0.0	0.0	0.0	17.06922	0.0	0.0	13.28988	44.26944	57.92769	0.46225	4.46232	11.199	23.623	0.0	0.0	0.0	0.0	0.0	0.0	20.338	0.0	0.0	6.21271	0.0	0.00537	0.0	0.0	0.0	7.1021028571428575	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_897865_4
