Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	Sample
0.0	0.0	1.52791	12.9501	0.0	0.0	20.17263	0.46483	62.5242	0.44451	0.0	0.02147	33.33333	33.33333	0.0	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	1.58413	0.0	0.0242	0.0	0.0	0.0	7.132641785714284	ReDeconv	2Median_1000_1500	T00_v2_FFPE-3_5506_3
0.0	0.0	47.95397	0.0	0.0	0.0	0.0	31.36431	0.0	5.56212	0.0	33.019569999999995	33.21014	0.0	0.0	5.55796	24.20889	0.20369	3e-05	1.67306	0.0	5.55796	2.18628	0.0	0.0225	0.06354	3e-05	0.0	6.806573214285715	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_3286_3
0.0	0.0	0.0	22.89505	12.5	0.0	6.59965	12.17411	65.85204	0.30155	2.11753	12.5	12.5	12.5	0.0	0.0	0.0	0.0	0.0	12.5	0.0	0.0	2.60013	0.0	12.49253	0.0	0.0	0.0	6.6975925	ReDeconv	2Median_1000_1500	T00_v2_FFPE-3_9935_8
0.0	0.0	0.0	21.62119	14.28571	0.0	8.32733	13.96324	65.75883	0.24536	4.06663	14.28571	14.28571	14.28571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99732	0.0	14.26872	0.0	0.0	0.0	6.692552142857143	ReDeconv	2Median_1000_1500	T00_v2_FFPE-3_7912_7
0.0	0.0	0.0	15.71516	33.33333	0.0	7.83447	32.68326	66.53888	0.98122	3.48837	0.0	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79184	0.0	0.0	0.0	0.0	0.0	7.096423571428572	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_2535_3
0.0	0.0	0.0	20.39528	0.0	0.0	13.24562	0.56898	64.72473	0.0	0.0	33.33333	33.33333	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06539	0.0	0.0	0.0	0.0	0.0	7.142856785714285	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_9279_3
0.0	0.0	0.0	17.14691	20.0	0.0	7.11263	19.37773	69.74721	0.80857	0.0	20.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	4.56133	0.0	0.00109	0.0	0.0	0.0	7.098409642857143	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_4257_5
0.0	0.0	0.0	30.65721	0.0	0.0	10.82105	0.35399	58.12271	0.0	0.0	0.0	0.00889	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	0.0	0.0	33.33333	0.0	0.03615	0.0	33.33333	0.0	7.142856785714285	ReDeconv	2Median_1000_1500	T00_v2_Later-12_3615_3
0.0	20.0	0.0	26.37826	0.0	15.76085	8.20106	19.49177	27.5561	0.0	0.0	0.41766	0.0	0.0	0.0	20.0	0.0	0.0	0.0	2e-05	0.0	0.0	1.15098	0.0	0.02683	0.0	20.0	0.0	5.677983214285715	ReDeconv	2Median_1000_1500	T00_v2_Later-12_4527_5
0.0	0.0	0.0	19.71269	0.0	0.0	10.35501	24.64291	49.97467	0.94733	3.67844	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6848	0.0	25.0	0.0	0.0	0.0	6.071280357142856	ReDeconv	2Median_1000_1500	T00_v2_Later-8_2519_4
0.0	0.0	0.0	1.206479999999999	0.0	0.0	5.625910000000001	0.32274	56.40259	0.0	0.0	0.07798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	24.97091	0.0	0.0	0.0	4.057378928571429	ReDeconv	2Median_1000_1500	T00_v2_Later-12_6881_4
0.0	8.33333	0.0	18.23789	8.33333	14.29904	0.4495199999999997	8.12243	45.26534	0.0	0.0	8.33333	8.33333	8.33333	0.0	8.33333	0.0	8.33333	0.0	3.08297	0.0	0.0	1.7876999999999992	0.0	8.33333	0.0	8.33333	0.0	5.937316428571427	ReDeconv	2Median_1000_1500	T00_v2_Later-8_5333_12
0.0	0.0	0.0	19.55559	25.0	0.0	7.93492	24.2548	66.2869	0.81331	0.0	25.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66409	0.0	0.0	0.0	0.0	0.0	7.089628928571428	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_2291_4
0.0	14.28571	0.0	18.95689	0.0	19.23367	0.7505299999999995	0.10403	46.04222	0.0	0.0	0.08808	0.0	14.28571	0.0	14.28571	0.0	14.28571	0.0	0.0	0.0	0.0	2.00776	0.0	14.25354	0.0	14.28571	0.0	6.173759642857142	ReDeconv	2Median_1000_1500	T00_v2_Later-2_6925_7
0.0	0.0	0.0	23.8311	0.0	0.0	16.81281	19.58298	37.92237	0.0	0.0	20.0	20.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0167	0.0	0.0	0.0	0.0	0.0	5.684498571428571	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_2139_5
0.0	0.0	0.0	16.85574	0.0	0.0	11.67887	24.49655	61.95867	0.52447	3.21181	25.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	5.25749	0.0	0.0095	0.0	0.0	0.0	7.106896428571429	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_2307_4
0.0	0.0	0.0	22.34203	0.0	0.0	17.20127	32.77074	26.08636000000001	0.0	0.0	0.0	32.85892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.687832857142857	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_7227_3
0.0	16.66667	0.0	16.44978	0.0	19.83155	15.35592	0.0391	46.24601	0.0	0.0	0.10291	0.0	16.66667	0.0	16.66667	0.0	16.66667	0.0	0.0	0.0	0.0	1.93705	0.0	16.62898	0.0	16.66667	0.0	7.140166071428573	ReDeconv	2Median_1000_1500	T00_v2_Later-2_6977_6
0.0	0.0	0.0	15.82844	20.0	0.0	12.08358	19.59527	63.79165	0.20508	0.0	20.0	20.0	20.0	0.0	0.0	0.0	0.0	0.0	2.4418	0.0	0.0	4.80407	0.0	0.01316	0.0	0.0	0.0	7.0986803571428565	ReDeconv	2Median_1000_1500	T00_v2_FFPE-4_6820_5
0.0	0.0	0.0	26.10461	0.0	0.0	19.13481	24.54706	27.86824	0.0	0.0	25.0	0.02173	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41219	0.0	0.00548	0.0	0.0	0.0	5.32479	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_5422_4
0.0	0.0	0.0	20.94709	0.0	0.0	24.27373	32.976609999999994	18.9549	0.0	0.0	0.0	0.04472	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08951	0.0	0.0	0.0	0.0	0.0	4.736424642857142	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_4752_3
0.0	0.0	0.0	15.00728	25.0	0.0	7.95876	0.48869	74.54039	0.60581	0.0	25.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	1.3801	0.0	0.00486	0.0	0.0	0.0	7.1423532142857145	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_7572_4
0.0	0.0	0.0	3.78386	0.0	16.86313	42.99548	0.41341	27.77995	0.0	0.0	0.25599	0.00408	0.0	0.0	33.33333	0.0	33.33333	0.0	6.98672	0.0	0.0	0.86499	0.0	0.05239	0.0	33.33333	0.0	7.142856785714285	ReDeconv	2Median_1000_1500	T00_v2_Later-2_4456_3
0.0	0.0	0.0915	18.68069	0.0	0.0	16.70618	16.46682	50.09275	0.0	6.98587	16.66667	0.0	16.66667	0.0	16.66667	0.0	16.66667	0.0	0.07023	0.0	0.0	7.06066	0.0	0.0311	0.0	16.66667	0.0	7.125683928571431	ReDeconv	2Median_1000_1500	T00_v2_Later-8_9179_6
0.0	20.0	0.0	5.5833200000000005	20.0	14.26304	8.98358	0.55526	48.57384	0.0	6.37206	0.43989	0.0	0.0	0.0	20.0	0.0	0.0	0.0	3.58636	0.0	0.0	0.75718	0.0	0.01927	0.0	0.0	0.0	5.326207142857145	ReDeconv	2Median_1000_1500	T00_v2_Later-12_5339_5
0.0	0.0	0.0	19.13027	25.0	0.0	6.39913	24.47239	68.02071	0.0	1.95796	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	3.72208	0.0	0.00636	0.0	0.0	0.0	7.096746428571429	ReDeconv	2Median_1000_1500	T00_v2_FFPE-4_9830_4
0.0	20.0	0.0	21.4343	0.0	0.0	4.81922	1.64542	59.30088	0.0	0.28746	0.16504	0.0	0.0	0.0	20.0	0.0	20.0	0.0	0.3874	0.0	0.0	1.54671	1e-05	19.948	0.0	0.0	0.0	6.054801428571429	ReDeconv	2Median_1000_1500	T00_v2_Later-2_4593_5
0.0	0.0	0.0	16.34921	16.66667	0.0	11.33101	16.31878	65.50166	0.13567	0.48792	16.66667	16.66667	16.66667	0.0	0.0	0.0	0.0	0.0	16.55887	0.0	0.0	5.38697	0.0	0.0132	0.0	0.0	0.0	7.098213214285715	ReDeconv	2Median_1000_1500	T00_v2_FFPE-4_2489_6
0.0	0.0	0.0	20.11009	33.33333	0.0	8.5103	32.30215999999999	60.60794	0.36069	4.15809	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2065	0.0	0.01523	0.0	0.0	0.0	7.069202142857142	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_3504_3
0.0	0.0	0.0	12.8215	33.33333	0.0	13.55954	0.34156	62.22105	0.14291	1.15912	33.33333	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	4.1874	0.0	0.0	5.08792	0.0	0.0	0.0	0.0	0.0	7.1257496428571425	ReDeconv	2Median_1000_1500	T00_v2_FFPE-4_9797_3
0.0	20.0	0.0	18.45732	0.0	21.53541	8.90768	0.11267	49.78507	0.2786	0.0	0.0	0.0	20.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.88621	0.0	19.96297	0.0	20.0	0.0	7.1402117857142855	ReDeconv	2Median_1000_1500	T00_v2_Later-2_2827_5
0.0	16.66667	0.0	19.12293	0.0	19.05594	2.4149899999999995	0.2435	44.12322	0.0	0.0	0.12182	0.0	16.66667	0.0	16.66667	0.0	0.0	0.0	0.94896	0.0	0.0	2.08447	0.0	16.61919	0.0	16.66667	0.0	6.121489285714287	ReDeconv	2Median_1000_1500	T00_v2_Later-2_3591_6
0.0	0.0	0.0	23.19564	0.0	0.0	19.00645	0.3468	18.162960000000005	0.0	3.35113	33.33333	0.0	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	0.0	0.0	2.48375	0.0	0.11993	0.0	0.0	0.0	4.7619042857142855	ReDeconv	2Median_1000_1500	T00_v2_Later-16_5315_3
0.0	0.0	0.0	16.11179	0.0	0.0	20.0272	33.15691	52.3907	0.11211	5.45545	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	5.70852	0.0	0.01781	0.0	0.0	0.0	7.130255357142857	ReDeconv	2Median_1000_1500	T00_v2_FFPE-4_5889_3
0.0	0.0	0.0	27.28485	0.0	0.0	14.86218	32.84732	55.93555	0.0	0.0	33.33333	0.01092	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.40652	0.0	0.01397	0.0	0.0	0.0	7.1081417857142855	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_7126_3
0.0	0.0	0.0	16.16026	33.33333	0.0	9.47333	0.39557	66.88284	0.09187	1.73038	0.07743	33.33333	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.61281	0.0	0.0	0.0	0.0	0.0	7.122302857142856	ReDeconv	2Median_1000_1500	T00_v2_FFPE-4_6310_3
0.0	0.0	0.0	17.20509	0.0	0.0	28.59425	0.36329	16.280570000000004	0.26029	1.71199	0.06583	33.33333	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	0.0	0.0	2.1013	0.0	0.08406	0.0	0.0	0.0	4.761904642857142	ReDeconv	2Median_1000_1500	T00_v2_Later-16_2832_3
0.0	14.28571	0.0	16.19242	14.28571	15.29521	10.10944	0.29625	44.00275	0.0	0.0	0.24633	14.28571	14.28571	0.0	14.28571	0.0	14.28571	0.0	3.86144	0.0	0.0	4.29786	0.0	0.00832	0.0	0.0	0.0	6.42943857142857	ReDeconv	2Median_1000_1500	T00_v2_Later-8_4923_7
0.0	0.0	0.0	18.59288	33.33333	0.0	6.79003	0.83667	71.98432	0.19904	0.0	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	1.57017	0.0	0.01971	0.0	0.0	0.0	7.142600357142856	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_2290_3
0.0	0.0	0.0	13.58091	0.0	0.0	14.037229999999996	0.27839	50.41111	0.45589	4.05985	0.0	0.0	33.33333	0.0	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	11.35639	0.0	0.03064	0.0	0.0	0.0	5.745609642857142	ReDeconv	2Median_1000_1500	T00_v2_FFPE-3_9727_3
0.0	0.0	0.0	18.31369	25.0	0.0	11.62485	24.52733	63.79609	0.35761	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	5.39198	0.0	0.0059	0.0	0.0	0.0	7.10776607142857	ReDeconv	2Median_1000_1500	T00_v2_FFPE-4_8787_4
0.0	0.0	0.0	15.10199	20.0	0.0	11.63382	0.32409	64.39309	0.16954	2.79149	20.0	20.0	20.0	0.0	0.0	0.0	0.0	0.0	19.99249	0.0	0.0	5.21073	0.0	0.01204	0.0	0.0	0.0	7.1296171428571435	ReDeconv	2Median_1000_1500	T00_v2_FFPE-4_9645_5
0.0	10.0	0.0	9.58213	10.0	12.50814	1.4086999999999996	9.56121	37.47261	0.0	7.46262	0.22943	0.0	0.0	0.0	10.0	0.0	10.0	0.0	2.61886	0.0	0.0	8.92123	0.0	0.01734	0.0	10.0	0.0	4.992223928571428	ReDeconv	2Median_1000_1500	T00_v2_Later-12_2982_10
0.0	0.0	0.0	35.55121	0.0	0.00018	26.61444	0.5134	3.9874300000000034	0.0	0.0	33.33333	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7619042857142855	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_2049_3
0.0	0.0	0.0	4.86191	0.0	0.0	2.0176199999999973	0.047	38.22039	0.18588	12.6977	0.0	33.33333	0.0	0.0	33.33333	0.0	0.0	0.0	6.12838	0.0	0.0	6.22927	0.0	0.01726	0.0	0.0	0.0	4.89543107142857	ReDeconv	2Median_1000_1500	T00_v2_Later-8_4770_3
0.0	0.0	43.64953	0.0	0.0	0.0	0.0	31.840409999999995	33.33333	0.25306	4.48848	33.029599999999995	0.14318	0.0	0.0	8.01036	7.0662	0.32556	10.27377	2.01865	0.0	8.01036	0.0	0.0	0.0	0.11691	6e-05	0.0	6.519980714285714	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_9834_3
0.0	0.0	0.0	17.08794	25.0	0.0	11.50903	0.437	65.37406	0.53675	1.07004	25.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	3.91831	0.0	0.00645	0.0	0.0	0.0	7.140699285714285	ReDeconv	2Median_1000_1500	T00_v2_FFPE-4_2545_4
0.0	0.0	0.0	22.00635	0.0	0.0	14.49361	19.68519	62.72167	0.30071	1.73146	0.01636	20.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	7.27982	0.0	19.99857	0.0	0.0	0.0	6.722633571428572	ReDeconv	2Median_1000_1500	T00_v2_FFPE-3_7939_5
0.0	0.0	0.0	20.98961	0.0	0.0	6.302179999999996	0.18753	12.429670000000002	0.0	4.78119	0.03372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.92985	0.0	0.0	5.887	0.0	0.04284	0.0	0.0	0.0	1.9494139285714287	ReDeconv	2Median_1000_1500	T00_v2_Later-12_7596_3
0.0	0.0	0.0	16.69339	0.0	0.0	4.755130000000001	24.59869	48.97865	0.72561	0.0	0.0	0.00205	25.0	0.0	0.0	0.0	0.0	0.0	0.16583	0.0	0.0	12.34793	0.0	25.0	0.0	0.0	0.0	5.6524028571428575	ReDeconv	2Median_1000_1500	T00_v2_Later-8_5073_4
0.0	0.0	0.0	23.04008	0.0	0.0	17.93989	24.53911	32.83003	0.0	0.0	0.0	25.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72911	0.0	0.0	0.0	0.0	0.0	5.324222142857143	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_3296_4
0.0	20.0	0.0	3.5378599999999985	20.0	16.301	8.87892	19.43148	40.39322	0.0	13.25896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21305	0.0	0.0	1.67408	0.0	0.00795	0.0	0.0	0.0	5.132018571428572	ReDeconv	2Median_1000_1500	T00_v2_Later-12_5563_5
0.0	0.0	0.0	5.88994	0.0	17.45134	33.71745	0.20435	15.695799999999998	0.0	0.0	0.03643	25.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	1.84536	0.0	24.84068	0.0	0.0	0.0	5.345762499999999	ReDeconv	2Median_1000_1500	T00_v2_Later-16_2235_4
0.0	0.0	0.0	27.58314	0.0	19.36013	4.11343	0.58885	11.217300000000002	0.44501	0.99847	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.97298	0.0	0.0	0.0	0.0	0.0	4.5933085714285715	ReDeconv	2Median_1000_1500	T00_v2_Later-16_2528_3
0.0	0.0	0.0	18.23373	0.0	0.0	19.28244	0.51523	35.44724	0.0	0.0	25.0	25.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52137	0.0	0.0	0.0	0.0	0.0	5.357143214285714	ReDeconv	2Median_1000_1500	T00_v2_FFPE-5_5345_4
0.0	0.0	0.0	8.27877	0.0	0.0	37.38501	0.13637	51.51823	0.0	0.49901	33.33333	33.33333	0.0	0.0	0.0	0.0	33.33333	0.0	0.0429	0.0	0.0	1.91841	0.0	0.2213	0.0	0.0	0.0	7.142856785714286	ReDeconv	2Median_1000_1500	T00_v2_Later-16_9883_3
0.0	0.0	0.0	19.19251	0.0	0.0	15.32921	32.60805	58.34359	0.0	0.0	33.33333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33333	0.0	0.0	6.31346	0.0	0.04546	0.0	0.0	0.0	7.0892478571428565	ReDeconv	2Median_1000_1500	T00_v2_FFPE-2_1931_3
