Tissue_ID	Tissue_type
Adipose_1	Adipose
Adipose_2	Adipose
Adrenal_gland_1	Adrenal_gland
Adrenal_gland_2	Adrenal_gland
Arteries_1	Arteries
Arteries_2	Arteries
Bladder_1	Bladder
Bladder_2	Bladder
Brain_1	Brain
Brain_2	Brain
Breast_1	Breast
Breast_2	Breast
FemaleReproductive_1	FemaleReproductive
FemaleReproductive_2	FemaleReproductive
Fibroblasts_1	Fibroblasts
Fibroblasts_2	Fibroblasts
Lymphocytes_1	Lymphocytes
Lymphocytes_2	Lymphocytes
ColonSigmoid_1	ColonSigmoid
ColonSigmoid_2	ColonSigmoid
ColonTransverse_1	ColonTransverse
ColonTransverse_2	ColonTransverse
Esophagus_1	Esophagus
Esophagus_2	Esophagus
EsophagusMucosa_1	EsophagusMucosa
EsophagusMucosa_2	EsophagusMucosa
Heart_1	Heart
Heart_2	Heart
Kidney_1	Kidney
Kidney_2	Kidney
Liver_1	Liver
Liver_2	Liver
Lung_1	Lung
Lung_2	Lung
SalivaryGland_1	SalivaryGland
SalivaryGland_2	SalivaryGland
MuscleSkeletal_1	MuscleSkeletal
MuscleSkeletal_2	MuscleSkeletal
NerveTibial_1	NerveTibial
NerveTibial_2	NerveTibial
Pancreas_1	Pancreas
Pancreas_2	Pancreas
Pituitary_1	Pituitary
Pituitary_2	Pituitary
Prostate_1	Prostate
Prostate_2	Prostate
Skin_1	Skin
Skin_2	Skin
SmallIntestine_1	SmallIntestine
SmallIntestine_2	SmallIntestine
Spleen_1	Spleen
Spleen_2	Spleen
Stomach_1	Stomach
Stomach_2	Stomach
Testis_1	Testis
Testis_2	Testis
Thyroid_1	Thyroid
Thyroid_2	Thyroid
Whole_blood_1	Whole_blood
Whole_blood_2	Whole_blood
