Tissue_ID	Tissue_type
Adipose_1	Adipose
Adipose_2	Adipose
Adipose_3	Adipose
Adipose_4	Adipose
Adipose_5	Adipose
Adipose_6	Adipose
Adipose_7	Adipose
Adipose_8	Adipose
Adipose_9	Adipose
Adipose_10	Adipose
Adrenal_gland_1	Adrenal_gland
Adrenal_gland_2	Adrenal_gland
Adrenal_gland_3	Adrenal_gland
Adrenal_gland_4	Adrenal_gland
Adrenal_gland_5	Adrenal_gland
Adrenal_gland_6	Adrenal_gland
Adrenal_gland_7	Adrenal_gland
Adrenal_gland_8	Adrenal_gland
Adrenal_gland_9	Adrenal_gland
Adrenal_gland_10	Adrenal_gland
Arteries_1	Arteries
Arteries_2	Arteries
Arteries_3	Arteries
Arteries_4	Arteries
Arteries_5	Arteries
Arteries_6	Arteries
Arteries_7	Arteries
Arteries_8	Arteries
Arteries_9	Arteries
Arteries_10	Arteries
Bladder_1	Bladder
Bladder_2	Bladder
Bladder_3	Bladder
Bladder_4	Bladder
Bladder_5	Bladder
Bladder_6	Bladder
Bladder_7	Bladder
Bladder_8	Bladder
Bladder_9	Bladder
Bladder_10	Bladder
Brain_1	Brain
Brain_2	Brain
Brain_3	Brain
Brain_4	Brain
Brain_5	Brain
Brain_6	Brain
Brain_7	Brain
Brain_8	Brain
Brain_9	Brain
Brain_10	Brain
Breast_1	Breast
Breast_2	Breast
Breast_3	Breast
Breast_4	Breast
Breast_5	Breast
Breast_6	Breast
Breast_7	Breast
Breast_8	Breast
Breast_9	Breast
Breast_10	Breast
FemaleReproductive_1	FemaleReproductive
FemaleReproductive_2	FemaleReproductive
FemaleReproductive_3	FemaleReproductive
FemaleReproductive_4	FemaleReproductive
FemaleReproductive_5	FemaleReproductive
FemaleReproductive_6	FemaleReproductive
FemaleReproductive_7	FemaleReproductive
FemaleReproductive_8	FemaleReproductive
FemaleReproductive_9	FemaleReproductive
FemaleReproductive_10	FemaleReproductive
Fibroblasts_1	Fibroblasts
Fibroblasts_2	Fibroblasts
Fibroblasts_3	Fibroblasts
Fibroblasts_4	Fibroblasts
Fibroblasts_5	Fibroblasts
Fibroblasts_6	Fibroblasts
Fibroblasts_7	Fibroblasts
Fibroblasts_8	Fibroblasts
Fibroblasts_9	Fibroblasts
Fibroblasts_10	Fibroblasts
Lymphocytes_1	Lymphocytes
Lymphocytes_2	Lymphocytes
Lymphocytes_3	Lymphocytes
