NAME	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood
MT-RNR2	6719.518249999999	21088.960499999976	4062.5877500000015	6699.271999999996	54032.83799999999	6141.754499999996	2989.912999999999	3148.57625	6942.486999999999	8508.580249999995	12139.14	9691.209	5542.1275	29127.462250000004	41420.021499999966	16156.690999999975	5110.297499999999	3814.3339999999985	11708.996749999995	4280.275249999999	3510.1582499999986	7316.247000000001	8697.036249999997	6470.5845	7725.418749999998	6451.926	12610.419249999995	12517.141749999999	4681.516749999999	3788.816499999999
HBB	128.3	15.591000000000003	55.73450000000002	30.08925	94.09099999999998	66.37274999999998	32.67250000000001	2.45975	12.564499999999997	19.992000000000004	14.6935	26.536500000000004	20.085250000000006	118.23225000000004	280.88200000000006	166.64050000000003	388.598	17.8705	32.47850000000001	37.25600000000001	8.700999999999999	171.68975	46.142	13.499499999999996	6.403	1137.6692500000008	14.6205	23.09125	123.65724999999996	125290.13974999989
ACTB	3515.7484999999983	1709.760999999999	8589.797749999998	6245.611749999996	1449.7635	3276.471249999998	3582.6884999999993	5444.501499999997	11856.618999999992	9738.726000000002	5260.2585	8895.872499999998	3748.848750000001	1204.4549999999997	1719.4267499999999	1027.8219999999997	4441.456499999998	1925.6995	459.87975	2957.2874999999985	637.2002499999999	1277.31925	3183.7210000000014	2160.820000000001	3954.270749999999	4450.68075	2645.9897499999993	1092.0480000000002	2132.32175	6837.74525
FN1	472.4320000000002	132.97	8448.645499999999	1563.862749999999	79.41399999999999	326.17650000000003	428.34799999999984	59832.99924999998	11.408999999999997	2054.58225	801.6265	2542.414499999998	252.25900000000007	723.9139999999996	151.5005	1168.346	3145.9490000000005	208.54900000000004	58.18249999999999	917.4585	55.27625000000002	79.68975000000003	420.5754999999997	177.69225000000003	215.07525000000004	51.4115	263.2345	73.26274999999998	172.972	8.4685
FLNA	1578.81825	526.9055	11916.700000000003	7327.547499999997	124.5835	1389.9272499999995	3252.8699999999994	2608.39925	628.8119999999993	12813.590499999998	4539.666499999999	12475.750999999991	1191.8362499999998	578.5085	475.1767500000001	109.24550000000004	2183.8924999999995	658.049	146.24575	1872.22625	202.20624999999995	302.2987499999999	3276.709249999998	809.305	1183.4980000000003	1042.5032499999995	1146.2289999999991	432.6965	806.1462500000001	873.9262500000002
MYH11	307.02225	41.839499999999994	7344.696750000002	5847.134500000002	15.491000000000003	295.43025000000006	1435.937499999999	4.661250000000001	6.647	15977.843999999983	4540.3595	17324.429999999986	816.4139999999996	131.16374999999996	41.35574999999999	16.601999999999997	458.8400000000001	286.93550000000005	59.48174999999998	260.5195	15.642999999999997	21.373000000000005	2883.2574999999983	194.1405	515.6952500000002	184.35175	704.06025	368.09625	137.58875	6.648
FTL	3094.254500000001	1575.1474999999996	2132.38225	2375.0509999999995	1133.4904999999997	1941.8067499999988	1106.8494999999996	3459.5962499999982	1728.286	994.6544999999999	1188.1240000000007	1260.938	567.9747500000001	649.39925	3200.80775	3822.4119999999975	3844.9525	763.8260000000001	320.14274999999986	1980.5380000000005	616.7099999999996	926.8997499999998	1082.7794999999996	664.59525	1548.887	3888.716749999997	1404.0462499999999	236.33550000000008	1688.071499999999	6629.839749999999
DES	69.69775	13.303999999999998	1219.7304999999992	4970.301249999998	5.9435	22.40425	754.6524999999998	4.898	5.5825	10624.742000000007	2884.9545	10178.934499999996	617.3815	8314.659749999995	9.0045	7.251000000000001	197.7335	29.708500000000008	11618.195249999992	23.30725	7.83975	7.60525	2518.1452500000014	108.02075	274.7785	26.891749999999995	392.93	28.67099999999999	64.96625000000002	8.372
PRSS2	1.73175	4.543	1.85725	3.7689999999999992	1.371	1.896	4.255	3.0880000000000005	3.314	1.57675	3.5105000000000004	2.056	4.629999999999999	1.6152499999999999	3.0115	4.845999999999999	2.1405	2.3245000000000005	1.11525	1.594	50829.062749999975	3.994	3.832	1.6145	122.35599999999992	6.057499999999999	9.34	4.00175	2.1595	1.57375
CPA1	3.3455	4.1165	2.544	3.3465	1.4145	3.1754999999999995	3.995	2.5625	2.744	1.49675	2.816	1.82	3.69925	1.51	2.683	4.236000000000001	1.986	2.1395	1.41725	1.69075	50356.89574999997	3.64275	3.389	1.49125	3.7845	6.882	4.360249999999999	6.61625	1.7535000000000003	1.52125
