NAME	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood
MT-CO1	13105.647000000003	37737.65399999998	8127.195999999992	12625.789	56333.03399999999	12496.002000000004	2017.075	7174.3129999999965	11796.72100000001	6842.51	5380.834000000004	23979.264000000025	17208.561000000012	93037.19300000013	18580.113	41962.13900000001	14122.600999999991	20236.37100000002	41996.30699999999	12235.417000000007	9251.905999999997	2368.4879999999994	20860.830999999995	25600.007999999976	32641.873999999993	17197.915999999994	13512.427999999987	15807.945000000003	6094.408999999998	2274.9489999999983
MT-ND4	11506.161000000004	31093.634000000024	7602.734999999992	27601.254999999976	36578.78699999998	18377.775999999987	2344.1100000000006	6804.280999999994	9028.621999999994	16404.75500000001	17918.66999999997	27643.90899999996	12390.658999999996	67895.09800000009	27691.851999999995	46343.41199999994	13338.001999999999	16747.59799999999	31563.30300000003	13935.751000000015	12480.299999999996	5898.315000000001	28680.91099999998	18702.473999999977	24538.69899999997	12153.649	20818.536	16447.534999999993	13525.251000000007	2097.362
MT-CO3	9468.827	19506.15499999998	5290.622999999998	11199.384999999997	23845.775000000005	11345.544999999998	2725.8559999999998	3024.986000000002	3775.9990000000007	10022.103999999996	11141.839999999993	14403.843999999996	8604.042000000003	48546.83899999996	30767.72399999999	20631.655	5900.986	10518.879000000004	18352.690000000013	8205.425999999998	5622.185000000004	4398.306	14023.912	13910.938000000007	14728.336000000012	6616.470999999998	11233.06200000001	10943.696999999987	8498.302999999998	1399.024
MT-RNR2	5577.325999999999	18173.269000000004	4414.636999999999	11745.057999999995	44191.48799999996	8597.343000000008	4752.570000000001	2572.3790000000017	7860.081000000003	11359.66999999999	14484.922999999999	11041.337999999994	4572.887000000001	45220.93100000004	28056.986999999994	21942.912999999968	6130.4940000000015	6224.97	11171.558999999988	5606.416999999997	4039.6179999999986	5922.247000000001	7333.068000000002	6896.859	8369.591000000002	7285.49	7584.462	10789.835000000003	5611.207000000001	3586.4159999999983
MT-CYB	11108.974000000013	15199.136999999992	4919.040999999999	14294.261999999992	17488.088000000014	12508.049000000005	3098.486	3458.940000000003	2049.579999999998	8023.124999999995	9911.348000000004	11198.843	6147.92	49444.53	19188.006	18831.66	5491.494999999999	9114.335999999994	17729.770999999982	8337.300999999998	6377.797000000004	5593.194	14785.331000000007	10243.298999999985	10949.984000000008	6027.855999999999	9709.462999999996	7748.700999999996	6808.231999999996	1130.2020000000005
MT-ATP6	7342.297999999995	15143.390000000007	3646.1529999999993	12157.490999999995	17555.436999999998	8566.802999999994	2297.4109999999982	3033.3739999999984	2898.784999999997	9304.483000000004	9662.102	11096.883	5754.569	37653.22199999997	19470.74799999999	16597.401	5850.3970000000045	6931.591	14284.709999999995	6381.461000000004	4687.298000000001	3655.614999999996	13314.624000000009	8108.295	12986.359999999995	5798.8160000000025	8771.616000000004	7536.32799999999	5614.675000000001	1068.2690000000005
MT-ND1	10501.907999999989	12383.155999999984	2516.988000000002	6597.042999999999	18266.288000000008	10021.468999999986	1243.6529999999996	1663.707	1707.8520000000003	4903.525	5687.409999999998	6810.275000000004	4653.796	27255.87500000001	12152.215999999988	11931.295000000013	5275.112	7601.991999999994	16790.9	5710.297999999999	4720.412000000001	2017.5540000000008	6906.288999999993	8084.8489999999965	7277.169999999996	5767.532000000004	7411.737999999997	10149.113999999992	3596.959999999999	1068.5239999999994
FN1	651.811	153.56299999999993	11103.312999999995	999.089	89.89199999999998	719.335	392.473	53818.74799999997	39.25899999999999	2354.759999999999	903.2430000000006	1828.4750000000008	176.58399999999992	233.022	286.18299999999977	895.5470000000001	3331.742	246.079	42.56000000000002	652.4689999999998	43.13599999999998	36.23	290.7559999999999	143.8019999999999	117.00500000000004	53.871	338.60499999999985	96.0	153.7	4.313999999999999
FLNA	1717.9469999999994	519.3889999999999	11718.517999999987	4955.087000000003	103.63899999999992	1883.101	1830.44	2500.699	469.4880000000004	13768.859999999991	6304.161000000001	9753.636000000008	998.4230000000007	435.40399999999994	458.53899999999993	93.489	2315.033999999999	571.0670000000001	202.32199999999983	1918.0420000000008	146.43799999999996	250.74899999999985	3396.93	604.4590000000001	1062.5320000000008	927.6090000000002	4250.021999999998	384.0789999999998	945.8359999999992	1663.1169999999995
PRSS2	1.018	1.45	2.794	1.0	1.0	2.519	1.923	4.461	4.583	2.185	6.243999999999999	1.611	2.913	1.442	2.426	9.114	1.734	1.4809999999999999	1.062	1.593	72347.15299999996	2.702	7.274999999999999	1.033	77.289	7.528	28.064	6.694	1.164	2.648
